,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6137,0.6624,0.5488,0.5222,0.6798,0.6137,0.5724,0.7391,0.7568,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 397, 'clf__max_depth': 9, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4066,0.5441,0.4654,0.6102,0.8824,0.1875,0.3093,0.7954,0.6982,0.9147,0.7919,0.8119,all,f_classif,397.0,9.0,15.0,9.0,log2,True,,,,,,,,,,
1,RF,2,0.549,0.5001,0.4993,0.4946,0.5254,0.549,0.5318,0.6936,0.7214,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 57, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.381,0.2857,0.3265,0.6622,0.4706,0.4211,0.4444,0.6231,0.6486,0.7912,0.7129,0.7954,all,f_classif,57.0,4.0,17.0,2.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.5017,0.5126,0.5184,0.486,0.5588,0.5017,0.4958,0.6865,0.676,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 196, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.6912,0.3481,0.4631,0.635,0.35,0.5185,0.4179,0.7241,0.4966,0.6887,0.5771,0.7004,91,f_classif,196.0,3.0,15.0,6.0,sqrt,True,balanced,,,,,,,,,
3,RF,4,0.5287,0.5083,0.5151,0.5082,0.5459,0.5287,0.5347,0.6896,0.7124,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 200, 'clf__max_depth': 15, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': None}",0.582,0.5164,0.5473,0.6935,0.328,0.4409,0.3761,0.6242,0.6149,0.5879,0.6011,0.7512,71,f_classif,200.0,15.0,20.0,10.0,,True,,,,,,,,,,
4,RF,5,0.6125,0.6104,0.5832,0.5501,0.6414,0.6125,0.5832,0.8129,0.8233,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 193, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.6875,0.2366,0.352,0.782,0.4257,0.6515,0.515,0.7852,0.7179,0.8615,0.7832,0.8716,all,f_classif,193.0,3.0,17.0,2.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6101,0.609,0.5439,0.518,0.6323,0.6101,0.5681,0.7374,0.7535,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 222, 'clf__max_depth': 5, 'clf__learning_rate': 0.053193023263085115, 'clf__subsample': 0.6896755466876449, 'clf__colsample_bytree': 0.6508825492336733, 'clf__min_child_weight': 8, 'clf__gamma': 4.812254136589887, 'clf__reg_alpha': 1.1889662207029017, 'clf__reg_lambda': 1.884894056876866}",0.4186,0.5294,0.4675,0.6103,0.7143,0.1875,0.297,0.7916,0.6941,0.9147,0.7893,0.8102,all,f_classif,222.0,5.0,,,,,,0.053193023263085115,0.6896755466876449,0.6508825492336733,8.0,4.812254136589887,1.1889662207029017,1.884894056876866,,
6,XGB,2,0.5784,0.5405,0.5253,0.4926,0.5645,0.5784,0.5363,0.7305,0.7361,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 106, 'clf__max_depth': 3, 'clf__learning_rate': 0.013950154305529552, 'clf__subsample': 0.8185976570113962, 'clf__colsample_bytree': 0.6167524170521458, 'clf__min_child_weight': 4, 'clf__gamma': 1.341895800179522, 'clf__reg_alpha': 1.6659508716859577, 'clf__reg_lambda': 0.08408373443398914}",0.44,0.5893,0.5038,0.7016,0.5,0.1404,0.2192,0.6674,0.6814,0.8462,0.7549,0.8224,51,f_classif,106.0,3.0,,,,,,0.013950154305529552,0.8185976570113962,0.6167524170521458,4.0,1.341895800179522,1.6659508716859577,0.08408373443398914,,
7,XGB,3,0.4712,0.4465,0.4575,0.4359,0.491,0.4712,0.4614,0.6578,0.6663,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 68, 'clf__max_depth': 12, 'clf__learning_rate': 0.02430512158969185, 'clf__subsample': 0.7100788600949357, 'clf__colsample_bytree': 0.7273423993087146, 'clf__min_child_weight': 8, 'clf__gamma': 2.3895583904916355, 'clf__reg_alpha': 1.2766619197354507, 'clf__reg_lambda': 0.9147038718302066}",0.5679,0.3407,0.4259,0.5967,0.2615,0.3148,0.2857,0.6657,0.5101,0.717,0.5961,0.7111,40,f_classif,68.0,12.0,,,,,,0.02430512158969185,0.7100788600949357,0.7273423993087146,8.0,2.3895583904916355,1.2766619197354507,0.9147038718302066,,
8,XGB,4,0.5266,0.5094,0.5185,0.5091,0.5462,0.5266,0.5329,0.6978,0.7181,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 175, 'clf__max_depth': 11, 'clf__learning_rate': 0.012412773367430302, 'clf__subsample': 0.8143792700289477, 'clf__colsample_bytree': 0.8280101907451851, 'clf__min_child_weight': 4, 'clf__gamma': 3.006154441048955, 'clf__reg_alpha': 0.6033450595309207, 'clf__reg_lambda': 1.838136212468324}",0.5978,0.5164,0.5542,0.6919,0.3385,0.4731,0.3946,0.6548,0.592,0.5659,0.5787,0.7467,81,f_classif,175.0,11.0,,,,,,0.012412773367430302,0.8143792700289477,0.8280101907451851,4.0,3.006154441048955,0.6033450595309207,1.838136212468324,,
9,XGB,5,0.6367,0.6448,0.5962,0.603,0.6453,0.6367,0.6283,0.8071,0.8236,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 8, 'clf__learning_rate': 0.011711509955524094, 'clf__subsample': 0.8430179407605753, 'clf__colsample_bytree': 0.6682096494749166, 'clf__min_child_weight': 1, 'clf__gamma': 4.7444276862666666, 'clf__reg_alpha': 1.9312640661491187, 'clf__reg_lambda': 1.6167946962329223}",0.5545,0.6559,0.601,0.7586,0.6944,0.3788,0.4902,0.8136,0.6853,0.7538,0.7179,0.849,91,f_classif,281.0,8.0,,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
10,DT,1,0.5235,0.3216,0.4489,0.374,0.3841,0.5235,0.4425,0.726,0.7113,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.2963,0.4706,0.3636,0.5426,0.0,0.0,0.0,0.82,0.6686,0.876,0.7584,0.8153,71,f_classif,,3.0,18.0,5.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.5098,0.3368,0.4679,0.3879,0.3842,0.5098,0.4344,0.6519,0.6626,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.3878,0.6786,0.4935,0.651,0.0,0.0,0.0,0.6105,0.6226,0.7253,0.6701,0.6943,10,f_classif,,3.0,7.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.3763,0.4062,0.4402,0.3515,0.4427,0.3763,0.3338,0.6036,0.5772,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.4815,0.0963,0.1605,0.5276,0.2409,0.6111,0.3455,0.6354,0.4962,0.6132,0.5485,0.6476,91,f_classif,,2.0,17.0,10.0,log2,,balanced,,,,,,,,entropy,best
13,DT,4,0.373,0.2434,0.421,0.3033,0.2328,0.373,0.2831,0.6282,0.6177,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.0,0.0,0.0,0.645,0.2165,0.5376,0.3086,0.5525,0.5136,0.7253,0.6014,0.6871,51,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
14,DT,5,0.5917,0.6059,0.5006,0.4494,0.6049,0.5917,0.523,0.6921,0.7424,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.5091,0.6022,0.5517,0.6895,0.6667,0.0303,0.058,0.6341,0.642,0.8692,0.7386,0.7528,30,f_classif,,3.0,16.0,9.0,sqrt,,,,,,,,,,gini,random
15,RF,MEAN,0.5611,0.5588,0.533,0.5122,0.5903,0.5611,0.5436,0.7243,0.738,N/A,N/A,N/A,0.5497,0.3862,0.4309,0.6766,0.4913,0.4439,0.4125,0.7104,0.6352,0.7688,0.6932,0.7861,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0503,0.0734,0.0333,0.0252,0.0667,0.0503,0.035,0.054,0.0557,N/A,N/A,N/A,0.1492,0.1377,0.0907,0.0666,0.226,0.1695,0.0767,0.0838,0.0875,0.1318,0.1002,0.0645,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5646,0.55,0.5283,0.5117,0.5759,0.5646,0.5454,0.7261,0.7395,N/A,N/A,N/A,0.5158,0.5263,0.5105,0.6718,0.5017,0.2989,0.3373,0.7186,0.6326,0.7595,0.6874,0.7879,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0664,0.0789,0.0499,0.0602,0.0637,0.0664,0.0606,0.0552,0.0572,N/A,N/A,N/A,0.0808,0.1176,0.0692,0.0675,0.2041,0.1365,0.1059,0.0772,0.08,0.1332,0.0949,0.057,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.4749,0.3828,0.4557,0.3732,0.4097,0.4749,0.4034,0.6604,0.6622,N/A,N/A,N/A,0.3349,0.3695,0.3139,0.6111,0.2248,0.2358,0.1424,0.6505,0.5886,0.7618,0.6634,0.7194,,,,,,,,,,,,,,,,,,
20,DT,STD,0.0966,0.1375,0.0302,0.0533,0.134,0.0966,0.095,0.0491,0.0672,N/A,N/A,N/A,0.2051,0.3046,0.2309,0.0717,0.2723,0.3104,0.1707,0.1005,0.0784,0.111,0.0891,0.0655,,,,,,,,,,,,,,,,,,
