,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,56,33,100,35,52,43,21,24,383
1,RF,2,131,28,84,112,27,89,121,18,186
2,RF,3,407,6,216,192,14,147,26,0,272
3,RF,4,116,95,103,34,107,39,91,139,287
4,RF,5,281,9,111,95,22,82,28,0,320
5,XGB,1,84,13,92,61,28,41,51,15,362
6,XGB,2,110,33,100,96,42,90,117,20,188
7,XGB,3,373,51,205,154,59,140,18,6,274
8,XGB,4,163,42,109,77,50,53,179,37,301
9,XGB,5,249,8,144,103,14,82,35,0,313
10,DT,1,97,2,90,85,5,40,129,0,299
11,DT,2,118,37,88,97,50,81,121,14,190
12,DT,3,147,0,482,77,0,276,6,0,292
13,DT,4,59,0,255,47,0,133,62,0,455
14,DT,5,263,7,131,118,2,79,58,4,286
