,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,91,91,f_classif,0.892
1,RF,2,all,102,f_classif,1.0
2,RF,3,71,71,f_classif,0.696
3,RF,4,all,102,f_classif,1.0
4,RF,5,81,81,f_classif,0.794
5,XGB,1,51,51,f_classif,0.5
6,XGB,2,91,91,f_classif,0.892
7,XGB,3,51,51,f_classif,0.5
8,XGB,4,51,51,f_classif,0.5
9,XGB,5,10,10,f_classif,0.098
10,DT,1,40,40,f_classif,0.392
11,DT,2,81,81,f_classif,0.794
12,DT,3,40,40,f_classif,0.392
13,DT,4,40,40,f_classif,0.392
14,DT,5,10,10,f_classif,0.098
