,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,113,73,22,12,42,32,35,34,157
1,RF,2,79,47,51,17,26,35,32,34,122
2,RF,3,70,3,48,61,13,36,49,3,92
3,RF,4,115,8,92,68,15,45,34,2,179
4,RF,5,81,1,79,105,10,34,14,0,178
5,XGB,1,130,54,24,24,23,39,50,22,154
6,XGB,2,87,35,55,22,16,40,32,18,138
7,XGB,3,67,5,49,55,24,31,57,7,80
8,XGB,4,116,16,83,60,21,47,37,5,173
9,XGB,5,81,1,79,100,14,35,14,1,177
10,DT,1,48,112,48,21,31,34,24,38,164
11,DT,2,62,81,34,25,29,24,70,31,87
12,DT,3,48,0,73,60,0,50,32,0,112
13,DT,4,82,0,133,61,0,67,26,0,189
14,DT,5,103,0,58,136,0,13,46,0,146
