,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,20,6,23,6,14,8,3,4,89
1,RF,2,27,0,13,37,2,13,10,0,56
2,RF,3,48,39,26,15,26,14,6,7,48
3,RF,4,34,17,25,11,22,9,24,18,52
4,RF,5,24,3,19,8,11,14,12,7,35
5,XGB,1,27,1,21,7,14,7,3,4,89
6,XGB,2,24,2,14,38,3,11,8,0,58
7,XGB,3,52,32,29,11,21,23,6,2,53
8,XGB,4,46,4,26,18,13,11,32,6,56
9,XGB,5,24,5,17,6,14,13,12,8,34
10,DT,1,35,0,14,22,0,6,46,0,50
11,DT,2,27,0,13,33,0,19,12,0,54
12,DT,3,0,63,50,0,26,29,0,6,55
13,DT,4,0,43,33,0,25,17,0,41,53
14,DT,5,5,0,41,1,0,32,1,0,53
