,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5929,0.6169,0.6136,0.5923,0.6335,0.5929,0.59,0.7222,0.4815,0.5778,0.5116,0.7458,0.6069,0.6723,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 279, 'clf__max_depth': 13, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",81.0,f_classif,279.0,13.0,16.0,5.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.6923,0.6877,0.6867,0.6872,0.6916,0.6923,0.6919,0.6548,0.6395,0.6471,0.7207,0.7339,0.7273,0.7873,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",20.0,f_classif,298.0,4.0,16.0,5.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7256,0.7123,0.7242,0.7147,0.7395,0.7256,0.7293,0.6084,0.719,0.6591,0.8162,0.7295,0.7704,0.7642,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 413, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",40.0,f_classif,413.0,3.0,18.0,6.0,sqrt,True,balanced,,,,,,,,,
3,RF,4,0.7682,0.7431,0.761,0.7489,0.7817,0.7682,0.7723,0.6283,0.7396,0.6794,0.858,0.7824,0.8184,0.8408,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 315, 'clf__max_depth': 5, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",20.0,f_classif,315.0,5.0,18.0,9.0,sqrt,False,,,,,,,,,,
4,RF,5,0.7203,0.7203,0.7316,0.7169,0.7446,0.7203,0.7238,0.6102,0.7826,0.6857,0.8305,0.6806,0.7481,0.8216,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 357, 'clf__max_depth': 16, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",81.0,f_classif,357.0,16.0,9.0,5.0,log2,True,balanced,,,,,,,,,
5,XGB,1,0.5571,0.593,0.5851,0.5539,0.6101,0.5571,0.5479,0.7021,0.4074,0.5156,0.4839,0.7627,0.5921,0.6662,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 325, 'clf__max_depth': 5, 'clf__learning_rate': 0.0144607374258486, 'clf__subsample': 0.6611116213663686, 'clf__colsample_bytree': 0.6073655804874458, 'clf__min_child_weight': 5, 'clf__gamma': 3.1665705746572894, 'clf__reg_alpha': 1.1908217315279623, 'clf__reg_lambda': 1.1538983477793558}",71.0,f_classif,325.0,5.0,,,,,,0.0144607374258486,0.6611116213663686,0.6073655804874458,5.0,3.1665705746572894,1.1908217315279623,1.1538983477793558,,
6,XGB,2,0.6923,0.688,0.6831,0.6843,0.6906,0.6923,0.6902,0.6667,0.6047,0.6341,0.7094,0.7615,0.7345,0.7845,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 142, 'clf__max_depth': 9, 'clf__learning_rate': 0.04469582727164572, 'clf__subsample': 0.7780993702018162, 'clf__colsample_bytree': 0.8228897947378919, 'clf__min_child_weight': 1, 'clf__gamma': 4.947869129676143, 'clf__reg_alpha': 1.2694685070534237, 'clf__reg_lambda': 0.6758871872479824}",30.0,f_classif,142.0,9.0,,,,,,0.04469582727164572,0.7780993702018162,0.8228897947378919,1.0,4.947869129676143,1.2694685070534237,0.6758871872479824,,
7,XGB,3,0.6829,0.6554,0.6406,0.6444,0.6736,0.6829,0.6751,0.5859,0.4793,0.5273,0.7249,0.8019,0.7615,0.7499,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 247, 'clf__max_depth': 4, 'clf__learning_rate': 0.010438311609440077, 'clf__subsample': 0.9091971859465988, 'clf__colsample_bytree': 0.820637578903432, 'clf__min_child_weight': 9, 'clf__gamma': 4.403276126237468, 'clf__reg_alpha': 1.5488650747128452, 'clf__reg_lambda': 1.146807533490095}",10.0,f_classif,247.0,4.0,,,,,,0.010438311609440077,0.9091971859465988,0.820637578903432,9.0,4.403276126237468,1.5488650747128452,1.146807533490095,,
8,XGB,4,0.7716,0.7472,0.7662,0.7532,0.786,0.7716,0.7758,0.6316,0.75,0.6857,0.8629,0.7824,0.8207,0.8473,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 5, 'clf__learning_rate': 0.06333268775321842, 'clf__subsample': 0.6563696899899051, 'clf__colsample_bytree': 0.9208787923016158, 'clf__min_child_weight': 1, 'clf__gamma': 4.9344346830025865, 'clf__reg_alpha': 1.5444895385933148, 'clf__reg_lambda': 0.3974313630683448}",20.0,f_classif,210.0,5.0,,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
9,XGB,5,0.7331,0.7304,0.742,0.729,0.7534,0.7331,0.7363,0.6261,0.7826,0.6957,0.8347,0.7014,0.7623,0.8075,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 176, 'clf__max_depth': 10, 'clf__learning_rate': 0.03324055826093337, 'clf__subsample': 0.9981247546606764, 'clf__colsample_bytree': 0.6137807594660027, 'clf__min_child_weight': 3, 'clf__gamma': 3.997437199239485, 'clf__reg_alpha': 1.4775593029786709, 'clf__reg_lambda': 0.4804610836788174}",30.0,f_classif,176.0,10.0,,,,,,0.03324055826093337,0.9981247546606764,0.6137807594660027,3.0,3.997437199239485,1.4775593029786709,0.4804610836788174,,
