,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.7681,0.7683,0.7681,0.7681,0.7683,0.7681,0.7681,0.7606,0.7826,0.7714,0.7761,0.7536,0.7647,0.8454,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 285, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",20,f_classif,285.0,4.0,19.0,3.0,sqrt,False,balanced,,,,,,,,,
1,RF,2,0.6038,0.606,0.6065,0.6036,0.61,0.6038,0.6043,0.6535,0.5739,0.6111,0.5586,0.6392,0.5962,0.6443,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 153, 'clf__max_depth': 5, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,153.0,5.0,14.0,6.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.7593,0.7385,0.7622,0.7435,0.7825,0.7593,0.7649,0.6079,0.7709,0.6798,0.869,0.7535,0.8071,0.8155,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",30,f_classif,210.0,4.0,16.0,6.0,sqrt,False,balanced,,,,,,,,,
3,RF,4,0.7401,0.7401,0.7484,0.738,0.7569,0.7401,0.7423,0.6487,0.7939,0.714,0.8315,0.703,0.7619,0.8038,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",20,f_classif,344.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,,
4,RF,5,0.7385,0.7555,0.7541,0.7385,0.7704,0.7385,0.7382,0.6468,0.867,0.7409,0.8641,0.6411,0.7361,0.7853,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 100, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",30,f_classif,100.0,6.0,13.0,6.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.7355,0.7376,0.7355,0.7349,0.7376,0.7355,0.7349,0.76,0.6884,0.7224,0.7152,0.7826,0.7474,0.8462,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 324, 'clf__max_depth': 4, 'clf__learning_rate': 0.02652948191121937, 'clf__subsample': 0.9596782111688642, 'clf__colsample_bytree': 0.8334299119476224, 'clf__min_child_weight': 3, 'clf__gamma': 4.464602337475923, 'clf__reg_alpha': 1.839110027258638, 'clf__reg_lambda': 1.105872646249934}",20,f_classif,324.0,4.0,,,,,,0.02652948191121937,0.9596782111688642,0.8334299119476224,3.0,4.464602337475923,1.839110027258638,1.105872646249934,,
6,XGB,2,0.6085,0.6074,0.6081,0.6072,0.6107,0.6085,0.6091,0.6468,0.613,0.6295,0.568,0.6031,0.585,0.652,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 304, 'clf__max_depth': 8, 'clf__learning_rate': 0.010175180947916378, 'clf__subsample': 0.8777240760537722, 'clf__colsample_bytree': 0.7090328213410145, 'clf__min_child_weight': 3, 'clf__gamma': 4.496822477822805, 'clf__reg_alpha': 1.9355065018757462, 'clf__reg_lambda': 0.7431136048537729}",10,f_classif,304.0,8.0,,,,,,0.010175180947916378,0.8777240760537722,0.7090328213410145,3.0,4.496822477822805,1.9355065018757462,0.7431136048537729,,
7,XGB,3,0.7148,0.6837,0.6938,0.6874,0.7247,0.7148,0.7186,0.5622,0.6313,0.5947,0.8053,0.7562,0.78,0.7639,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 52, 'clf__max_depth': 10, 'clf__learning_rate': 0.023878205732411166, 'clf__subsample': 0.9874384178428198, 'clf__colsample_bytree': 0.6154900799844731, 'clf__min_child_weight': 6, 'clf__gamma': 2.2853058536716224, 'clf__reg_alpha': 1.3084644054594854, 'clf__reg_lambda': 0.02462233912987477}",40,f_classif,52.0,10.0,,,,,,0.023878205732411166,0.9874384178428198,0.6154900799844731,6.0,2.2853058536716224,1.3084644054594854,0.02462233912987477,,
8,XGB,4,0.7186,0.7174,0.7248,0.7159,0.7335,0.7186,0.721,0.6291,0.7588,0.6879,0.8057,0.6909,0.7439,0.7864,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 171, 'clf__max_depth': 3, 'clf__learning_rate': 0.02000174371899238, 'clf__subsample': 0.7437619037648896, 'clf__colsample_bytree': 0.8859175638980685, 'clf__min_child_weight': 3, 'clf__gamma': 1.576003848353416, 'clf__reg_alpha': 1.9949988468771107, 'clf__reg_lambda': 1.4432866023755504}",10,f_classif,171.0,3.0,,,,,,0.02000174371899238,0.7437619037648896,0.8859175638980685,3.0,1.576003848353416,1.9949988468771107,1.4432866023755504,,
9,XGB,5,0.7385,0.7469,0.7496,0.7384,0.7595,0.7385,0.7392,0.6555,0.8298,0.7324,0.8384,0.6694,0.7444,0.7651,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 130, 'clf__max_depth': 3, 'clf__learning_rate': 0.024111909233584014, 'clf__subsample': 0.8111671411950501, 'clf__colsample_bytree': 0.7917340933873326, 'clf__min_child_weight': 9, 'clf__gamma': 1.9314080598998478, 'clf__reg_alpha': 0.29832627780945176, 'clf__reg_lambda': 1.20704466302821}",51,f_classif,130.0,3.0,,,,,,0.024111909233584014,0.8111671411950501,0.7917340933873326,9.0,1.9314080598998478,0.29832627780945176,1.20704466302821,,
10,DT,1,0.7283,0.7528,0.7283,0.7215,0.7528,0.7283,0.7215,0.674,0.8841,0.7649,0.8316,0.5725,0.6781,0.7388,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",30,f_classif,,2.0,12.0,8.0,log2,,balanced,,,,,,,,gini,best
11,DT,2,0.5873,0.582,0.5792,0.5785,0.5842,0.5873,0.5837,0.6078,0.6739,0.6392,0.5562,0.4845,0.5179,0.5792,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': None}",40,f_classif,,1.0,4.0,4.0,sqrt,,,,,,,,,,gini,best
12,DT,3,0.6648,0.6843,0.7057,0.6602,0.7475,0.6648,0.6736,0.4966,0.8268,0.6205,0.8719,0.5845,0.6998,0.7057,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",91,f_classif,,1.0,14.0,7.0,,,,,,,,,,,gini,random
13,DT,4,0.7079,0.7072,0.7144,0.7052,0.7237,0.7079,0.7103,0.6173,0.75,0.6772,0.7972,0.6788,0.7332,0.7077,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",30,f_classif,,3.0,7.0,9.0,log2,,,,,,,,,,gini,random
14,DT,5,0.6606,0.6559,0.6579,0.6564,0.6636,0.6606,0.6616,0.6,0.6383,0.6186,0.7119,0.6774,0.6942,0.7101,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",71,f_classif,,3.0,13.0,8.0,sqrt,,,,,,,,,,gini,random
15,RF,MEAN,0.722,0.7217,0.7279,0.7183,0.7376,0.722,0.7236,0.6635,0.7577,0.7034,0.7799,0.6981,0.7332,0.7789,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0672,0.0658,0.0683,0.0653,0.0719,0.0672,0.068,0.0573,0.1094,0.0617,0.1291,0.0568,0.0807,0.0783,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7032,0.6986,0.7024,0.6968,0.7132,0.7032,0.7046,0.6507,0.7043,0.6734,0.7465,0.7004,0.7201,0.7627,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0539,0.0565,0.0566,0.054,0.0587,0.0539,0.0541,0.0712,0.0903,0.0596,0.1098,0.0714,0.077,0.0703,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.6698,0.6764,0.6771,0.6644,0.6944,0.6698,0.6701,0.5991,0.7546,0.6641,0.7538,0.5995,0.6646,0.6883,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
20,DT,STD,0.0543,0.0636,0.0608,0.0556,0.071,0.0543,0.0543,0.0643,0.1025,0.0611,0.1252,0.0814,0.0844,0.0625,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
