,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,83,31,24,34,34,83,31,24,0.5862068965517241,0.7280701754385965,0.5230769230769231,0.7757009345794392
1,RF,2,68,27,18,59,59,68,27,18,0.7662337662337663,0.7157894736842105,0.686046511627907,0.7906976744186046
2,RF,3,59,19,21,44,44,59,19,21,0.676923076923077,0.7564102564102564,0.6984126984126984,0.7375
3,RF,4,58,12,21,37,37,58,12,21,0.6379310344827587,0.8285714285714286,0.7551020408163265,0.7341772151898734
4,RF,5,80,27,13,51,51,80,27,13,0.796875,0.7476635514018691,0.6538461538461539,0.8602150537634409
5,XGB,1,88,26,28,30,30,88,26,28,0.5172413793103449,0.7719298245614035,0.5357142857142857,0.7586206896551724
6,XGB,2,79,16,31,46,46,79,16,31,0.5974025974025974,0.8315789473684211,0.7419354838709677,0.7181818181818181
7,XGB,3,60,18,19,46,46,60,18,19,0.7076923076923077,0.7692307692307693,0.71875,0.759493670886076
8,XGB,4,61,9,21,37,37,61,9,21,0.6379310344827587,0.8714285714285714,0.8043478260869565,0.7439024390243902
9,XGB,5,80,27,17,47,47,80,27,17,0.734375,0.7476635514018691,0.6351351351351351,0.8247422680412371
10,DT,1,80,34,26,32,32,80,34,26,0.5517241379310345,0.7017543859649122,0.48484848484848486,0.7547169811320755
11,DT,2,55,40,11,66,66,55,40,11,0.8571428571428571,0.5789473684210527,0.6226415094339622,0.8333333333333334
12,DT,3,55,23,25,40,40,55,23,25,0.6153846153846154,0.7051282051282052,0.6349206349206349,0.6875
13,DT,4,43,27,12,46,46,43,27,12,0.7931034482758621,0.6142857142857143,0.6301369863013698,0.7818181818181819
14,DT,5,71,36,11,53,53,71,36,11,0.828125,0.6635514018691588,0.5955056179775281,0.8658536585365854
