,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,282,46,68,187,187,282,46,68,0.7333333333333333,0.8597560975609756,0.8025751072961373,0.8057142857142857
1,RF,2,193,61,201,109,109,193,61,201,0.35161290322580646,0.7598425196850394,0.6411764705882353,0.48984771573604063
2,RF,3,201,61,29,138,138,201,61,29,0.8263473053892215,0.767175572519084,0.6934673366834171,0.8739130434782608
3,RF,4,271,75,41,165,165,271,75,41,0.8009708737864077,0.7832369942196532,0.6875,0.8685897435897436
4,RF,5,240,205,41,226,226,240,205,41,0.846441947565543,0.5393258426966292,0.5243619489559165,0.8540925266903915
5,XGB,1,306,22,98,157,157,306,22,98,0.615686274509804,0.9329268292682927,0.8770949720670391,0.7574257425742574
6,XGB,2,138,116,131,179,179,138,116,131,0.5774193548387097,0.5433070866141733,0.6067796610169491,0.5130111524163569
7,XGB,3,214,48,42,125,125,214,48,42,0.7485029940119761,0.816793893129771,0.7225433526011561,0.8359375
8,XGB,4,277,69,54,152,152,277,69,54,0.7378640776699029,0.8005780346820809,0.6877828054298643,0.8368580060422961
9,XGB,5,261,184,58,209,209,261,184,58,0.7827715355805244,0.5865168539325842,0.5318066157760815,0.8181818181818182
10,DT,1,252,76,22,233,233,252,76,22,0.9137254901960784,0.7682926829268293,0.7540453074433657,0.9197080291970803
11,DT,2,150,104,162,148,148,150,104,162,0.4774193548387097,0.5905511811023622,0.5873015873015873,0.4807692307692308
12,DT,3,178,84,8,159,159,178,84,8,0.9520958083832335,0.6793893129770993,0.654320987654321,0.956989247311828
13,DT,4,296,50,97,109,109,296,50,97,0.529126213592233,0.8554913294797688,0.6855345911949685,0.7531806615776081
14,DT,5,272,173,80,187,187,272,173,80,0.700374531835206,0.6112359550561798,0.5194444444444445,0.7727272727272727
