,,,Macro,,
Window Size,Model,Accuracy,Precision,Recall,F1-Score
1s,DT,0.6862,0.6929,0.6923,0.6763
,,0.0403,0.0337,0.03,0.0261
,RF,0.773,0.7701,0.7768,0.7638
,,0.0484,0.0452,0.058,0.0527
,XGB,0.7778,0.7721,0.7751,0.7664
,,0.0437,0.0452,0.0541,0.0499
1s_0.5,DT,0.6939,0.6906,0.6912,0.6791
,,0.0231,0.033,0.0422,0.0281
,RF,0.775,0.7724,0.779,0.7659
,,0.0413,0.0374,0.0482,0.0457
,XGB,0.7461,0.741,0.7448,0.7347
,,0.0489,0.049,0.0557,0.0502
1s_0.8,DT,0.6981,0.69,0.6916,0.6825
,,0.0303,0.0366,0.0538,0.0413
,RF,0.775,0.7718,0.7796,0.7674
,,0.0276,0.028,0.0334,0.0302
,XGB,0.7665,0.7626,0.7637,0.7554
,,0.0302,0.0294,0.0387,0.033
2s,DT,0.6999,0.706,0.7087,0.6913
,,0.0463,0.0437,0.0518,0.0382
,RF,0.7629,0.7691,0.7675,0.753
,,0.0564,0.0377,0.0473,0.0556
,XGB,0.7749,0.7691,0.7716,0.7636
,,0.044,0.0372,0.0508,0.048
2s_0.5,DT,0.6647,0.6851,0.6817,0.6558
,,0.0244,0.0283,0.0282,0.0211
,RF,0.7656,0.7655,0.7682,0.7556
,,0.0489,0.0432,0.052,0.0514
,XGB,0.7652,0.7611,0.7626,0.7538
,,0.044,0.0406,0.0486,0.0461
2s_0.8,DT,0.7053,0.7249,0.7203,0.6977
,,0.0318,0.0361,0.0338,0.0291
,RF,0.7836,0.7851,0.7902,0.7766
,,0.0315,0.028,0.0353,0.0348
,XGB,0.7747,0.7725,0.7727,0.7642
,,0.0354,0.0328,0.0432,0.0402
3s,DT,0.7136,0.7315,0.728,0.7071
,,0.0232,0.0381,0.0309,0.0236
,RF,0.8028,0.8007,0.805,0.7953
,,0.036,0.0378,0.0471,0.0426
,XGB,0.7982,0.7941,0.796,0.7893
,,0.0486,0.0453,0.0574,0.0533
3s_0.5,DT,0.6947,0.7293,0.7118,0.6845
,,0.0371,0.0442,0.0291,0.0256
,RF,0.7936,0.7891,0.7959,0.7862
,,0.029,0.0313,0.0384,0.0333
,XGB,0.7953,0.7894,0.7922,0.7855
,,0.0435,0.0412,0.0546,0.0491
3s_0.8,DT,0.6924,0.6952,0.6988,0.6856
,,0.0436,0.0347,0.0391,0.0368
,RF,0.7999,0.7974,0.805,0.7942
,,0.0398,0.0337,0.0412,0.0408
,XGB,0.775,0.776,0.7791,0.768
,,0.0491,0.0437,0.0466,0.0495
4s,DT,0.6496,0.7133,0.6777,0.6331
,,0.0783,0.0332,0.0306,0.0766
,RF,0.7562,0.7603,0.7665,0.7482
,,0.0548,0.0358,0.0509,0.0548
,XGB,0.7625,0.7637,0.7659,0.7513
,,0.0509,0.0479,0.0607,0.0565
4s_0.5,DT,0.6701,0.6885,0.6958,0.6684
,,0.0319,0.0397,0.0453,0.032
,RF,0.7712,0.7688,0.7738,0.7626
,,0.0647,0.054,0.0648,0.0648
,XGB,0.7676,0.7668,0.7691,0.758
,,0.0473,0.0427,0.0512,0.048
4s_0.8,DT,0.6817,0.7294,0.6937,0.6612
,,0.0725,0.0387,0.0551,0.0881
,RF,0.7887,0.7867,0.7937,0.7831
,,0.0376,0.037,0.0419,0.0398
,XGB,0.7703,0.7738,0.7752,0.7638
,,0.0591,0.0506,0.0556,0.0578
5s,DT,0.7069,0.7417,0.7273,0.7001
,,0.0721,0.0462,0.0454,0.0638
,RF,0.7706,0.7749,0.7808,0.7655
,,0.0577,0.0488,0.0569,0.0545
,XGB,0.8083,0.8062,0.8107,0.8017
,,0.046,0.0328,0.0467,0.0442
5s_0.5,DT,0.7037,0.7406,0.7298,0.6977
,,0.0221,0.0325,0.0194,0.0222
,RF,0.7586,0.766,0.7622,0.7486
,,0.0488,0.0312,0.0487,0.0469
,XGB,0.7976,0.7945,0.7968,0.7884
,,0.0353,0.0317,0.0431,0.0392
5s_0.8,DT,0.7065,0.7598,0.7245,0.6879
,,0.0707,0.0221,0.0753,0.097
,RF,0.8009,0.8007,0.8039,0.7946
,,0.0589,0.0497,0.0578,0.0615
,XGB,0.7708,0.772,0.7752,0.7643
,,0.0319,0.0391,0.041,0.037
