config,model,n_folds,accuracy_mean,accuracy_std,f1_positive_mean,f1_positive_std,auc_mean,auc_std,precision_positive_mean,precision_positive_std,recall_positive_mean,recall_positive_std
1s_no,RF,5,0.7729840461566766,0.04838506145920218,0.7249715892106385,0.07778280153104337,0.8555772423881189,0.04384977940508827,0.7051761692186477,0.07765038830717604,0.7685211202199436,0.16032662776159512
1s_no,XGB,5,0.7777599771216746,0.0437294337602661,0.7202438591771284,0.07440990257641439,0.8614917476980344,0.03733489154963241,0.7295624452802016,0.10269748497436268,0.7288899713620641,0.13267317720625002
1s_no,DT,5,0.6861880554019906,0.040282722104440304,0.6534768012102355,0.04967792506827859,0.7347391214515222,0.043770003570784886,0.5938510735580266,0.060409806046508883,0.7469158822298017,0.13286085899056266
1s_0.5,RF,5,0.7749847654440359,0.04130856518239633,0.7233818740055022,0.06549218144126259,0.8600663118707708,0.036217816905912484,0.719633656824892,0.1037034368082883,0.7522418004099503,0.13914085766879328
1s_0.5,XGB,5,0.7460983765816214,0.04891574382921392,0.6879994718680486,0.06942087532177484,0.8383333120865322,0.04843542031644033,0.6841295583554947,0.1038150898526694,0.7118185047599714,0.13283224097956398
1s_0.5,DT,5,0.6938473852460938,0.023108033104958868,0.6437572384364267,0.08397005890803692,0.740425062906944,0.03359932177555372,0.5960209040398261,0.048198725007320184,0.716948782955183,0.16258564931151023
1s_0.8,RF,5,0.7749715062615756,0.02759973968810127,0.73406806920097,0.052068892358376584,0.8601056823427798,0.03126938605120672,0.7064060874863933,0.08750781269165549,0.7814153830383621,0.1151181105207213
1s_0.8,XGB,5,0.7665032094774638,0.03026767040666348,0.7085716479348675,0.05294769143845197,0.8571325706514357,0.030717533917167642,0.722073863316516,0.09282741712270934,0.7139886540153364,0.12401960460394695
1s_0.8,DT,5,0.6981248663878682,0.03032219960800397,0.6474576443594072,0.0876640222129435,0.7405064083592923,0.05678543777191747,0.6051527144513742,0.050919776004346266,0.7076422312325558,0.15258842264810102
2s_no,RF,5,0.7628557775311383,0.05643390111290896,0.7188449717563671,0.0626281061815449,0.8406890510263153,0.059551791216504925,0.7051373626373627,0.12437004218708418,0.7653344540312794,0.14058378344803568
2s_no,XGB,5,0.7749444780771085,0.04398750173542753,0.7169827208422763,0.06937691469243223,0.8585602658916157,0.03776439147214297,0.7253034712863294,0.07974624478511,0.7257842289120918,0.13426673911884393
2s_no,DT,5,0.69995333467864,0.04627360837915122,0.6708341527916806,0.044892036289975595,0.7436767554416523,0.05278796058242831,0.6046404460960197,0.03706349926364069,0.7698733166738995,0.1383318123844443
2s_0.5,RF,5,0.7655690884551275,0.04886658768939303,0.7123234166817468,0.07010075156897193,0.849866775925461,0.04369139232233999,0.7161517899858512,0.11379247968449163,0.7362780201176363,0.14580067078702208
2s_0.5,XGB,5,0.7651459537790062,0.043972573223700136,0.7067486968481358,0.06455394732262507,0.8510134986936263,0.04492981621776342,0.719639057100945,0.10576076954486882,0.7139161025068844,0.12420427200099654
2s_0.5,DT,5,0.6647419234006723,0.02440660820196171,0.6254597247599263,0.06177337399686897,0.717120575631249,0.04505839255471064,0.5866956810822201,0.09975062522625752,0.721666707894949,0.19429353282700632
2s_0.8,RF,5,0.7835776483670036,0.031557949984701565,0.7441353428043642,0.05773881332895759,0.8600256090996178,0.03463489267093509,0.7269947266755838,0.09762847992644713,0.7883308887811435,0.13986009135153823
2s_0.8,XGB,5,0.774690282460508,0.03544710879057571,0.7199823198067732,0.06253100925901131,0.8560002669451132,0.034343753694647414,0.7385168300658093,0.0979287285142586,0.7221852474413171,0.13148728221669936
2s_0.8,DT,5,0.7053387845967258,0.03178124468225278,0.6886381684252447,0.03414599918897137,0.7503738784100212,0.05506274698146778,0.6152872434514147,0.06155929564678347,0.8049271816004285,0.13304492465531337
3s_no,RF,5,0.8028024675337783,0.03602891029595929,0.7623629311864606,0.06775324623183374,0.8614334151044781,0.04947284924399352,0.7511347164522224,0.087983485405244,0.7920861447524848,0.13619856759209675
3s_no,XGB,5,0.7981800705627575,0.04855836718607769,0.7512205680498363,0.07431038273484356,0.8619023756437721,0.03501200409561839,0.7592252220847999,0.08092676175411717,0.7574815581353956,0.1333969898869361
3s_no,DT,5,0.7136227531009982,0.023230328669203933,0.6988031213362479,0.0512666874233358,0.7414916858245674,0.031093201728903088,0.6161450355530016,0.06875162233329957,0.8224807892923973,0.12145548495707294
3s_0.5,RF,5,0.7936495068390125,0.028979484831225054,0.7515291248835553,0.05188484591506599,0.8603183102574345,0.04635217012918524,0.746076282254933,0.09046354320444634,0.7723649782969334,0.11064242838429592
3s_0.5,XGB,5,0.7953086798146058,0.04347240745648654,0.7464859100174818,0.07209920664358337,0.8556881633346596,0.03613886933453043,0.7553768947312601,0.07405616904672281,0.7504758623312628,0.13170607351816296
3s_0.5,DT,5,0.6947381919997826,0.03705628513547408,0.678299627585289,0.05053281089591147,0.7463065628890801,0.038840972270523175,0.6106095097513926,0.0743838618973959,0.8061785953894208,0.19114398285610537
3s_0.8,RF,5,0.7999499331870077,0.03980625816087779,0.7654920784122157,0.051953255105817615,0.8665953089729637,0.04103760373891699,0.7553836301224812,0.0839255729952912,0.7921691232462812,0.11380145419053615
