Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7903,0.8094,0.781,0.7921,0.7965,0.7903,0.7903,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 497, 'clf__max_depth': 8, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.8542,0.8039,0.8283,0.8372,0.7059,0.766,0.7368,0.8333,0.7821,31.0,f_classif,497.0,8.0,11.0,6.0,sqrt,False,,,,,,,,,,
RF,2,0.6562,0.6764,0.636,0.6398,0.6815,0.6562,0.6534,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 409, 'clf__max_depth': 17, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6935,0.819,0.7511,0.8298,0.5,0.624,0.5059,0.589,0.5443,10.0,f_classif,409.0,17.0,8.0,5.0,sqrt,True,,,,,,,,,,
RF,3,0.7453,0.7559,0.7637,0.726,0.7733,0.7453,0.7211,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 399, 'clf__max_depth': 18, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7322,0.9853,0.8401,0.6761,0.8727,0.7619,0.8594,0.4331,0.5759,31.0,f_classif,399.0,18.0,8.0,5.0,sqrt,True,,,,,,,,,,
RF,4,0.7831,0.8124,0.7973,0.7902,0.8203,0.7831,0.7841,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 497, 'clf__max_depth': 13, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.9714,0.6602,0.7861,0.7885,0.8542,0.82,0.6772,0.8776,0.7644,31.0,f_classif,497.0,13.0,10.0,6.0,sqrt,False,,,,,,,,,,
RF,5,0.8045,0.8166,0.7771,0.7929,0.8102,0.8045,0.8036,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 463, 'clf__max_depth': 11, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.7714,0.7297,0.75,0.8974,0.7292,0.8046,0.781,0.8723,0.8241,42.0,f_classif,463.0,11.0,13.0,5.0,sqrt,False,,,,,,,,,,
XGB,1,0.7527,0.777,0.7404,0.7544,0.7623,0.7527,0.7531,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 292, 'clf__max_depth': 6, 'clf__learning_rate': 0.012528674320802713, 'clf__subsample': 0.6242841951247636, 'clf__colsample_bytree': 0.7177406962240488, 'clf__min_child_weight': 1, 'clf__gamma': 1.4749390560724438, 'clf__reg_alpha': 0.6182747265404802, 'clf__reg_lambda': 0.09875927843912313}",0.8372,0.7059,0.766,0.8,0.7059,0.75,0.6939,0.8095,0.7473,31.0,f_classif,292.0,6.0,,,,,,0.012528674320802713,0.6242841951247636,0.7177406962240488,1.0,1.4749390560724438,0.6182747265404802,0.09875927843912313,,
XGB,2,0.6523,0.6851,0.6359,0.6394,0.6894,0.6523,0.6514,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 421, 'clf__max_depth': 3, 'clf__learning_rate': 0.034100983771224405, 'clf__subsample': 0.7822595379253579, 'clf__colsample_bytree': 0.600497185844676, 'clf__min_child_weight': 8, 'clf__gamma': 2.360612875880239, 'clf__reg_alpha': 0.006891938989447132, 'clf__reg_lambda': 0.39171056705522683}",0.6917,0.7905,0.7378,0.8636,0.4872,0.623,0.5,0.6301,0.5576,10.0,f_classif,421.0,3.0,,,,,,0.034100983771224405,0.7822595379253579,0.600497185844676,8.0,2.360612875880239,0.006891938989447132,0.39171056705522683,,
XGB,3,0.7421,0.7529,0.7473,0.7244,0.7618,0.7421,0.7212,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 168, 'clf__max_depth': 10, 'clf__learning_rate': 0.125105015952179, 'clf__subsample': 0.6974058217915087, 'clf__colsample_bytree': 0.8632309849250459, 'clf__min_child_weight': 7, 'clf__gamma': 2.6466544985593696, 'clf__reg_alpha': 0.5555629667087375, 'clf__reg_lambda': 1.3720196980451964}",0.7204,0.9853,0.8323,0.7097,0.8,0.7521,0.8286,0.4567,0.5888,52.0,f_classif,168.0,10.0,,,,,,0.125105015952179,0.6974058217915087,0.8632309849250459,7.0,2.6466544985593696,0.5555629667087375,1.3720196980451964,,
XGB,4,0.7992,0.8349,0.8107,0.8066,0.8412,0.7992,0.8004,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 314, 'clf__max_depth': 6, 'clf__learning_rate': 0.10213788784804366, 'clf__subsample': 0.689635368475423, 'clf__colsample_bytree': 0.684304021014767, 'clf__min_child_weight': 1, 'clf__gamma': 3.884121174280178, 'clf__reg_alpha': 0.11175899263238268, 'clf__reg_lambda': 1.6561107377410376}",1.0,0.6699,0.8023,0.82,0.8542,0.8367,0.6846,0.9082,0.7807,31.0,f_classif,314.0,6.0,,,,,,0.10213788784804366,0.689635368475423,0.684304021014767,1.0,3.884121174280178,0.11175899263238268,1.6561107377410376,,
XGB,5,0.8156,0.8341,0.7842,0.8031,0.8254,0.8156,0.8148,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 412, 'clf__max_depth': 6, 'clf__learning_rate': 0.06741942472486678, 'clf__subsample': 0.7173842282308269, 'clf__colsample_bytree': 0.6827736279241711, 'clf__min_child_weight': 4, 'clf__gamma': 3.246298455459186, 'clf__reg_alpha': 0.7379431479631611, 'clf__reg_lambda': 1.4236225390298296}",0.7714,0.7297,0.75,0.9459,0.7292,0.8235,0.785,0.8936,0.8358,42.0,f_classif,412.0,6.0,,,,,,0.06741942472486678,0.7173842282308269,0.6827736279241711,4.0,3.246298455459186,0.7379431479631611,1.4236225390298296,,
DT,1,0.5968,0.465,0.5226,0.4685,0.4766,0.5968,0.5057,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.8649,0.6275,0.7273,0.0,0.0,0.0,0.5302,0.9405,0.6781,52.0,f_classif,,1.0,19.0,7.0,sqrt,,,,,,,,,,gini,random
DT,2,0.6055,0.6282,0.5759,0.5767,0.6339,0.6055,0.5953,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.6471,0.8381,0.7303,0.8,0.4103,0.5424,0.4375,0.4795,0.4575,21.0,f_classif,,2.0,12.0,2.0,,,balanced,,,,,,,,gini,best
DT,3,0.7642,0.7615,0.7004,0.7129,0.7626,0.7642,0.7499,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.7701,0.9853,0.8645,0.7576,0.4545,0.5682,0.7568,0.6614,0.7059,73.0,f_classif,,2.0,11.0,7.0,,,,,,,,,,,gini,random
DT,4,0.6145,0.6677,0.628,0.5818,0.7344,0.6145,0.6025,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.9459,0.3398,0.5,0.3636,0.6667,0.4706,0.6935,0.8776,0.7748,52.0,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
DT,5,0.7654,0.757,0.757,0.757,0.7654,0.7654,0.7654,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.7027,0.7027,0.7027,0.7917,0.7917,0.7917,0.7766,0.7766,0.7766,52.0,f_classif,,2.0,13.0,10.0,,,,,,,,,,,entropy,random
RF,MEAN,0.7559,0.7741,0.751,0.7482,0.7764,0.7559,0.7505,N/A,N/A,N/A,0.8045,0.7996,0.7911,0.8058,0.7324,0.7553,0.7121,0.7211,0.6982,,,,,,,,,,,,,,,,,,
RF,STD,0.0599,0.06,0.0654,0.067,0.0559,0.0599,0.0629,N/A,N/A,N/A,0.1106,0.1217,0.0421,0.0823,0.1494,0.0775,0.133,0.2002,0.1284,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7524,0.7768,0.7437,0.7456,0.776,0.7524,0.7482,N/A,N/A,N/A,0.8041,0.7763,0.7777,0.8278,0.7153,0.7571,0.6984,0.7396,0.702,,,,,,,,,,,,,,,,,,
XGB,STD,0.0639,0.0625,0.0667,0.0686,0.0604,0.0639,0.0657,N/A,N/A,N/A,0.1227,0.1248,0.039,0.0866,0.1403,0.0849,0.1265,0.193,0.1223,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6693,0.6559,0.6368,0.6194,0.6746,0.6693,0.6438,N/A,N/A,N/A,0.7861,0.6987,0.705,0.5426,0.4646,0.4746,0.6389,0.7471,0.6786,,,,,,,,,,,,,,,,,,
DT,STD,0.0874,0.1212,0.094,0.1158,0.1229,0.0874,0.1109,N/A,N/A,N/A,0.1207,0.2426,0.131,0.3539,0.3028,0.2912,0.1485,0.1832,0.1309,,,,,,,,,,,,,,,,,,
