Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7881,0.8166,0.7623,0.7818,0.8001,0.7881,0.7866,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 345, 'clf__max_depth': 10, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.9167,0.7811,0.8435,0.8051,0.6291,0.7063,0.7281,0.8768,0.7955,42,f_classif,345.0,10.0,8.0,9.0,log2,False,,,,,,,,,,
RF,2,0.655,0.6861,0.6366,0.6433,0.6865,0.655,0.6545,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__n_estimators': 368, 'clf__max_depth': 11, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6861,0.7855,0.7324,0.8601,0.5062,0.6373,0.512,0.6183,0.5602,21,f_classif,368.0,11.0,12.0,5.0,sqrt,True,,,,,,,,,,
RF,3,0.7344,0.7317,0.7492,0.7094,0.7606,0.7344,0.7128,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 205, 'clf__max_depth': 19, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.739,0.9776,0.8417,0.6161,0.8263,0.7059,0.84,0.4437,0.5806,94,f_classif,205.0,19.0,14.0,10.0,sqrt,False,balanced,,,,,,,,,
RF,4,0.8117,0.8283,0.8193,0.8111,0.8445,0.8117,0.813,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 457, 'clf__max_depth': 12, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",1.0,0.703,0.8256,0.7582,0.8529,0.8028,0.7266,0.9018,0.8048,31,f_classif,457.0,12.0,4.0,7.0,sqrt,True,,,,,,,,,,
RF,5,0.7913,0.7865,0.7596,0.7713,0.7936,0.7913,0.7909,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 330, 'clf__max_depth': 18, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6881,0.6696,0.6787,0.879,0.7622,0.8165,0.7924,0.8469,0.8187,52,f_classif,330.0,18.0,19.0,1.0,log2,False,,,,,,,,,,
XGB,1,0.7831,0.7964,0.7673,0.779,0.7868,0.7831,0.7822,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 74, 'clf__max_depth': 12, 'clf__learning_rate': 0.0717814685954898, 'clf__subsample': 0.8264178740249175, 'clf__colsample_bytree': 0.9739649296872803, 'clf__min_child_weight': 5, 'clf__gamma': 4.149197656702294, 'clf__reg_alpha': 0.8663530365570609, 'clf__reg_lambda': 1.669600184377177}",0.8917,0.8284,0.8589,0.7578,0.6424,0.6953,0.7398,0.831,0.7828,31,f_classif,74.0,12.0,,,,,,0.0717814685954898,0.8264178740249175,0.9739649296872803,5.0,4.149197656702294,0.8663530365570609,1.669600184377177,,
XGB,2,0.6671,0.6952,0.6454,0.6535,0.6934,0.6671,0.6646,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 150, 'clf__max_depth': 4, 'clf__learning_rate': 0.05092343147632006, 'clf__subsample': 0.6215839541447047, 'clf__colsample_bytree': 0.7962143354927147, 'clf__min_child_weight': 1, 'clf__gamma': 2.796502792815502, 'clf__reg_alpha': 1.9929638090390496, 'clf__reg_lambda': 0.29177149823697657}",0.677,0.8203,0.7418,0.8707,0.5267,0.6564,0.5379,0.5892,0.5624,10,f_classif,150.0,4.0,,,,,,0.05092343147632006,0.6215839541447047,0.7962143354927147,1.0,2.796502792815502,1.9929638090390496,0.29177149823697657,,
XGB,3,0.7382,0.7401,0.7473,0.7142,0.7638,0.7382,0.7166,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 355, 'clf__max_depth': 8, 'clf__learning_rate': 0.010345448424066263, 'clf__subsample': 0.8442177407612974, 'clf__colsample_bytree': 0.7514313110177501, 'clf__min_child_weight': 10, 'clf__gamma': 4.786580840002541, 'clf__reg_alpha': 1.858218204375139, 'clf__reg_lambda': 1.824962083168667}",0.7301,0.9888,0.84,0.6442,0.8024,0.7147,0.8458,0.4507,0.5881,94,f_classif,355.0,8.0,,,,,,0.010345448424066263,0.8442177407612974,0.7514313110177501,10.0,4.786580840002541,1.858218204375139,1.824962083168667,,
XGB,4,0.7855,0.8155,0.8053,0.7907,0.829,0.7855,0.7842,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__n_estimators': 218, 'clf__max_depth': 12, 'clf__learning_rate': 0.012769574281703958, 'clf__subsample': 0.9305449702195622, 'clf__colsample_bytree': 0.6432041819805928, 'clf__min_child_weight': 1, 'clf__gamma': 1.8847078975969915, 'clf__reg_alpha': 0.6036630718376523, 'clf__reg_lambda': 1.1859599208532199}",0.9952,0.6303,0.7718,0.7562,0.8897,0.8176,0.6952,0.8958,0.7828,31,f_classif,218.0,12.0,,,,,,0.012769574281703958,0.9305449702195622,0.6432041819805928,1.0,1.8847078975969915,0.6036630718376523,1.1859599208532199,,
XGB,5,0.8035,0.8067,0.763,0.7811,0.8085,0.8035,0.8027,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 230, 'clf__max_depth': 6, 'clf__learning_rate': 0.019957274280418904, 'clf__subsample': 0.6512972369832706, 'clf__colsample_bytree': 0.7646642283993553, 'clf__min_child_weight': 4, 'clf__gamma': 4.763054619661475, 'clf__reg_alpha': 1.628817659294219, 'clf__reg_lambda': 1.9994071128741713}",0.6952,0.6518,0.6728,0.9316,0.7622,0.8385,0.7932,0.875,0.8321,52,f_classif,230.0,6.0,,,,,,0.019957274280418904,0.6512972369832706,0.7646642283993553,4.0,4.763054619661475,1.628817659294219,1.9994071128741713,,
