Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7725,0.7429,0.7525,0.747,0.7781,0.7725,0.7747,0.6408,0.6947,0.6667,0.845,0.8104,0.8273,0.8338,k=all; n_est=123; depth=12,-0.5403
2RF,2,0.8233,0.8146,0.8424,0.8172,0.8511,0.8233,0.827,0.69,0.9079,0.7841,0.9391,0.777,0.8504,0.9055,k=73; n_est=224; depth=18,-0.5344
3RF,3,0.8103,0.8073,0.8192,0.8078,0.8244,0.8103,0.8121,0.7202,0.8643,0.7857,0.8944,0.774,0.8299,0.8705,k=52; n_est=322; depth=18,-0.519
4RF,4,0.7542,0.7703,0.7609,0.7531,0.7752,0.7542,0.7521,0.8526,0.648,0.7364,0.6879,0.8739,0.7698,0.7943,k=84; n_est=486; depth=9,-0.4564
5RF,5,0.8079,0.8104,0.8043,0.8057,0.8094,0.8079,0.807,0.8267,0.747,0.7848,0.7941,0.8617,0.8265,0.8975,k=all; n_est=207; depth=19,-0.5106
1XGB,1,0.7675,0.736,0.7292,0.7323,0.7646,0.7675,0.7658,0.6532,0.6183,0.6353,0.8188,0.8401,0.8294,0.8395,k=84; n_est=119; depth=5; lr=0.019,-0.5024
2XGB,2,0.8419,0.8286,0.8538,0.8346,0.8595,0.8419,0.8448,0.7234,0.8947,0.8,0.9339,0.8129,0.8692,0.8821,k=84; n_est=97; depth=5; lr=0.017,-0.5482
3XGB,3,0.8305,0.825,0.836,0.8273,0.8393,0.8305,0.8319,0.7516,0.8643,0.804,0.8984,0.8077,0.8506,0.8694,k=52; n_est=98; depth=3; lr=0.087,-0.5142
4XGB,4,0.7373,0.7576,0.7449,0.7354,0.7628,0.7373,0.7341,0.8462,0.616,0.713,0.669,0.8739,0.7578,0.8002,k=84; n_est=142; depth=9; lr=0.169,-0.4699
5XGB,5,0.7994,0.7998,0.7971,0.7979,0.7996,0.7994,0.799,0.8025,0.759,0.7802,0.797,0.8351,0.8156,0.8873,k=73; n_est=498; depth=9; lr=0.019,-0.499
1DT,1,0.755,0.7221,0.7239,0.723,0.756,0.755,0.7555,0.6241,0.6336,0.6288,0.8202,0.8141,0.8172,0.8014,k=21; depth=2,-0.616
2DT,2,0.6744,0.7294,0.7333,0.6744,0.7901,0.6744,0.6757,0.5221,0.9342,0.6698,0.9367,0.5324,0.6789,0.7333,k=31; depth=1,-0.5813
3DT,3,0.6954,0.7379,0.73,0.695,0.7692,0.6954,0.693,0.5773,0.9071,0.7056,0.8984,0.5529,0.6845,0.7414,k=94; depth=5,-0.5832
4DT,4,0.6568,0.6666,0.6624,0.6557,0.67,0.6568,0.6546,0.7245,0.568,0.6368,0.6087,0.7568,0.6747,0.6952,k=94; depth=3,-0.524
5DT,5,0.6921,0.7905,0.7094,0.6742,0.8021,0.6921,0.6694,0.6052,0.988,0.7506,0.9759,0.4309,0.5978,0.7603,k=52; depth=2,-0.5786
RF,MEAN,0.7936,0.7891,0.7959,0.7862,0.8076,0.7936,0.7946,0.7461,0.7724,0.7515,0.8321,0.8194,0.8208,0.8603,MEAN_VALUES,-0.5121
RF,STD,0.0259,0.028,0.0343,0.0298,0.0286,0.0259,0.0272,0.0809,0.099,0.0464,0.0869,0.0417,0.027,0.0414,STD_VALUES,0.0298
XGB,MEAN,0.7953,0.7894,0.7922,0.7855,0.8052,0.7953,0.7951,0.7554,0.7505,0.7465,0.8234,0.8339,0.8245,0.8557,MEAN_VALUES,-0.5067
XGB,STD,0.0389,0.0368,0.0489,0.0439,0.039,0.0389,0.041,0.0663,0.1178,0.0645,0.0921,0.0235,0.038,0.0323,STD_VALUES,0.0253
DT,MEAN,0.6947,0.7293,0.7118,0.6845,0.7575,0.6947,0.6896,0.6106,0.8062,0.6783,0.848,0.6174,0.6906,0.7463,MEAN_VALUES,-0.5766
DT,STD,0.0331,0.0395,0.026,0.0229,0.0466,0.0331,0.0352,0.0665,0.171,0.0452,0.1302,0.1444,0.0708,0.0347,STD_VALUES,0.0296
