Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6667,0.7725,0.8338,-0.5403,all,f_classif,123.0,12,7.0,balanced,,,
XGB,1,0.6353,0.7675,0.8395,-0.5024,84,f_classif,119.0,5,,,0.018828901685840612,0.6318182038268271,
DT,1,0.6288,0.755,0.8014,-0.616,21,f_classif,,2,12.0,,,,gini
RF,2,0.7841,0.8233,0.9055,-0.5344,73,f_classif,224.0,18,11.0,,,,
XGB,2,0.8,0.8419,0.8821,-0.5482,84,f_classif,97.0,5,,,0.01731481398971459,0.8796369811324729,
DT,2,0.6698,0.6744,0.7333,-0.5813,31,f_classif,,1,10.0,,,,gini
RF,3,0.7857,0.8103,0.8705,-0.519,52,f_classif,322.0,18,17.0,,,,
XGB,3,0.804,0.8305,0.8694,-0.5142,52,f_classif,98.0,3,,,0.08710745900492396,0.7257423924305306,
DT,3,0.7056,0.6954,0.7414,-0.5832,94,f_classif,,5,15.0,,,,entropy
RF,4,0.7364,0.7542,0.7943,-0.4564,84,f_classif,486.0,9,3.0,balanced,,,
XGB,4,0.713,0.7373,0.8002,-0.4699,84,f_classif,142.0,9,,,0.16910653737514855,0.7822373642425324,
DT,4,0.6368,0.6568,0.6952,-0.524,94,f_classif,,3,11.0,,,,gini
RF,5,0.7848,0.8079,0.8975,-0.5106,all,f_classif,207.0,19,12.0,balanced,,,
XGB,5,0.7802,0.7994,0.8873,-0.499,73,f_classif,498.0,9,,,0.01873462157305082,0.9784291496193434,
DT,5,0.7506,0.6921,0.7603,-0.5786,52,f_classif,,2,20.0,balanced,,,gini
