Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7677,0.736,0.7372,0.7366,0.7683,0.7677,0.768,0.6429,0.6495,0.6462,0.8291,0.825,0.8271,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 93, 'clf__max_depth': 16, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",73,f_classif,93.0,16.0,18.0,4.0,sqrt,True,balanced,,,,,,,,,
RF,2,0.8544,0.8399,0.8672,0.8469,0.8716,0.8544,0.8572,0.7353,0.9091,0.813,0.9444,0.8252,0.8808,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 137, 'clf__max_depth': 15, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,137.0,15.0,17.0,8.0,sqrt,False,balanced,,,,,,,,,
RF,3,0.7266,0.733,0.7431,0.7249,0.758,0.7266,0.7294,0.6148,0.8218,0.7034,0.8512,0.6645,0.7464,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 13, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",42,f_classif,351.0,13.0,4.0,4.0,sqrt,True,,,,,,,,,,
RF,4,0.6936,0.7214,0.7084,0.6916,0.7319,0.6936,0.6892,0.8281,0.5579,0.6667,0.6147,0.859,0.7166,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 256, 'clf__max_depth': 8, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",all,f_classif,256.0,8.0,4.0,1.0,sqrt,False,balanced,,,,,,,,,
RF,5,0.8137,0.8136,0.8129,0.8132,0.8137,0.8137,0.8136,0.813,0.7937,0.8032,0.8143,0.8321,0.8231,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 450, 'clf__max_depth': 14, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",73,f_classif,450.0,14.0,3.0,3.0,log2,False,balanced,,,,,,,,,
XGB,1,0.7677,0.7358,0.7293,0.7323,0.7649,0.7677,0.766,0.6522,0.6186,0.6349,0.8195,0.84,0.8296,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 449, 'clf__max_depth': 8, 'clf__learning_rate': 0.013219189841089492, 'clf__subsample': 0.6857348449354894, 'clf__colsample_bytree': 0.7993008259633418, 'clf__min_child_weight': 3, 'clf__gamma': 4.8657907259277104, 'clf__reg_alpha': 0.8955830522118366, 'clf__reg_lambda': 0.9085407993912502}",73,f_classif,449.0,8.0,,,,,,0.013219189841089492,0.6857348449354894,0.7993008259633418,3.0,4.8657907259277104,0.8955830522118366,0.9085407993912502,,
XGB,2,0.8228,0.8131,0.8429,0.8162,0.852,0.8228,0.8268,0.6849,0.9091,0.7812,0.9412,0.7767,0.8511,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 493, 'clf__max_depth': 10, 'clf__learning_rate': 0.010701634331675657, 'clf__subsample': 0.9989746149706344, 'clf__colsample_bytree': 0.6075182773179265, 'clf__min_child_weight': 6, 'clf__gamma': 2.8329146592920913, 'clf__reg_alpha': 1.3016099722696743, 'clf__reg_lambda': 1.9920339787224264}",73,f_classif,493.0,10.0,,,,,,0.010701634331675657,0.9989746149706344,0.6075182773179265,6.0,2.8329146592920913,1.3016099722696743,1.9920339787224264,,
XGB,3,0.7188,0.7232,0.7332,0.7167,0.7473,0.7188,0.7218,0.609,0.802,0.6923,0.8374,0.6645,0.741,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__n_estimators': 388, 'clf__max_depth': 7, 'clf__learning_rate': 0.013825900340709128, 'clf__subsample': 0.8992540750918806, 'clf__colsample_bytree': 0.6497345214530071, 'clf__min_child_weight': 4, 'clf__gamma': 4.322720171024576, 'clf__reg_alpha': 0.46026098083573963, 'clf__reg_lambda': 1.146807533490095}",42,f_classif,388.0,7.0,,,,,,0.013825900340709128,0.8992540750918806,0.6497345214530071,4.0,4.322720171024576,0.46026098083573963,1.146807533490095,,
XGB,4,0.7225,0.7502,0.737,0.721,0.7612,0.7225,0.7189,0.8615,0.5895,0.7,0.6389,0.8846,0.7419,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 171, 'clf__max_depth': 7, 'clf__learning_rate': 0.06933052866864518, 'clf__subsample': 0.8416568610725927, 'clf__colsample_bytree': 0.6664607084923506, 'clf__min_child_weight': 1, 'clf__gamma': 4.486472710665868, 'clf__reg_alpha': 1.481062971179398, 'clf__reg_lambda': 1.7091205040193542}",94,f_classif,171.0,7.0,,,,,,0.06933052866864518,0.8416568610725927,0.6664607084923506,1.0,4.486472710665868,1.481062971179398,1.7091205040193542,,
XGB,5,0.8061,0.8116,0.803,0.8039,0.8103,0.8061,0.8047,0.844,0.7302,0.783,0.7792,0.8759,0.8247,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 168, 'clf__max_depth': 11, 'clf__learning_rate': 0.010071354127441702, 'clf__subsample': 0.7085909393271776, 'clf__colsample_bytree': 0.6795314006607529, 'clf__min_child_weight': 6, 'clf__gamma': 2.1423154725171103, 'clf__reg_alpha': 0.3921105623035328, 'clf__reg_lambda': 0.9363973991228158}",73,f_classif,168.0,11.0,,,,,,0.010071354127441702,0.7085909393271776,0.6795314006607529,6.0,2.1423154725171103,0.3921105623035328,0.9363973991228158,,
DT,1,0.6599,0.6859,0.7077,0.6559,0.7545,0.6599,0.6688,0.4881,0.8454,0.6189,0.8837,0.57,0.693,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",52,f_classif,,3.0,14.0,6.0,log2,,balanced,,,,,,,,gini,random
DT,2,0.6962,0.7435,0.7543,0.6958,0.8064,0.6962,0.6993,0.5361,0.9455,0.6842,0.9508,0.5631,0.7073,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",21,f_classif,,2.0,15.0,2.0,,,balanced,,,,,,,,gini,best
DT,3,0.6875,0.6938,0.7023,0.6856,0.7183,0.6875,0.6908,0.5778,0.7723,0.661,0.8099,0.6323,0.7101,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",94,f_classif,,3.0,16.0,8.0,sqrt,,,,,,,,,,entropy,random
DT,4,0.6185,0.6315,0.6285,0.6179,0.6387,0.6185,0.6164,0.7042,0.5263,0.6024,0.5588,0.7308,0.6333,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 1, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",21,f_classif,,1.0,13.0,4.0,,,balanced,,,,,,,,entropy,random
