Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
RF,1,0.7983,0.7742,0.7864,0.7792,0.8045,0.7983,0.8005,0.6818,0.75,0.7143,0.8667,0.8228,0.8442,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 361, 'clf__max_depth': 10, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",94,f_classif,361.0,10.0,4.0,5.0,sqrt,False,balanced,,,,,,,,,
RF,2,0.8413,0.8327,0.8565,0.8363,0.8619,0.8413,0.844,0.7241,0.913,0.8077,0.9412,0.8,0.8649,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 157, 'clf__max_depth': 16, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",84,f_classif,157.0,16.0,14.0,4.0,sqrt,False,balanced,,,,,,,,,
RF,3,0.7404,0.7684,0.775,0.7402,0.8057,0.7404,0.7419,0.6066,0.925,0.7327,0.9302,0.625,0.7477,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 122, 'clf__max_depth': 18, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,122.0,18.0,19.0,9.0,log2,True,balanced,,,,,,,,,
RF,4,0.6901,0.7004,0.6966,0.6896,0.7051,0.6901,0.6887,0.7667,0.6053,0.6765,0.6341,0.7879,0.7027,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 362, 'clf__max_depth': 14, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",94,f_classif,362.0,14.0,14.0,6.0,log2,True,balanced,,,,,,,,,
RF,5,0.783,0.799,0.7893,0.7821,0.8038,0.783,0.7813,0.7143,0.9,0.7965,0.8837,0.6786,0.7677,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 235, 'clf__max_depth': 10, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",94,f_classif,235.0,10.0,12.0,4.0,log2,True,balanced,,,,,,,,,
XGB,1,0.8235,0.803,0.7992,0.8011,0.8225,0.8235,0.823,0.7436,0.725,0.7342,0.8625,0.8734,0.8679,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 441, 'clf__max_depth': 4, 'clf__learning_rate': 0.028981651374820575, 'clf__subsample': 0.7623133207049181, 'clf__colsample_bytree': 0.6475821284878164, 'clf__min_child_weight': 1, 'clf__gamma': 2.7782792051181646, 'clf__reg_alpha': 1.6989124080680205, 'clf__reg_lambda': 0.7525430126456936}",94,f_classif,441.0,4.0,,,,,,0.028981651374820575,0.7623133207049181,0.6475821284878164,1.0,2.7782792051181646,1.6989124080680205,0.7525430126456936,,
XGB,2,0.8571,0.8464,0.869,0.8518,0.8724,0.8571,0.8594,0.75,0.913,0.8235,0.9429,0.825,0.88,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 333, 'clf__max_depth': 6, 'clf__learning_rate': 0.09966922586484321, 'clf__subsample': 0.7341335885793561, 'clf__colsample_bytree': 0.9359529109872429, 'clf__min_child_weight': 1, 'clf__gamma': 2.8086912113641764, 'clf__reg_alpha': 1.7178085989976037, 'clf__reg_lambda': 1.7254242640645678}",all,f_classif,333.0,6.0,,,,,,0.09966922586484321,0.7341335885793561,0.9359529109872429,1.0,2.8086912113641764,1.7178085989976037,1.7254242640645678,,
XGB,3,0.8173,0.8152,0.8328,0.8144,0.8404,0.8173,0.8198,0.7059,0.9,0.7912,0.9245,0.7656,0.8376,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 182, 'clf__max_depth': 9, 'clf__learning_rate': 0.012655079534794547, 'clf__subsample': 0.8984617293080012, 'clf__colsample_bytree': 0.6814761310264678, 'clf__min_child_weight': 2, 'clf__gamma': 3.491954152005409, 'clf__reg_alpha': 1.1691890165792418, 'clf__reg_lambda': 0.9085407993912502}",94,f_classif,182.0,9.0,,,,,,0.012655079534794547,0.8984617293080012,0.6814761310264678,2.0,3.491954152005409,1.1691890165792418,0.9085407993912502,,
XGB,4,0.7324,0.7555,0.742,0.7305,0.7623,0.7324,0.7289,0.8519,0.6053,0.7077,0.6591,0.8788,0.7532,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 221, 'clf__max_depth': 11, 'clf__learning_rate': 0.04242932897232545, 'clf__subsample': 0.9777830270249471, 'clf__colsample_bytree': 0.6557191533341291, 'clf__min_child_weight': 3, 'clf__gamma': 3.678040241185206, 'clf__reg_alpha': 0.618271189774953, 'clf__reg_lambda': 0.6353937043661981}",94,f_classif,221.0,11.0,,,,,,0.04242932897232545,0.9777830270249471,0.6557191533341291,3.0,3.678040241185206,0.618271189774953,0.6353937043661981,,
XGB,5,0.8113,0.8107,0.8107,0.8107,0.8113,0.8113,0.8113,0.8,0.8,0.8,0.8214,0.8214,0.8214,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 7, 'clf__learning_rate': 0.010183017626725025, 'clf__subsample': 0.6407541475788169, 'clf__colsample_bytree': 0.6522102246366909, 'clf__min_child_weight': 2, 'clf__gamma': 2.38781832604268, 'clf__reg_alpha': 1.4899636479277765, 'clf__reg_lambda': 0.43544411255757925}",84,f_classif,396.0,7.0,,,,,,0.010183017626725025,0.6407541475788169,0.6522102246366909,2.0,2.38781832604268,1.4899636479277765,0.43544411255757925,,
DT,1,0.8151,0.7943,0.7867,0.7902,0.8132,0.8151,0.8139,0.7368,0.7,0.7179,0.8519,0.8734,0.8625,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 14, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",10,f_classif,,14.0,19.0,10.0,sqrt,,,,,,,,,,gini,random
DT,2,0.6825,0.7456,0.7408,0.6825,0.802,0.6825,0.6811,0.5366,0.9565,0.6875,0.9545,0.525,0.6774,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",52,f_classif,,4.0,16.0,4.0,log2,,,,,,,,,,gini,random
DT,3,0.625,0.7189,0.6859,0.6208,0.7678,0.625,0.6115,0.5067,0.95,0.6609,0.931,0.4219,0.5806,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",94,f_classif,,2.0,12.0,9.0,sqrt,,balanced,,,,,,,,gini,random
DT,4,0.6761,0.6766,0.6774,0.6758,0.6792,0.6761,0.6764,0.7143,0.6579,0.6849,0.6389,0.697,0.6667,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 1, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",52,f_classif,,1.0,5.0,4.0,log2,,balanced,,,,,,,,entropy,best
DT,5,0.7358,0.773,0.7457,0.7312,0.7796,0.7358,0.7291,0.6571,0.92,0.7667,0.8889,0.5714,0.6957,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",21,f_classif,,4.0,4.0,8.0,sqrt,,balanced,,,,,,,,gini,random
RF,MEAN,0.7706,0.7749,0.7808,0.7655,0.7962,0.7706,0.7713,0.6987,0.8187,0.7455,0.8512,0.7429,0.7854,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0577,0.0488,0.0569,0.0545,0.0566,0.0577,0.059,0.0598,0.1388,0.0556,0.1253,0.0862,0.0677,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.8083,0.8062,0.8107,0.8017,0.8218,0.8083,0.8085,0.7703,0.7887,0.7713,0.8421,0.8328,0.832,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.046,0.0328,0.0467,0.0442,0.0405,0.046,0.0481,0.0566,0.1281,0.0484,0.1132,0.046,0.0499,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,MEAN,0.7069,0.7417,0.7273,0.7001,0.7684,0.7069,0.7024,0.6303,0.8369,0.7036,0.853,0.6177,0.6966,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,STD,0.0721,0.0462,0.0454,0.0638,0.053,0.0721,0.0751,0.1039,0.1456,0.0407,0.126,0.1737,0.1028,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
