Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6437,0.7555,0.8406,-0.5717,all,f_classif,336.0,6,12.0,balanced,,,
XGB,1,0.6021,0.7522,0.834,-0.5639,all,f_classif,92.0,11,,,0.021286495908069115,0.849406345573228,
DT,1,0.6301,0.7253,0.7781,-0.6464,21,f_classif,,2,14.0,balanced,,,entropy
RF,2,0.7689,0.8123,0.9009,-0.5067,52,f_classif,220.0,11,14.0,,,,
XGB,2,0.7419,0.7838,0.8879,-0.5066,52,f_classif,182.0,6,,,0.015327721389306907,0.6601297038645116,
DT,2,0.5036,0.6922,0.7344,-0.6134,94,f_classif,,5,11.0,,,,entropy
RF,3,0.7451,0.779,0.8646,-0.496,52,f_classif,316.0,11,18.0,,,,
XGB,3,0.6532,0.6938,0.7726,-0.5167,21,f_classif,489.0,10,,,0.06672272388297532,0.6722167794688765,
DT,3,0.6944,0.6976,0.724,-0.5693,73,f_classif,,3,7.0,balanced,,,entropy
RF,4,0.6656,0.7151,0.8094,-0.4753,73,f_classif,350.0,19,20.0,,,,
XGB,4,0.6687,0.6986,0.8141,-0.4981,52,f_classif,51.0,3,,,0.08328179992489314,0.640828613274397,
DT,4,0.6796,0.6603,0.6963,-0.5793,31,f_classif,,3,19.0,balanced,,,gini
RF,5,0.7935,0.813,0.8848,-0.4793,84,f_classif,225.0,12,4.0,balanced,,,
XGB,5,0.7741,0.802,0.8831,-0.4821,84,f_classif,235.0,4,,,0.015127000210610331,0.831570870804152,
DT,5,0.7111,0.6939,0.7694,-0.5733,84,f_classif,,3,9.0,balanced,,,gini
