Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7746,0.743,0.7487,0.7456,0.7776,0.7746,0.7759,0.6448,0.6754,0.6598,0.8412,0.8221,0.8315,0.8537,k=94; n_est=410; depth=8,-0.5676
2RF,2,0.7829,0.7804,0.8088,0.7771,0.8251,0.7829,0.788,0.6331,0.8943,0.7414,0.9276,0.7234,0.8129,0.8844,k=52; n_est=288; depth=13,-0.4927
3RF,3,0.7653,0.773,0.7844,0.764,0.7986,0.7653,0.7677,0.6509,0.8755,0.7467,0.895,0.6934,0.7814,0.8532,k=42; n_est=411; depth=6,-0.5375
4RF,4,0.738,0.7493,0.7419,0.7368,0.7517,0.738,0.7361,0.8128,0.6441,0.7187,0.6857,0.8396,0.7549,0.8148,k=73; n_est=455; depth=10,-0.4564
5RF,5,0.814,0.8132,0.8143,0.8135,0.8148,0.814,0.8142,0.7904,0.8178,0.8039,0.8361,0.8107,0.8232,0.8944,k=73; n_est=297; depth=9,-0.4907
1XGB,1,0.7671,0.7339,0.7324,0.7331,0.7664,0.7671,0.7667,0.6418,0.634,0.6378,0.826,0.8308,0.8284,0.8466,k=84; n_est=110; depth=6; lr=0.015,-0.5488
2XGB,2,0.7817,0.7828,0.8116,0.7768,0.8296,0.7817,0.7868,0.6287,0.9099,0.7436,0.9368,0.7132,0.8099,0.891,k=52; n_est=129; depth=3; lr=0.046,-0.504
3XGB,3,0.7646,0.7537,0.7539,0.7538,0.7647,0.7646,0.7646,0.7014,0.7034,0.7024,0.806,0.8045,0.8052,0.8478,k=42; n_est=77; depth=6; lr=0.035,-0.5096
4XGB,4,0.7188,0.7396,0.7241,0.7154,0.7428,0.7188,0.7142,0.8207,0.5869,0.6844,0.6585,0.8614,0.7464,0.816,k=all; n_est=182; depth=3; lr=0.019,-0.4749
5XGB,5,0.8004,0.8028,0.7963,0.7978,0.8018,0.8004,0.7994,0.8177,0.7358,0.7746,0.788,0.8568,0.821,0.8842,k=84; n_est=73; depth=3; lr=0.035,-0.5044
1DT,1,0.7403,0.7342,0.7671,0.73,0.7935,0.7403,0.7486,0.5662,0.8433,0.6775,0.9021,0.691,0.7826,0.8232,k=52; depth=2,-0.6356
2DT,2,0.6743,0.635,0.6246,0.6278,0.6647,0.6743,0.6678,0.5374,0.461,0.4963,0.7326,0.7882,0.7594,0.724,k=94; depth=5,-0.5975
3DT,3,0.7142,0.7036,0.7089,0.7053,0.7197,0.7142,0.7161,0.6269,0.6835,0.6539,0.7803,0.7343,0.7566,0.7599,k=42; depth=3,-0.5814
4DT,4,0.6654,0.6791,0.6591,0.6532,0.6775,0.6654,0.6557,0.6384,0.821,0.7183,0.7197,0.4971,0.5881,0.6682,k=42; depth=2,-0.5572
5DT,5,0.6964,0.6979,0.6985,0.6964,0.7006,0.6964,0.6967,0.657,0.7295,0.6913,0.7388,0.6676,0.7014,0.7271,k=73; depth=2,-0.5908
RF,MEAN,0.775,0.7718,0.7796,0.7674,0.7936,0.775,0.7764,0.7064,0.7814,0.7341,0.8371,0.7778,0.8008,0.8601,MEAN_VALUES,-0.509
RF,STD,0.0247,0.025,0.0299,0.027,0.0264,0.0247,0.0255,0.0783,0.103,0.0466,0.083,0.0582,0.0285,0.028,STD_VALUES,0.039
XGB,MEAN,0.7665,0.7626,0.7637,0.7554,0.7811,0.7665,0.7663,0.7221,0.714,0.7086,0.8031,0.8133,0.8022,0.8571,MEAN_VALUES,-0.5083
XGB,STD,0.0271,0.0263,0.0346,0.0295,0.0308,0.0271,0.0291,0.083,0.1109,0.0474,0.0889,0.0541,0.0291,0.0275,STD_VALUES,0.0236
DT,MEAN,0.6981,0.69,0.6916,0.6825,0.7112,0.6981,0.697,0.6052,0.7077,0.6475,0.7747,0.6756,0.7176,0.7405,MEAN_VALUES,-0.5925
DT,STD,0.0271,0.0327,0.0482,0.0369,0.0453,0.0271,0.0334,0.0456,0.1365,0.0784,0.0669,0.0983,0.07,0.0508,STD_VALUES,0.0255
