Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7723,0.7419,0.749,0.7451,0.7762,0.7723,0.7739,0.6429,0.6818,0.6618,0.8409,0.8162,0.8284,0.8216,k=all; n_est=348; depth=7,-0.5656
2RF,2,0.844,0.8369,0.8611,0.8397,0.8665,0.844,0.8467,0.7255,0.925,0.8132,0.9483,0.7971,0.8661,0.9123,k=73; n_est=237; depth=15,-0.5345
3RF,3,0.8171,0.8147,0.826,0.815,0.8308,0.8171,0.8188,0.7294,0.8732,0.7949,0.9,0.7788,0.8351,0.8835,k=94; n_est=236; depth=19,-0.5071
4RF,4,0.7583,0.786,0.7633,0.7545,0.7893,0.7583,0.7535,0.8837,0.6129,0.7238,0.6883,0.9138,0.7852,0.797,k=94; n_est=370; depth=19,-0.4941
5RF,5,0.8222,0.8239,0.8255,0.8221,0.8277,0.8222,0.8224,0.7742,0.8675,0.8182,0.8736,0.7835,0.8261,0.8927,k=84; n_est=430; depth=14,-0.5197
1XGB,1,0.7723,0.7412,0.7412,0.7412,0.7723,0.7723,0.7723,0.6515,0.6515,0.6515,0.8309,0.8309,0.8309,0.8407,k=84; n_est=256; depth=12; lr=0.019,-0.517
2XGB,2,0.8716,0.8608,0.8828,0.8666,0.8848,0.8716,0.8734,0.7708,0.925,0.8409,0.9508,0.8406,0.8923,0.9018,k=94; n_est=448; depth=9; lr=0.021,-0.5097
3XGB,3,0.7943,0.7902,0.8001,0.7913,0.8052,0.7943,0.796,0.7108,0.831,0.7662,0.8696,0.7692,0.8163,0.8627,k=73; n_est=409; depth=11; lr=0.014,-0.4953
4XGB,4,0.7417,0.7679,0.7467,0.7376,0.771,0.7417,0.7365,0.8605,0.5968,0.7048,0.6753,0.8966,0.7704,0.8156,k=94; n_est=107; depth=8; lr=0.056,-0.492
5XGB,5,0.8111,0.8103,0.8091,0.8096,0.8109,0.8111,0.8109,0.8025,0.7831,0.7927,0.8182,0.8351,0.8265,0.8887,k=73; n_est=61; depth=9; lr=0.077,-0.5092
1DT,1,0.7228,0.6972,0.7161,0.7014,0.7443,0.7228,0.7291,0.561,0.697,0.6216,0.8333,0.7353,0.7812,0.757,k=10; depth=4,-0.6163
2DT,2,0.7431,0.7665,0.7813,0.7421,0.8116,0.7431,0.7465,0.5968,0.925,0.7255,0.9362,0.6377,0.7586,0.7891,k=21; depth=2,-0.5831
3DT,3,0.68,0.6993,0.7017,0.6799,0.7229,0.68,0.6809,0.5743,0.8169,0.6744,0.8243,0.5865,0.6854,0.7202,k=52; depth=2,-0.5634
4DT,4,0.7167,0.7167,0.7169,0.7166,0.7172,0.7167,0.7167,0.7333,0.7097,0.7213,0.7,0.7241,0.7119,0.7169,k=84; depth=1,-0.5565
5DT,5,0.7056,0.7777,0.7242,0.6953,0.7903,0.7056,0.691,0.6154,0.9639,0.7512,0.94,0.4845,0.6395,0.7242,k=73; depth=1,-0.5769
RF,MEAN,0.8028,0.8007,0.805,0.7953,0.8181,0.8028,0.8031,0.7511,0.7921,0.7624,0.8502,0.8179,0.8282,0.8614,MEAN_VALUES,-0.5242
RF,STD,0.0322,0.0338,0.0422,0.0381,0.0322,0.0322,0.0342,0.0787,0.1218,0.0606,0.0883,0.0497,0.0258,0.0442,STD_VALUES,0.0247
XGB,MEAN,0.7982,0.7941,0.796,0.7893,0.8088,0.7982,0.7978,0.7592,0.7575,0.7512,0.829,0.8345,0.8273,0.8619,MEAN_VALUES,-0.5046
XGB,STD,0.0434,0.0405,0.0513,0.0477,0.0414,0.0434,0.0454,0.0724,0.1193,0.0665,0.0897,0.0404,0.039,0.0313,STD_VALUES,0.0094
DT,MEAN,0.7136,0.7315,0.728,0.7071,0.7573,0.7136,0.7128,0.6162,0.8225,0.6988,0.8468,0.6336,0.7153,0.7415,MEAN_VALUES,-0.5792
DT,STD,0.0208,0.034,0.0276,0.0211,0.0374,0.0208,0.0241,0.0615,0.1086,0.0459,0.0882,0.0927,0.0507,0.0278,STD_VALUES,0.0208
