Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6618,0.7723,0.8216,-0.5656,all,f_classif,348.0,7,8.0,balanced,,,
XGB,1,0.6515,0.7723,0.8407,-0.517,84,f_classif,256.0,12,,,0.018592019070817044,0.8149118051424098,
DT,1,0.6216,0.7228,0.757,-0.6163,10,f_classif,,4,6.0,,,,gini
RF,2,0.8132,0.844,0.9123,-0.5345,73,f_classif,237.0,15,5.0,balanced,,,
XGB,2,0.8409,0.8716,0.9018,-0.5097,94,f_classif,448.0,9,,,0.020731890453180392,0.8401917937726953,
DT,2,0.7255,0.7431,0.7891,-0.5831,21,f_classif,,2,12.0,,,,gini
RF,3,0.7949,0.8171,0.8835,-0.5071,94,f_classif,236.0,19,4.0,balanced,,,
XGB,3,0.7662,0.7943,0.8627,-0.4953,73,f_classif,409.0,11,,,0.013797655410951565,0.626448064839973,
DT,3,0.6744,0.68,0.7202,-0.5634,52,f_classif,,2,19.0,,,,gini
RF,4,0.7238,0.7583,0.797,-0.4941,94,f_classif,370.0,19,11.0,balanced,,,
XGB,4,0.7048,0.7417,0.8156,-0.492,94,f_classif,107.0,8,,,0.056122911000739545,0.8930171693903263,
DT,4,0.7213,0.7167,0.7169,-0.5565,84,f_classif,,1,5.0,,,,gini
RF,5,0.8182,0.8222,0.8927,-0.5197,84,f_classif,430.0,14,19.0,balanced,,,
XGB,5,0.7927,0.8111,0.8887,-0.5092,73,f_classif,61.0,9,,,0.07700289234482109,0.6692505786560934,
DT,5,0.7512,0.7056,0.7242,-0.5769,73,f_classif,,1,10.0,,,,gini
