,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.8018,368.0,5.0,13.0,2.0,sqrt,True,,,,,,,,,
1,RF,2,0.6619,450.0,7.0,12.0,3.0,sqrt,True,,,,,,,,,
2,RF,3,0.7117,447.0,8.0,12.0,5.0,sqrt,True,,,,,,,,,
3,RF,4,0.7488,53.0,17.0,6.0,4.0,sqrt,True,,,,,,,,,
4,RF,5,0.7588,82.0,6.0,6.0,2.0,,True,,,,,,,,,
5,XGB,1,0.7726,97.0,3.0,,,,,0.014863286885964173,0.9738285986498977,0.7418326420391398,9.0,1.7608788310379793,0.11775407235813629,0.23003947722339935,,
6,XGB,2,0.6753,174.0,3.0,,,,,0.01210139852728334,0.9352478375503621,0.6835684569462417,2.0,3.865243379334843,1.3171025078859118,1.5508732153799172,,
7,XGB,3,0.7355,61.0,3.0,,,,,0.025730717685220887,0.7924683488182086,0.839284202267856,5.0,0.11050904700508159,0.4898451701599855,1.580469629420984,,
8,XGB,4,0.7449,259.0,11.0,,,,,0.013894278512732144,0.7128999969055395,0.7541664584470726,3.0,4.357378764662609,0.7805121578320608,1.7212151371856816,,
9,XGB,5,0.7699,427.0,3.0,,,,,0.1751145169665139,0.9950179287795287,0.7944889402347415,8.0,1.0467584066185758,0.9563869529962757,1.0569551783641984,,
10,DT,1,0.7125,,5.0,19.0,4.0,,,,,,,,,,entropy,random
11,DT,2,0.6637,,7.0,14.0,9.0,,,,,,,,,,gini,random
12,DT,3,0.7461,,6.0,13.0,3.0,,,,,,,,,,entropy,random
13,DT,4,0.7344,,5.0,8.0,7.0,,,,,,,,,,entropy,random
14,DT,5,0.7356,,6.0,2.0,4.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.7366,,,,,,,,,,,,,,,
16,RF,STD,0.0471,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7397,,,,,,,,,,,,,,,
18,XGB,STD,0.0352,,,,,,,,,,,,,,,
19,DT,MEAN,0.7185,,,,,,,,,,,,,,,
20,DT,STD,0.0295,,,,,,,,,,,,,,,
