,Model,Fold,Accuracy,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_learning_rate,best_subsample,best_colsample_bytree,best_min_child_weight,best_gamma,best_reg_alpha,best_reg_lambda,best_criterion,best_splitter
0,RF,1,0.7388,242.0,19.0,16.0,3.0,sqrt,True,,,,,,,,,
1,RF,2,0.766,215.0,5.0,13.0,7.0,sqrt,True,,,,,,,,,
2,RF,3,0.7313,120.0,18.0,16.0,2.0,sqrt,True,,,,,,,,,
3,RF,4,0.7805,266.0,19.0,4.0,7.0,sqrt,True,,,,,,,,,
4,RF,5,0.7391,291.0,19.0,9.0,1.0,log2,True,,,,,,,,,
5,XGB,1,0.7405,319.0,12.0,,,,,0.01351182947645082,0.6783931449676581,0.6180909155642152,4.0,1.9433864484474102,0.5426980635477918,1.6574750183038587,,
6,XGB,2,0.8032,499.0,9.0,,,,,0.02677342144087824,0.6097259194088174,0.9962928066797128,7.0,4.8359684657355375,1.2324234789258077,0.009347141405547849,,
7,XGB,3,0.7173,168.0,6.0,,,,,0.06129375051458127,0.6556110140940716,0.6860467407181459,9.0,3.3853101040429645,1.869094121282326,0.782202963188869,,
8,XGB,4,0.792,348.0,6.0,,,,,0.05864129169696527,0.8186841117373118,0.6739417822102108,10.0,3.8756641168055728,1.8789978831283782,1.7896547008552977,,
9,XGB,5,0.7115,435.0,9.0,,,,,0.015181090722098613,0.6424409259937318,0.9949989412875626,7.0,4.992483437747104,1.1838925299404925,0.09333907321837742,,
10,DT,1,0.699,,5.0,14.0,7.0,,,,,,,,,,entropy,random
11,DT,2,0.7447,,3.0,14.0,7.0,,,,,,,,,,gini,best
12,DT,3,0.7103,,5.0,10.0,10.0,,,,,,,,,,gini,random
13,DT,4,0.7233,,4.0,9.0,6.0,,,,,,,,,,entropy,random
14,DT,5,0.6423,,6.0,16.0,9.0,,,,,,,,,,entropy,random
15,RF,MEAN,0.7511,,,,,,,,,,,,,,,
16,RF,STD,0.0188,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7529,,,,,,,,,,,,,,,
18,XGB,STD,0.0379,,,,,,,,,,,,,,,
19,DT,MEAN,0.7039,,,,,,,,,,,,,,,
20,DT,STD,0.0343,,,,,,,,,,,,,,,
