,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,87,1,101,80,0,50,68,2,358
1,RF,2,149,15,79,121,19,88,195,12,118
2,RF,3,212,63,354,97,32,224,7,2,289
3,RF,4,167,87,60,52,87,41,133,127,257
4,RF,5,211,31,159,69,31,99,23,0,325
5,XGB,1,99,13,77,51,31,48,77,14,337
6,XGB,2,106,31,106,99,49,80,165,22,138
7,XGB,3,245,39,345,116,15,222,6,3,289
8,XGB,4,210,18,86,103,30,47,194,30,293
9,XGB,5,216,24,161,69,27,103,15,0,333
10,DT,1,67,0,122,67,0,63,25,0,403
11,DT,2,171,0,72,137,0,91,224,0,101
12,DT,3,41,124,464,28,67,258,2,7,289
13,DT,4,74,57,183,36,75,69,131,43,343
14,DT,5,49,0,352,42,0,157,3,0,345
