,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,116,24,68,20,11,55,38,7,181
1,RF,2,78,44,55,15,20,43,44,39,105
2,RF,3,80,3,38,70,15,25,85,3,56
3,RF,4,125,15,75,54,30,44,34,25,156
4,RF,5,65,0,96,80,6,63,8,0,184
5,XGB,1,99,46,63,18,12,56,32,13,181
6,XGB,2,75,34,68,21,9,48,46,16,126
7,XGB,3,80,4,37,55,27,28,81,4,59
8,XGB,4,127,13,75,48,26,54,29,4,182
9,XGB,5,62,0,99,90,0,59,9,0,183
10,DT,1,51,73,84,12,21,53,13,24,189
11,DT,2,108,0,69,27,0,51,63,0,125
12,DT,3,63,0,58,42,0,68,28,0,116
13,DT,4,176,0,39,82,0,46,88,0,127
14,DT,5,18,0,143,59,0,90,1,0,191
