,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5133,0.4717,0.4659,0.4661,0.5111,0.5133,0.5098,0.64,0.6793,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 445, 'clf__max_depth': 5, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6023,0.5564,0.5784,0.6862,0.3206,0.2577,0.2857,0.556,0.4923,0.5835,0.534,0.6777,28,f_classif,445.0,5.0,8.0,6.0,sqrt,False,,,,,,,,,,
1,RF,2,0.4733,0.4679,0.4245,0.4024,0.4785,0.4733,0.4441,0.5989,0.6473,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 461, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4413,0.7147,0.5457,0.6497,0.4375,0.1129,0.1795,0.5449,0.525,0.4458,0.4821,0.6021,28,f_classif,461.0,3.0,9.0,7.0,sqrt,False,,,,,,,,,,
2,RF,3,0.5802,0.5698,0.4645,0.4353,0.5772,0.5802,0.5309,0.7061,0.7406,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__n_estimators': 460, 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4766,0.5308,0.5022,0.6329,0.5882,0.0444,0.0826,0.7293,0.6446,0.8182,0.7211,0.756,14,f_classif,460.0,3.0,7.0,3.0,log2,True,,,,,,,,,,
3,RF,4,0.6519,0.6185,0.5971,0.5975,0.6541,0.6519,0.6427,0.748,0.7862,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.6806,0.4441,0.5375,0.7374,0.467,0.5196,0.4919,0.7047,0.708,0.8275,0.7631,0.8018,all,f_classif,444.0,6.0,13.0,7.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.4495,0.4957,0.4997,0.3901,0.5027,0.4495,0.366,0.6693,0.6027,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4559,0.5048,0.4791,0.6172,0.5946,0.0513,0.0944,0.5819,0.4365,0.9431,0.5968,0.8089,all,f_classif,349.0,4.0,20.0,6.0,log2,True,,,,,,,,,,
5,XGB,1,0.5229,0.4826,0.4801,0.4805,0.5243,0.5229,0.5226,0.6278,0.6668,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 285, 'clf__max_depth': 10, 'clf__learning_rate': 0.02216650045814701, 'clf__subsample': 0.6321235447500403, 'clf__colsample_bytree': 0.7066980590113351, 'clf__min_child_weight': 4, 'clf__gamma': 4.737101181824172, 'clf__reg_alpha': 1.8565851447579682, 'clf__reg_lambda': 1.4010810073495004}",0.6225,0.5808,0.6009,0.6818,0.3237,0.3,0.3114,0.5545,0.5016,0.5596,0.5291,0.6472,25,f_classif,285.0,10.0,,,,,,0.02216650045814701,0.6321235447500403,0.7066980590113351,4.0,4.737101181824172,1.8565851447579682,1.4010810073495004,,
6,XGB,2,0.484,0.5041,0.44,0.4427,0.4972,0.484,0.4716,0.6272,0.6731,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 89, 'clf__max_depth': 3, 'clf__learning_rate': 0.02868901041680366, 'clf__subsample': 0.8938227297352905, 'clf__colsample_bytree': 0.7861256482767721, 'clf__min_child_weight': 6, 'clf__gamma': 2.8834280320240775, 'clf__reg_alpha': 0.4859806826103613, 'clf__reg_lambda': 1.0811929536227218}",0.4416,0.5798,0.5013,0.6781,0.5571,0.2097,0.3047,0.5843,0.5137,0.5307,0.522,0.6193,25,f_classif,89.0,3.0,,,,,,0.02868901041680366,0.8938227297352905,0.7861256482767721,6.0,2.8834280320240775,0.4859806826103613,1.0811929536227218,,
7,XGB,3,0.585,0.5873,0.4958,0.5018,0.5794,0.585,0.5525,0.6864,0.7419,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 195, 'clf__max_depth': 4, 'clf__learning_rate': 0.01004926041356449, 'clf__subsample': 0.8973414860577992, 'clf__colsample_bytree': 0.637357241831704, 'clf__min_child_weight': 9, 'clf__gamma': 3.7547948075239477, 'clf__reg_alpha': 1.7151218368894163, 'clf__reg_lambda': 1.1150353031456148}",0.4904,0.3626,0.4169,0.5937,0.6591,0.2578,0.3706,0.757,0.6124,0.867,0.7178,0.7085,all,f_classif,195.0,4.0,,,,,,0.01004926041356449,0.8973414860577992,0.637357241831704,9.0,3.7547948075239477,1.7151218368894163,1.1150353031456148,,
8,XGB,4,0.6722,0.6718,0.573,0.5851,0.6717,0.6722,0.6465,0.7529,0.8041,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 74, 'clf__max_depth': 4, 'clf__learning_rate': 0.019474158074778616, 'clf__subsample': 0.7134612165441325, 'clf__colsample_bytree': 0.6263117897798409, 'clf__min_child_weight': 10, 'clf__gamma': 2.5434615745864093, 'clf__reg_alpha': 1.0749310466429327, 'clf__reg_lambda': 0.11171455082957693}",0.6195,0.5559,0.586,0.7404,0.7051,0.2696,0.3901,0.6983,0.6908,0.8936,0.7792,0.82,all,f_classif,74.0,4.0,,,,,,0.019474158074778616,0.7134612165441325,0.6263117897798409,10.0,2.5434615745864093,1.0749310466429327,0.11171455082957693,,
9,XGB,5,0.4268,0.4247,0.4622,0.3834,0.4254,0.4268,0.3647,0.628,0.5996,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 192, 'clf__max_depth': 4, 'clf__learning_rate': 0.01658050997969722, 'clf__subsample': 0.8209906073467672, 'clf__colsample_bytree': 0.6034545722984725, 'clf__min_child_weight': 8, 'clf__gamma': 4.621508301569855, 'clf__reg_alpha': 1.5965071323629028, 'clf__reg_lambda': 1.5158001406425161}",0.437,0.5452,0.4852,0.6002,0.4189,0.0723,0.1233,0.5028,0.4182,0.7692,0.5418,0.781,all,f_classif,192.0,4.0,,,,,,0.01658050997969722,0.8209906073467672,0.6034545722984725,8.0,4.621508301569855,1.5965071323629028,1.5158001406425161,,
