,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,60,24,24,33,59,51,46,16,251
1,RF,2,136,5,232,81,0,78,17,0,256
2,RF,3,187,22,80,81,60,43,202,34,161
3,RF,4,250,28,183,79,31,109,46,22,281
4,RF,5,110,19,42,62,7,66,66,4,205
5,XGB,1,92,6,10,74,9,60,62,9,242
6,XGB,2,149,5,219,81,0,78,16,4,253
7,XGB,3,181,20,88,58,86,40,187,42,168
8,XGB,4,228,30,203,81,26,112,58,12,279
9,XGB,5,101,21,49,58,16,61,64,10,201
10,DT,1,103,0,5,102,0,41,94,7,212
11,DT,2,182,0,191,90,0,69,18,0,255
12,DT,3,101,0,188,69,0,115,39,0,358
13,DT,4,0,146,315,0,75,144,0,27,322
14,DT,5,60,0,111,16,0,119,6,0,269
