,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,28,28,f_classif,0.778
1,RF,2,28,28,f_classif,0.778
2,RF,3,all,36,f_classif,1.0
3,RF,4,32,32,f_classif,0.889
4,RF,5,14,14,f_classif,0.389
5,XGB,1,7,7,f_classif,0.194
6,XGB,2,3,3,f_classif,0.083
7,XGB,3,18,18,f_classif,0.5
8,XGB,4,all,36,f_classif,1.0
9,XGB,5,10,10,f_classif,0.278
10,DT,1,18,18,f_classif,0.5
11,DT,2,25,25,f_classif,0.694
12,DT,3,25,25,f_classif,0.694
13,DT,4,3,3,f_classif,0.083
14,DT,5,14,14,f_classif,0.389
