,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6941,0.6458,0.6293,0.598,0.703,0.6941,0.6681,0.8059,0.7983,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 465, 'clf__max_depth': 4, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.4783,0.7333,0.5789,0.8762,0.6667,0.2609,0.375,0.7363,0.7925,0.8936,0.84,0.8052,28,f_classif,465.0,4.0,13.0,7.0,sqrt,True,,,,,,,,,,
1,RF,2,0.4969,0.4999,0.5124,0.4553,0.5384,0.4969,0.4761,0.7096,0.6675,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 196, 'clf__max_depth': 14, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': None}",0.6552,0.475,0.5507,0.6944,0.4444,0.1905,0.2667,0.6331,0.4,0.8718,0.5484,0.8014,all,f_classif,196.0,14.0,10.0,7.0,,True,,,,,,,,,,
2,RF,3,0.5512,0.5499,0.541,0.5397,0.5696,0.5512,0.5539,0.7305,0.7388,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__n_estimators': 312, 'clf__max_depth': 4, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4909,0.6279,0.551,0.7547,0.4516,0.4375,0.4444,0.6451,0.7073,0.5577,0.6237,0.7918,25,f_classif,312.0,4.0,12.0,6.0,log2,True,balanced,,,,,,,,,
3,RF,4,0.3256,0.3342,0.3553,0.3409,0.3203,0.3256,0.3191,0.5674,0.5536,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 284, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.2963,0.2222,0.254,0.5017,0.4091,0.5,0.45,0.6814,0.2973,0.3438,0.3188,0.5191,all,f_classif,284.0,3.0,9.0,10.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.621,0.6137,0.5508,0.5633,0.6305,0.621,0.6135,0.7214,0.7594,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 301, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4595,0.5312,0.4928,0.7086,0.6923,0.36,0.4737,0.7087,0.6892,0.7612,0.7234,0.7471,all,f_classif,301.0,3.0,20.0,6.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.5882,0.3611,0.521,0.4154,0.4735,0.5882,0.5165,0.7729,0.7849,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 131, 'clf__max_depth': 4, 'clf__learning_rate': 0.01833102230790873, 'clf__subsample': 0.68449563826785, 'clf__colsample_bytree': 0.6597720152202674, 'clf__min_child_weight': 8, 'clf__gamma': 2.4174721004339004, 'clf__reg_alpha': 0.3890651034966659, 'clf__reg_lambda': 1.4432866023755504}",0.3333,0.7333,0.4583,0.8095,0.0,0.0,0.0,0.7202,0.75,0.8298,0.7879,0.7889,10,f_classif,131.0,4.0,,,,,,0.01833102230790873,0.68449563826785,0.6597720152202674,8.0,2.4174721004339004,0.3890651034966659,1.4432866023755504,,
6,XGB,2,0.472,0.4738,0.4995,0.4403,0.5132,0.472,0.4525,0.6891,0.6535,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__n_estimators': 177, 'clf__max_depth': 6, 'clf__learning_rate': 0.08849808235480729, 'clf__subsample': 0.6857348449354894, 'clf__colsample_bytree': 0.7410127946370235, 'clf__min_child_weight': 6, 'clf__gamma': 1.8951994401994825, 'clf__reg_alpha': 0.8681874168827697, 'clf__reg_lambda': 1.8766319969407899}",0.6346,0.4125,0.5,0.6566,0.3913,0.2143,0.2769,0.6069,0.3953,0.8718,0.544,0.8038,14,f_classif,177.0,6.0,,,,,,0.08849808235480729,0.6857348449354894,0.7410127946370235,6.0,1.8951994401994825,0.8681874168827697,1.8766319969407899,,
7,XGB,3,0.4961,0.5197,0.4868,0.4827,0.5299,0.4961,0.492,0.7229,0.717,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 115, 'clf__max_depth': 11, 'clf__learning_rate': 0.010205198512316507, 'clf__subsample': 0.9702313305570627, 'clf__colsample_bytree': 0.6255579778838255, 'clf__min_child_weight': 7, 'clf__gamma': 0.4467679389218082, 'clf__reg_alpha': 1.3984276747349789, 'clf__reg_lambda': 1.1114943918935707}",0.4203,0.6744,0.5179,0.7101,0.5,0.3438,0.4074,0.6964,0.6389,0.4423,0.5227,0.7621,32,f_classif,115.0,11.0,,,,,,0.010205198512316507,0.9702313305570627,0.6255579778838255,7.0,0.4467679389218082,1.3984276747349789,1.1114943918935707,,
8,XGB,4,0.4302,0.435,0.4421,0.4125,0.4336,0.4302,0.4006,0.5608,0.6034,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 124, 'clf__max_depth': 12, 'clf__learning_rate': 0.010895978830549387, 'clf__subsample': 0.8263307062802618, 'clf__colsample_bytree': 0.702797563258395, 'clf__min_child_weight': 6, 'clf__gamma': 2.1034354932358705, 'clf__reg_alpha': 1.4291625574001503, 'clf__reg_lambda': 0.07431649338683706}",0.4375,0.1944,0.2692,0.4744,0.4444,0.4444,0.4444,0.6993,0.4231,0.6875,0.5238,0.5087,32,f_classif,124.0,12.0,,,,,,0.010895978830549387,0.8263307062802618,0.702797563258395,6.0,2.1034354932358705,1.4291625574001503,0.07431649338683706,,
9,XGB,5,0.629,0.6302,0.5332,0.5301,0.6455,0.629,0.6044,0.7068,0.7486,32,f_classif,"{'selector__k': 32, 'selector__score_func': 'f_classif', 'clf__n_estimators': 471, 'clf__max_depth': 9, 'clf__learning_rate': 0.010180616096612107, 'clf__subsample': 0.6322143123049306, 'clf__colsample_bytree': 0.8178441727875922, 'clf__min_child_weight': 5, 'clf__gamma': 2.5597799797000667, 'clf__reg_alpha': 1.0775253900959902, 'clf__reg_lambda': 0.3217580336573568}",0.475,0.5938,0.5278,0.7092,0.7143,0.2,0.3125,0.6861,0.7013,0.806,0.75,0.7251,32,f_classif,471.0,9.0,,,,,,0.010180616096612107,0.6322143123049306,0.8178441727875922,5.0,2.5597799797000667,1.0775253900959902,0.3217580336573568,,
10,DT,1,0.1765,0.0588,0.3333,0.1,0.0311,0.1765,0.0529,0.5,0.4529,3,f_classif,"{'selector__k': 3, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.1765,1.0,0.3,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,3,f_classif,,2.0,9.0,6.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.323,0.4734,0.4063,0.2663,0.5539,0.323,0.2421,0.6386,0.5855,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.8,0.1,0.1778,0.6077,0.3333,0.119,0.1754,0.576,0.2868,1.0,0.4457,0.732,25,f_classif,,2.0,17.0,9.0,sqrt,,,,,,,,,,entropy,random
12,DT,3,0.4803,0.29,0.4351,0.3413,0.3021,0.4803,0.3652,0.6286,0.6645,7,f_classif,"{'selector__k': 7, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.0,0.0,0.0,0.6435,0.3438,0.3438,0.3438,0.5613,0.5263,0.9615,0.6803,0.6808,7,f_classif,,1.0,13.0,5.0,sqrt,,balanced,,,,,,,,gini,random
13,DT,4,0.3837,0.3684,0.3623,0.3177,0.3657,0.3837,0.3262,0.5541,0.5749,7,f_classif,"{'selector__k': 7, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.3333,0.1389,0.1961,0.4742,0.375,0.1667,0.2308,0.6524,0.3968,0.7812,0.5263,0.5359,7,f_classif,,3.0,18.0,3.0,log2,,,,,,,,,,gini,random
14,DT,5,0.5081,0.3508,0.4386,0.3701,0.4732,0.5081,0.4701,0.6499,0.7203,25,f_classif,"{'selector__k': 25, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.3382,0.7188,0.46,0.6024,0.0,0.0,0.0,0.6628,0.7143,0.597,0.6504,0.6845,25,f_classif,,2.0,19.0,9.0,log2,,,,,,,,,,gini,random
15,RF,MEAN,0.5378,0.5287,0.5178,0.4994,0.5524,0.5378,0.5261,0.707,0.7035,N/A,N/A,N/A,0.476,0.5179,0.4855,0.7071,0.5328,0.3498,0.402,0.6809,0.5773,0.6856,0.6109,0.7329,,,,,,,,,,,,,,,,,,
16,RF,STD,0.1399,0.1225,0.1006,0.1031,0.1442,0.1399,0.1359,0.0867,0.0963,N/A,N/A,N/A,0.1274,0.1923,0.1331,0.1353,0.1352,0.1261,0.0841,0.043,0.2154,0.2328,0.1966,0.1218,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5231,0.484,0.4965,0.4562,0.5191,0.5231,0.4932,0.6905,0.7015,N/A,N/A,N/A,0.4601,0.5217,0.4546,0.672,0.41,0.2405,0.2882,0.6818,0.5817,0.7275,0.6257,0.7177,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0828,0.1003,0.0354,0.05,0.0799,0.0828,0.0761,0.0789,0.073,N/A,N/A,N/A,0.1105,0.2193,0.107,0.1235,0.26,0.1676,0.1749,0.0437,0.1626,0.1735,0.1317,0.1206,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.3743,0.3083,0.3951,0.2791,0.3452,0.3743,0.2913,0.5942,0.5996,N/A,N/A,N/A,0.3296,0.3915,0.2268,0.5656,0.2104,0.1259,0.15,0.5905,0.3848,0.6679,0.4605,0.6266,,,,,,,,,,,,,,,,,,
20,DT,STD,0.1332,0.1543,0.0461,0.1071,0.2005,0.1332,0.1564,0.0647,0.1014,N/A,N/A,N/A,0.2973,0.4414,0.1692,0.0739,0.1927,0.1422,0.1498,0.0677,0.2676,0.4063,0.2743,0.102,,,,,,,,,,,,,,,,,,
