,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.4477,0.5189,0.4156,0.3682,0.5838,0.4477,0.4419,0.6635,0.655,"{'pca__n_components': 0.99, 'clf__n_estimators': 441, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.2571,0.6545,0.3692,0.588,0.5714,0.0727,0.129,0.6592,0.7283,0.5194,0.6063,0.7432,0.99,441.0,3.0,17.0,10.0,log2,True,,,,,,,,,,
1,RF,2,0.5035,0.4969,0.4833,0.4486,0.5402,0.5035,0.4756,0.6637,0.6763,"{'pca__n_components': 0.99, 'clf__n_estimators': 424, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7015,0.3672,0.4821,0.7233,0.3171,0.2063,0.25,0.5042,0.4722,0.8763,0.6137,0.7635,0.99,424.0,3.0,17.0,3.0,log2,True,,,,,,,,,,
2,RF,3,0.5598,0.5658,0.529,0.5161,0.5635,0.5598,0.5342,0.6928,0.7142,"{'pca__n_components': 0.9, 'clf__n_estimators': 242, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5517,0.5,0.5246,0.6788,0.5862,0.2537,0.3542,0.6191,0.5594,0.8333,0.6695,0.7807,0.9,242.0,3.0,4.0,1.0,sqrt,True,balanced,,,,,,,,,
3,XGB,1,0.4644,0.4619,0.4259,0.3969,0.5527,0.4644,0.4711,0.6556,0.6568,"{'pca__n_components': 0.99, 'clf__n_estimators': 118, 'clf__max_depth': 3, 'clf__learning_rate': 0.020087545246041203, 'clf__subsample': 0.7450248905190694, 'clf__colsample_bytree': 0.7550403609702945, 'clf__min_child_weight': 10, 'clf__gamma': 3.0143713755795014, 'clf__reg_alpha': 0.7618588407123638, 'clf__reg_lambda': 1.6044985904767777}",0.2619,0.6,0.3646,0.5704,0.3684,0.1273,0.1892,0.6479,0.7553,0.5504,0.6368,0.7484,0.99,118.0,3.0,,,,,,0.020087545246041203,0.7450248905190694,0.7550403609702945,10.0,3.0143713755795014,0.7618588407123638,1.6044985904767777,,
4,XGB,2,0.4792,0.4492,0.4487,0.3956,0.4917,0.4792,0.4314,0.652,0.6592,"{'pca__n_components': 0.7, 'clf__n_estimators': 387, 'clf__max_depth': 10, 'clf__learning_rate': 0.0647849032747103, 'clf__subsample': 0.733356573075712, 'clf__colsample_bytree': 0.8805849932390285, 'clf__min_child_weight': 5, 'clf__gamma': 3.466013992457142, 'clf__reg_alpha': 1.7005254573736048, 'clf__reg_lambda': 0.9153430782825779}",0.6377,0.3438,0.4467,0.6929,0.2609,0.0952,0.1395,0.5224,0.449,0.9072,0.6007,0.7406,0.7,387.0,10.0,,,,,,0.0647849032747103,0.733356573075712,0.8805849932390285,5.0,3.466013992457142,1.7005254573736048,0.9153430782825779,,
5,XGB,3,0.5367,0.501,0.5022,0.4805,0.5156,0.5367,0.5058,0.7109,0.726,"{'pca__n_components': 0.99, 'clf__n_estimators': 173, 'clf__max_depth': 9, 'clf__learning_rate': 0.01004264739949647, 'clf__subsample': 0.8412665823993953, 'clf__colsample_bytree': 0.8287813004593187, 'clf__min_child_weight': 7, 'clf__gamma': 0.8428519882111509, 'clf__reg_alpha': 0.4539695475288166, 'clf__reg_lambda': 1.2091160897624642}",0.5769,0.4688,0.5172,0.7225,0.3714,0.194,0.2549,0.5985,0.5548,0.8438,0.6694,0.8118,0.99,173.0,9.0,,,,,,0.01004264739949647,0.8412665823993953,0.8287813004593187,7.0,0.8428519882111509,0.4539695475288166,1.2091160897624642,,
6,DT,1,0.2301,0.0767,0.3333,0.1247,0.053,0.2301,0.0861,0.5,0.5,"{'pca__n_components': 0.85, 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.2301,1.0,0.3741,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.85,,20.0,17.0,7.0,sqrt,,,,,,,,,,gini,random
7,DT,2,0.3646,0.3002,0.3812,0.26,0.2384,0.3646,0.2315,0.5253,0.5882,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 1, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.4797,0.55,0.1746,0.2651,0.5673,0.3507,0.9691,0.5151,0.529,0.9,,1.0,12.0,6.0,,,,,,,,,,,entropy,random
8,DT,3,0.2587,0.0862,0.3333,0.137,0.0669,0.2587,0.1063,0.5,0.444,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 7, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.0,0.0,0.0,0.5,0.2587,1.0,0.411,0.5,0.0,0.0,0.0,0.5,0.9,,7.0,15.0,7.0,sqrt,,balanced,,,,,,,,entropy,random
9,RF,MEAN,0.5037,0.5272,0.476,0.4443,0.5625,0.5037,0.4839,0.6733,0.6818,N/A,0.5034,0.5072,0.4586,0.6634,0.4916,0.1776,0.2444,0.5942,0.5866,0.743,0.6298,0.7625,,,,,,,,,,,,,,,,,
