,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6628,0.6321,0.6397,0.6343,0.6751,0.6628,0.6675,0.5,0.569,0.5323,0.7642,0.7105,0.7364,0.7201,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 345, 'clf__max_depth': 3, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",57,f_classif,345.0,3.0,8.0,6.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.7093,0.7196,0.7184,0.7093,0.728,0.7093,0.7089,0.6392,0.8052,0.7126,0.8,0.6316,0.7059,0.8241,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",all,f_classif,443.0,3.0,11.0,7.0,sqrt,False,balanced,,,,,,,,,
2,RF,3,0.7483,0.7469,0.7436,0.7446,0.7477,0.7483,0.7474,0.7377,0.6923,0.7143,0.7561,0.7949,0.775,0.8329,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 308, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",57,f_classif,308.0,4.0,20.0,2.0,sqrt,False,,,,,,,,,,
3,RF,4,0.7578,0.7563,0.7534,0.7544,0.7573,0.7578,0.7571,0.7455,0.7069,0.7257,0.7671,0.8,0.7832,0.8111,72,f_classif,"{'selector__k': 72, 'selector__score_func': 'f_classif', 'clf__n_estimators': 184, 'clf__max_depth': 19, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",72,f_classif,184.0,19.0,20.0,9.0,sqrt,False,balanced,,,,,,,,,
4,RF,5,0.7135,0.7157,0.7302,0.7095,0.7483,0.7135,0.718,0.5862,0.7969,0.6755,0.8452,0.6636,0.7435,0.8176,115,f_classif,"{'selector__k': 115, 'selector__score_func': 'f_classif', 'clf__n_estimators': 332, 'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",115,f_classif,332.0,5.0,5.0,5.0,sqrt,False,balanced,,,,,,,,,
5,XGB,1,0.686,0.6456,0.6404,0.6425,0.681,0.686,0.6831,0.537,0.5,0.5179,0.7542,0.7807,0.7672,0.7063,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__n_estimators': 233, 'clf__max_depth': 6, 'clf__learning_rate': 0.028135706356120206, 'clf__subsample': 0.6410384751338547, 'clf__colsample_bytree': 0.8789706880665243, 'clf__min_child_weight': 5, 'clf__gamma': 3.8738070826042863, 'clf__reg_alpha': 1.4578168028637672, 'clf__reg_lambda': 1.7129791886446877}",14,f_classif,233.0,6.0,,,,,,0.028135706356120206,0.6410384751338547,0.8789706880665243,5.0,3.8738070826042863,1.4578168028637672,1.7129791886446877,,
6,XGB,2,0.7151,0.7122,0.7089,0.7099,0.7141,0.7151,0.714,0.6944,0.6494,0.6711,0.73,0.7684,0.7487,0.796,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 322, 'clf__max_depth': 7, 'clf__learning_rate': 0.068230685332198, 'clf__subsample': 0.7162267330060779, 'clf__colsample_bytree': 0.6636140067880979, 'clf__min_child_weight': 8, 'clf__gamma': 4.135408630626833, 'clf__reg_alpha': 1.9013855971321358, 'clf__reg_lambda': 0.23063551123394951}",57,f_classif,322.0,7.0,,,,,,0.068230685332198,0.7162267330060779,0.6636140067880979,8.0,4.135408630626833,1.9013855971321358,0.23063551123394951,,
7,XGB,3,0.6923,0.6935,0.6821,0.6826,0.6931,0.6923,0.6877,0.6981,0.5692,0.6271,0.6889,0.7949,0.7381,0.8191,43,f_classif,"{'selector__k': 43, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 9, 'clf__learning_rate': 0.07938557806210299, 'clf__subsample': 0.9619291462234923, 'clf__colsample_bytree': 0.6787305560537339, 'clf__min_child_weight': 9, 'clf__gamma': 3.6384683768052963, 'clf__reg_alpha': 0.3234561757558915, 'clf__reg_lambda': 1.6261120059989884}",43,f_classif,298.0,9.0,,,,,,0.07938557806210299,0.9619291462234923,0.6787305560537339,9.0,3.6384683768052963,0.3234561757558915,1.6261120059989884,,
8,XGB,4,0.6953,0.7049,0.68,0.6788,0.7024,0.6953,0.6856,0.7317,0.5172,0.6061,0.6782,0.8429,0.7516,0.7815,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 199, 'clf__max_depth': 3, 'clf__learning_rate': 0.08321952334200494, 'clf__subsample': 0.9972448708071514, 'clf__colsample_bytree': 0.9179707006207019, 'clf__min_child_weight': 5, 'clf__gamma': 4.065171814112987, 'clf__reg_alpha': 0.44315853750555956, 'clf__reg_lambda': 0.8344969108996573}",28,f_classif,199.0,3.0,,,,,,0.08321952334200494,0.9972448708071514,0.9179707006207019,5.0,4.065171814112987,0.44315853750555956,0.8344969108996573,,
9,XGB,5,0.731,0.7238,0.738,0.7241,0.7518,0.731,0.7351,0.6125,0.7656,0.6806,0.8352,0.7103,0.7677,0.8119,100,f_classif,"{'selector__k': 100, 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 9, 'clf__learning_rate': 0.014148535017718662, 'clf__subsample': 0.9029166887016201, 'clf__colsample_bytree': 0.6029149835724328, 'clf__min_child_weight': 7, 'clf__gamma': 4.62523380006099, 'clf__reg_alpha': 1.7619381546733277, 'clf__reg_lambda': 1.752590660957989}",100,f_classif,444.0,9.0,,,,,,0.014148535017718662,0.9029166887016201,0.6029149835724328,7.0,4.62523380006099,1.7619381546733277,1.752590660957989,,
10,DT,1,0.7035,0.6654,0.6577,0.6608,0.6977,0.7035,0.7,0.566,0.5172,0.5405,0.7647,0.7982,0.7811,0.6835,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",28,f_classif,,2.0,14.0,3.0,,,balanced,,,,,,,,gini,best
11,DT,2,0.6453,0.6442,0.6457,0.6439,0.6493,0.6453,0.6463,0.5952,0.6494,0.6211,0.6932,0.6421,0.6667,0.7066,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",14,f_classif,,3.0,7.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.7273,0.7256,0.7269,0.7259,0.7287,0.7273,0.7277,0.6912,0.7231,0.7068,0.76,0.7308,0.7451,0.7357,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",57,f_classif,,3.0,9.0,10.0,sqrt,,,,,,,,,,gini,random
13,DT,4,0.6719,0.6795,0.6557,0.6528,0.6776,0.6719,0.6604,0.7,0.4828,0.5714,0.6591,0.8286,0.7342,0.7017,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",57,f_classif,,2.0,7.0,10.0,,,balanced,,,,,,,,entropy,random
