,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6795,0.6712,0.6762,0.6722,0.6871,0.6795,0.6818,0.5905,0.6596,0.6231,0.7519,0.6929,0.7212,0.7409,"{'pca__n_components': 0.99, 'clf__n_estimators': 265, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.99,265.0,4.0,19.0,1.0,sqrt,False,,,,,,,,,,
1,RF,2,0.632,0.6313,0.6272,0.6265,0.6316,0.632,0.6291,0.6277,0.5413,0.5813,0.635,0.7131,0.6718,0.6738,"{'pca__n_components': 0.95, 'clf__n_estimators': 237, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.95,237.0,3.0,4.0,3.0,sqrt,True,,,,,,,,,,
2,RF,3,0.729,0.7241,0.7398,0.7228,0.7552,0.729,0.7335,0.6039,0.7815,0.6813,0.8443,0.698,0.7642,0.7888,"{'pca__n_components': 0.99, 'clf__n_estimators': 151, 'clf__max_depth': 7, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.99,151.0,7.0,8.0,9.0,sqrt,True,balanced,,,,,,,,,
3,XGB,1,0.6709,0.6626,0.6673,0.6634,0.6786,0.6709,0.6733,0.581,0.6489,0.6131,0.7442,0.6857,0.7138,0.7172,"{'pca__n_components': 0.8, 'clf__n_estimators': 390, 'clf__max_depth': 9, 'clf__learning_rate': 0.03373984450142447, 'clf__subsample': 0.614913709949049, 'clf__colsample_bytree': 0.9165070510307438, 'clf__min_child_weight': 2, 'clf__gamma': 4.365164853414088, 'clf__reg_alpha': 0.44203071184139997, 'clf__reg_lambda': 0.8518493068020542}",0.8,390.0,9.0,,,,,,0.03373984450142447,0.614913709949049,0.9165070510307438,2.0,4.365164853414088,0.44203071184139997,0.8518493068020542,,
4,XGB,2,0.6364,0.6378,0.6298,0.6278,0.6375,0.6364,0.631,0.6437,0.5138,0.5714,0.6319,0.7459,0.6842,0.6665,"{'pca__n_components': 0.7, 'clf__n_estimators': 129, 'clf__max_depth': 9, 'clf__learning_rate': 0.2322283575372975, 'clf__subsample': 0.614633589057353, 'clf__colsample_bytree': 0.9082383826073934, 'clf__min_child_weight': 9, 'clf__gamma': 3.4988050011717213, 'clf__reg_alpha': 1.942614861967035, 'clf__reg_lambda': 0.30915238064209216}",0.7,129.0,9.0,,,,,,0.2322283575372975,0.614633589057353,0.9082383826073934,9.0,3.4988050011717213,1.942614861967035,0.30915238064209216,,
5,XGB,3,0.7196,0.7014,0.7064,0.7034,0.724,0.7196,0.7214,0.6142,0.6555,0.6341,0.7887,0.7574,0.7727,0.804,"{'pca__n_components': 0.99, 'clf__n_estimators': 335, 'clf__max_depth': 4, 'clf__learning_rate': 0.018118082473332138, 'clf__subsample': 0.7173825394102978, 'clf__colsample_bytree': 0.8736400537839205, 'clf__min_child_weight': 2, 'clf__gamma': 4.762759377343124, 'clf__reg_alpha': 0.07609766692377504, 'clf__reg_lambda': 0.4618213667338156}",0.99,335.0,4.0,,,,,,0.018118082473332138,0.7173825394102978,0.8736400537839205,2.0,4.762759377343124,0.07609766692377504,0.4618213667338156,,
6,DT,1,0.5983,0.2991,0.5,0.3743,0.358,0.5983,0.4479,0.0,0.0,0.0,0.5983,1.0,0.7487,0.5,"{'pca__n_components': 0.85, 'clf__criterion': 'gini', 'clf__max_depth': 13, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.85,,13.0,4.0,3.0,log2,,,,,,,,,,gini,random
7,DT,2,0.6017,0.6108,0.6073,0.6,0.6136,0.6017,0.5986,0.562,0.7064,0.626,0.6596,0.5082,0.5741,0.6121,"{'pca__n_components': 0.95, 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.95,,2.0,6.0,9.0,,,balanced,,,,,,,,gini,random
8,DT,3,0.676,0.7367,0.7305,0.6759,0.7886,0.676,0.674,0.5359,0.9412,0.6829,0.9375,0.5198,0.6688,0.7367,"{'pca__n_components': 0.85, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.85,,3.0,5.0,6.0,,,,,,,,,,,gini,random
9,RF,MEAN,0.6802,0.6755,0.6811,0.6738,0.6913,0.6802,0.6815,0.6074,0.6608,0.6286,0.7437,0.7013,0.7191,0.7345,N/A,,,,,,,,,,,,,,,,,
