,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6686,0.6325,0.6357,0.6338,0.6729,0.6686,0.6706,0.5082,0.5345,0.521,0.7568,0.7368,0.7467,0.709,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 157, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",19.0,f_classif,157.0,3.0,9.0,3.0,log2,False,balanced,,,,,,,,,
1,RF,2,0.7326,0.7296,0.7296,0.7296,0.7326,0.7326,0.7326,0.7013,0.7013,0.7013,0.7579,0.7579,0.7579,0.816,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 401, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",67.0,f_classif,401.0,3.0,20.0,8.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7203,0.7183,0.7154,0.7163,0.7195,0.7203,0.7193,0.7049,0.6615,0.6825,0.7317,0.7692,0.75,0.8249,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",38.0,f_classif,344.0,3.0,16.0,7.0,sqrt,False,,,,,,,,,,
3,RF,4,0.7578,0.7557,0.7549,0.7553,0.7575,0.7578,0.7576,0.7368,0.7241,0.7304,0.7746,0.7857,0.7801,0.7956,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 195, 'clf__max_depth': 5, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",19.0,f_classif,195.0,5.0,9.0,9.0,sqrt,False,balanced,,,,,,,,,
4,RF,5,0.7427,0.7356,0.7504,0.7361,0.7634,0.7427,0.7466,0.625,0.7812,0.6944,0.8462,0.7196,0.7778,0.8211,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",19.0,f_classif,369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.6919,0.6517,0.6447,0.6475,0.6858,0.6919,0.6882,0.5472,0.5,0.5225,0.7563,0.7895,0.7725,0.7039,9,f_classif,"{'selector__k': 9, 'selector__score_func': 'f_classif', 'clf__n_estimators': 474, 'clf__max_depth': 8, 'clf__learning_rate': 0.013822934941618894, 'clf__subsample': 0.8482019294943138, 'clf__colsample_bytree': 0.655874821874246, 'clf__min_child_weight': 9, 'clf__gamma': 3.8560505154027673, 'clf__reg_alpha': 1.3961542582245772, 'clf__reg_lambda': 0.5168907765675843}",9.0,f_classif,474.0,8.0,,,,,,0.013822934941618894,0.8482019294943138,0.655874821874246,9.0,3.8560505154027673,1.3961542582245772,0.5168907765675843,,
6,XGB,2,0.7209,0.7201,0.7117,0.7133,0.7205,0.7209,0.7182,0.7164,0.6234,0.6667,0.7238,0.8,0.76,0.7803,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 111, 'clf__max_depth': 7, 'clf__learning_rate': 0.040906737108820326, 'clf__subsample': 0.9415025604559948, 'clf__colsample_bytree': 0.9354396644085499, 'clf__min_child_weight': 9, 'clf__gamma': 2.1998457428931895, 'clf__reg_alpha': 0.9033466611357962, 'clf__reg_lambda': 1.4921080857040494}",38.0,f_classif,111.0,7.0,,,,,,0.040906737108820326,0.9415025604559948,0.9354396644085499,9.0,2.1998457428931895,0.9033466611357962,1.4921080857040494,,
7,XGB,3,0.7343,0.7335,0.7282,0.7295,0.7339,0.7343,0.7328,0.7288,0.6615,0.6935,0.7381,0.7949,0.7654,0.8053,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 228, 'clf__max_depth': 8, 'clf__learning_rate': 0.018994424765568365, 'clf__subsample': 0.6769676199265374, 'clf__colsample_bytree': 0.6615401452200596, 'clf__min_child_weight': 3, 'clf__gamma': 2.568185926614055, 'clf__reg_alpha': 0.3956395410156427, 'clf__reg_lambda': 0.39049285978837833}",38.0,f_classif,228.0,8.0,,,,,,0.018994424765568365,0.6769676199265374,0.6615401452200596,3.0,2.568185926614055,0.3956395410156427,0.39049285978837833,,
8,XGB,4,0.7031,0.7063,0.6916,0.6923,0.7052,0.7031,0.6977,0.7174,0.569,0.6346,0.6951,0.8143,0.75,0.7835,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 242, 'clf__max_depth': 6, 'clf__learning_rate': 0.2550434606963939, 'clf__subsample': 0.987411214462603, 'clf__colsample_bytree': 0.9009025593333467, 'clf__min_child_weight': 5, 'clf__gamma': 2.986075072301124, 'clf__reg_alpha': 1.8828377935821619, 'clf__reg_lambda': 1.2487819627000207}",19.0,f_classif,242.0,6.0,,,,,,0.2550434606963939,0.987411214462603,0.9009025593333467,5.0,2.986075072301124,1.8828377935821619,1.2487819627000207,,
9,XGB,5,0.7368,0.7309,0.7458,0.7306,0.7594,0.7368,0.7409,0.6173,0.7812,0.6897,0.8444,0.7103,0.7716,0.8148,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 5, 'clf__learning_rate': 0.06333268775321842, 'clf__subsample': 0.6563696899899051, 'clf__colsample_bytree': 0.9208787923016158, 'clf__min_child_weight': 1, 'clf__gamma': 4.9344346830025865, 'clf__reg_alpha': 1.5444895385933148, 'clf__reg_lambda': 0.3974313630683448}",19.0,f_classif,210.0,5.0,,,,,,0.06333268775321842,0.6563696899899051,0.9208787923016158,1.0,4.9344346830025865,1.5444895385933148,0.3974313630683448,,
