,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6647,0.5615,0.5332,0.5367,0.636,0.6647,0.6437,0.7476,0.8193,"{'pca__n_components': 0.95, 'clf__n_estimators': 215, 'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5208,0.5102,0.5155,0.7408,0.4,0.2143,0.2791,0.6798,0.7636,0.875,0.8155,0.8221,0.95,215.0,4.0,5.0,6.0,sqrt,True,,,,,,,,,,
1,RF,2,0.462,0.2962,0.4376,0.3521,0.3211,0.462,0.3778,0.686,0.6689,"{'pca__n_components': 0.99, 'clf__n_estimators': 151, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3043,0.525,0.3853,0.6565,0.0,0.0,0.0,0.6519,0.5843,0.7879,0.671,0.7498,0.99,151.0,3.0,10.0,7.0,sqrt,True,,,,,,,,,,
2,RF,3,0.5197,0.5241,0.521,0.4726,0.5687,0.5197,0.5002,0.646,0.6444,"{'pca__n_components': 0.99, 'clf__n_estimators': 476, 'clf__max_depth': 16, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.7105,0.4779,0.5714,0.6535,0.44,0.2,0.275,0.4903,0.4219,0.8852,0.5714,0.7942,0.99,476.0,16.0,9.0,7.0,log2,True,,,,,,,,,,
3,RF,4,0.467,0.4525,0.449,0.445,0.4997,0.467,0.4786,0.6408,0.6308,"{'pca__n_components': 0.99, 'clf__n_estimators': 108, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4583,0.4342,0.4459,0.5989,0.2581,0.381,0.3077,0.6301,0.641,0.5319,0.5814,0.6932,0.99,108.0,3.0,4.0,6.0,,True,balanced,,,,,,,,,
4,RF,5,0.5038,0.4498,0.4454,0.3977,0.4646,0.5038,0.4434,0.6441,0.6737,"{'pca__n_components': 0.95, 'clf__n_estimators': 237, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.5098,0.5652,0.5361,0.7428,0.3333,0.0303,0.0556,0.5091,0.5063,0.7407,0.6015,0.6804,0.95,237.0,3.0,4.0,3.0,sqrt,True,,,,,,,,,,
5,XGB,1,0.6705,0.5321,0.5364,0.5282,0.6446,0.6705,0.6541,0.7679,0.8315,"{'pca__n_components': 0.99, 'clf__n_estimators': 103, 'clf__max_depth': 8, 'clf__learning_rate': 0.018681378844900426, 'clf__subsample': 0.9550763778266114, 'clf__colsample_bytree': 0.8473382074874347, 'clf__min_child_weight': 4, 'clf__gamma': 2.611765889819998, 'clf__reg_alpha': 1.774339753382853, 'clf__reg_lambda': 0.9511339905404614}",0.5263,0.6122,0.566,0.734,0.25,0.1429,0.1818,0.733,0.82,0.8542,0.8367,0.8366,0.99,103.0,8.0,,,,,,0.018681378844900426,0.9550763778266114,0.8473382074874347,4.0,2.611765889819998,1.774339753382853,0.9511339905404614,,
6,XGB,2,0.4304,0.2785,0.4025,0.328,0.3061,0.4304,0.3566,0.6498,0.6419,"{'pca__n_components': 0.95, 'clf__n_estimators': 248, 'clf__max_depth': 12, 'clf__learning_rate': 0.02745542375645072, 'clf__subsample': 0.6899659410985454, 'clf__colsample_bytree': 0.8326250618052808, 'clf__min_child_weight': 10, 'clf__gamma': 3.0370293891398155, 'clf__reg_alpha': 1.132348576474654, 'clf__reg_lambda': 0.9085407993912502}",0.2609,0.45,0.3303,0.5698,0.0,0.0,0.0,0.6656,0.5747,0.7576,0.6536,0.7139,0.95,248.0,12.0,,,,,,0.02745542375645072,0.6899659410985454,0.8326250618052808,10.0,3.0370293891398155,1.132348576474654,0.9085407993912502,,
7,XGB,3,0.5153,0.5009,0.5089,0.4282,0.5551,0.5153,0.4711,0.6766,0.6501,"{'pca__n_components': 0.99, 'clf__n_estimators': 215, 'clf__max_depth': 7, 'clf__learning_rate': 0.06406695621191055, 'clf__subsample': 0.6222326198182292, 'clf__colsample_bytree': 0.7839769048742636, 'clf__min_child_weight': 9, 'clf__gamma': 4.966193431932525, 'clf__reg_alpha': 1.3416030547177622, 'clf__reg_lambda': 0.5100138301078742}",0.7237,0.4867,0.582,0.6895,0.3636,0.0727,0.1212,0.535,0.4155,0.9672,0.5813,0.8053,0.99,215.0,7.0,,,,,,0.06406695621191055,0.6222326198182292,0.7839769048742636,9.0,4.966193431932525,1.3416030547177622,0.5100138301078742,,
8,XGB,4,0.5047,0.4867,0.4469,0.4382,0.5132,0.5047,0.4877,0.6541,0.6712,"{'pca__n_components': 0.99, 'clf__n_estimators': 235, 'clf__max_depth': 4, 'clf__learning_rate': 0.13634860013641287, 'clf__subsample': 0.7585788897816105, 'clf__colsample_bytree': 0.9018154879387829, 'clf__min_child_weight': 4, 'clf__gamma': 2.9631892113742566, 'clf__reg_alpha': 0.9348220615773183, 'clf__reg_lambda': 1.5248291652975827}",0.4261,0.6447,0.5131,0.6193,0.4,0.1429,0.2105,0.6492,0.6341,0.5532,0.5909,0.6937,0.99,235.0,4.0,,,,,,0.13634860013641287,0.7585788897816105,0.9018154879387829,4.0,2.9631892113742566,0.9348220615773183,1.5248291652975827,,
9,XGB,5,0.5263,0.4732,0.4668,0.4286,0.4896,0.5263,0.4725,0.6485,0.6772,"{'pca__n_components': 0.95, 'clf__n_estimators': 472, 'clf__max_depth': 9, 'clf__learning_rate': 0.01012231924971713, 'clf__subsample': 0.6503059022958756, 'clf__colsample_bytree': 0.8690750759548955, 'clf__min_child_weight': 8, 'clf__gamma': 2.4523241629421095, 'clf__reg_alpha': 1.4217570923202156, 'clf__reg_lambda': 0.4346608890240014}",0.5682,0.5435,0.5556,0.727,0.3333,0.0606,0.1026,0.5323,0.5181,0.7963,0.6277,0.6864,0.95,472.0,9.0,,,,,,0.01012231924971713,0.6503059022958756,0.8690750759548955,8.0,2.4523241629421095,1.4217570923202156,0.4346608890240014,,
