,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6898,0.6805,0.6818,0.6811,0.6911,0.6898,0.6904,0.6203,0.6364,0.6282,0.7407,0.7273,0.7339,0.7472,100,f_classif,"{'selector__k': 100, 'selector__score_func': 'f_classif', 'clf__n_estimators': 385, 'clf__max_depth': 14, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",100,f_classif,385.0,14.0,17.0,2.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.7438,0.7252,0.7252,0.7252,0.7438,0.7438,0.7438,0.6538,0.6538,0.6538,0.7966,0.7966,0.7966,0.8096,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 307, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",28,f_classif,307.0,4.0,17.0,9.0,sqrt,False,balanced,,,,,,,,,
2,RF,3,0.7607,0.7428,0.7411,0.7419,0.7599,0.7607,0.7603,0.678,0.6667,0.6723,0.8077,0.8155,0.8116,0.8385,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__n_estimators': 249, 'clf__max_depth': 13, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",14,f_classif,249.0,13.0,8.0,10.0,log2,True,,,,,,,,,,
3,RF,4,0.7167,0.7152,0.7172,0.7154,0.7195,0.7167,0.7173,0.7581,0.7121,0.7344,0.6724,0.7222,0.6964,0.8151,72,f_classif,"{'selector__k': 72, 'selector__score_func': 'f_classif', 'clf__n_estimators': 102, 'clf__max_depth': 19, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",72,f_classif,102.0,19.0,4.0,9.0,sqrt,False,balanced,,,,,,,,,
4,RF,5,0.6818,0.6867,0.6917,0.6807,0.7026,0.6818,0.6839,0.5926,0.75,0.6621,0.7808,0.6333,0.6994,0.7474,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 350, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",28,f_classif,350.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.6898,0.6805,0.6818,0.6811,0.6911,0.6898,0.6904,0.6203,0.6364,0.6282,0.7407,0.7273,0.7339,0.7249,72,f_classif,"{'selector__k': 72, 'selector__score_func': 'f_classif', 'clf__n_estimators': 427, 'clf__max_depth': 12, 'clf__learning_rate': 0.04904755227172151, 'clf__subsample': 0.9888201424595762, 'clf__colsample_bytree': 0.7701231801083432, 'clf__min_child_weight': 5, 'clf__gamma': 4.680127615699345, 'clf__reg_alpha': 1.522886890583252, 'clf__reg_lambda': 1.146482300141388}",72,f_classif,427.0,12.0,,,,,,0.04904755227172151,0.9888201424595762,0.7701231801083432,5.0,4.680127615699345,1.522886890583252,1.146482300141388,,
6,XGB,2,0.7509,0.7345,0.719,0.7245,0.7463,0.7509,0.7466,0.6889,0.5962,0.6392,0.7801,0.8418,0.8098,0.8032,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 52, 'clf__max_depth': 10, 'clf__learning_rate': 0.03324055826093337, 'clf__subsample': 0.9989778774182202, 'clf__colsample_bytree': 0.6075182773179265, 'clf__min_child_weight': 5, 'clf__gamma': 2.7161279181214786, 'clf__reg_alpha': 1.3105108459114867, 'clf__reg_lambda': 0.003314641032525563}",57,f_classif,52.0,10.0,,,,,,0.03324055826093337,0.9989778774182202,0.6075182773179265,5.0,2.7161279181214786,1.3105108459114867,0.003314641032525563,,
7,XGB,3,0.773,0.756,0.7578,0.7569,0.7738,0.773,0.7734,0.6885,0.7,0.6942,0.8235,0.8155,0.8195,0.8412,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__n_estimators': 431, 'clf__max_depth': 6, 'clf__learning_rate': 0.1321096605591324, 'clf__subsample': 0.9554477427050652, 'clf__colsample_bytree': 0.8695329244570905, 'clf__min_child_weight': 5, 'clf__gamma': 4.1810707126891735, 'clf__reg_alpha': 0.6852908438430663, 'clf__reg_lambda': 1.5874429034848268}",14,f_classif,431.0,6.0,,,,,,0.1321096605591324,0.9554477427050652,0.8695329244570905,5.0,4.1810707126891735,0.6852908438430663,1.5874429034848268,,
8,XGB,4,0.6583,0.7004,0.6776,0.6529,0.7124,0.6583,0.6486,0.8205,0.4848,0.6095,0.5802,0.8704,0.6963,0.8173,43,f_classif,"{'selector__k': 43, 'selector__score_func': 'f_classif', 'clf__n_estimators': 62, 'clf__max_depth': 5, 'clf__learning_rate': 0.04218026971861651, 'clf__subsample': 0.6570546587637008, 'clf__colsample_bytree': 0.8724933619082776, 'clf__min_child_weight': 4, 'clf__gamma': 3.973226820560444, 'clf__reg_alpha': 0.02197837848754225, 'clf__reg_lambda': 0.67989458128637}",43,f_classif,62.0,5.0,,,,,,0.04218026971861651,0.6570546587637008,0.8724933619082776,4.0,3.973226820560444,0.02197837848754225,0.67989458128637,,
9,XGB,5,0.6753,0.6743,0.6793,0.6726,0.6881,0.6753,0.6776,0.5921,0.7031,0.6429,0.7564,0.6556,0.7024,0.7454,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 72, 'clf__max_depth': 11, 'clf__learning_rate': 0.03817961854919767, 'clf__subsample': 0.8282497427164227, 'clf__colsample_bytree': 0.8329791965489469, 'clf__min_child_weight': 1, 'clf__gamma': 3.9380516724447086, 'clf__reg_alpha': 1.339124573249, 'clf__reg_lambda': 0.11624613729543276}",28,f_classif,72.0,11.0,,,,,,0.03817961854919767,0.8282497427164227,0.8329791965489469,1.0,3.9380516724447086,1.339124573249,0.11624613729543276,,
10,DT,1,0.6096,0.6065,0.6097,0.6051,0.6213,0.6096,0.6126,0.5222,0.6104,0.5629,0.6907,0.6091,0.6473,0.6483,100,f_classif,"{'selector__k': 100, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",100,f_classif,,3.0,18.0,8.0,,,,,,,,,,,gini,random
11,DT,2,0.6548,0.6204,0.6011,0.6024,0.6396,0.6548,0.6399,0.5467,0.3942,0.4581,0.6942,0.8079,0.7467,0.6877,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",all,f_classif,,2.0,7.0,6.0,log2,,balanced,,,,,,,,gini,best
12,DT,3,0.7178,0.7186,0.735,0.713,0.7538,0.7178,0.7228,0.5854,0.8,0.6761,0.8519,0.6699,0.75,0.7681,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",14,f_classif,,2.0,12.0,3.0,sqrt,,,,,,,,,,entropy,random
13,DT,4,0.7583,0.7622,0.7483,0.7507,0.7607,0.7583,0.7551,0.7467,0.8485,0.7943,0.7778,0.6481,0.7071,0.7504,72,f_classif,"{'selector__k': 72, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",72,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
14,DT,5,0.5974,0.6088,0.6104,0.5971,0.6252,0.5974,0.5989,0.5116,0.6875,0.5867,0.7059,0.5333,0.6076,0.6615,14,f_classif,"{'selector__k': 14, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",14,f_classif,,2.0,10.0,8.0,sqrt,,,,,,,,,,gini,random
15,RF,MEAN,0.7186,0.7101,0.7114,0.7089,0.7234,0.7186,0.7191,0.6606,0.6838,0.6702,0.7596,0.739,0.7476,0.7916,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0339,0.0262,0.0243,0.0272,0.0285,0.0339,0.0331,0.0634,0.0464,0.0394,0.055,0.072,0.0539,0.0418,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7095,0.7091,0.7031,0.6976,0.7223,0.7095,0.7073,0.6821,0.6241,0.6428,0.7362,0.7821,0.7524,0.7864,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0498,0.0352,0.0351,0.0422,0.037,0.0498,0.0513,0.0883,0.0899,0.0315,0.0926,0.0887,0.0587,0.0493,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.6676,0.6633,0.6609,0.6537,0.6801,0.6676,0.6659,0.5825,0.6681,0.6156,0.7441,0.6537,0.6917,0.7032,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
20,DT,STD,0.0693,0.0722,0.074,0.0727,0.0708,0.0693,0.0693,0.0961,0.1794,0.1265,0.0699,0.1007,0.0627,0.0535,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
