,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.7059,0.6967,0.6974,0.697,0.7065,0.7059,0.7062,0.641,0.6494,0.6452,0.7523,0.7455,0.7489,0.729,48,f_classif,"{'selector__k': 48, 'selector__score_func': 'f_classif', 'clf__n_estimators': 332, 'clf__max_depth': 11, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",48.0,f_classif,332.0,11.0,2.0,4.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.7438,0.7251,0.7232,0.7241,0.7428,0.7438,0.7432,0.6569,0.6442,0.6505,0.7933,0.8023,0.7978,0.814,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 123, 'clf__max_depth': 17, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",28.0,f_classif,123.0,17.0,7.0,10.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.773,0.7561,0.7543,0.7552,0.7723,0.773,0.7726,0.6949,0.6833,0.6891,0.8173,0.8252,0.8213,0.8887,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 445, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",28.0,f_classif,445.0,3.0,18.0,5.0,sqrt,False,,,,,,,,,,
3,RF,4,0.6583,0.6697,0.6675,0.6581,0.6772,0.6583,0.6573,0.7451,0.5758,0.6496,0.5942,0.7593,0.6667,0.7671,76,f_classif,"{'selector__k': 76, 'selector__score_func': 'f_classif', 'clf__n_estimators': 129, 'clf__max_depth': 18, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",76.0,f_classif,129.0,18.0,19.0,9.0,sqrt,False,balanced,,,,,,,,,
4,RF,5,0.6753,0.6816,0.6861,0.6744,0.6978,0.6753,0.6773,0.5854,0.75,0.6575,0.7778,0.6222,0.6914,0.75,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 102, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",19.0,f_classif,102.0,3.0,12.0,6.0,log2,False,,,,,,,,,,
5,XGB,1,0.6791,0.6695,0.6708,0.6701,0.6805,0.6791,0.6797,0.6076,0.6234,0.6154,0.7315,0.7182,0.7248,0.7326,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 406, 'clf__max_depth': 12, 'clf__learning_rate': 0.024022928901585833, 'clf__subsample': 0.8529022347155548, 'clf__colsample_bytree': 0.732078156569666, 'clf__min_child_weight': 6, 'clf__gamma': 3.994690910898199, 'clf__reg_alpha': 1.8713399059653386, 'clf__reg_lambda': 1.6442997039601852}",19.0,f_classif,406.0,12.0,,,,,,0.024022928901585833,0.8529022347155548,0.732078156569666,6.0,3.994690910898199,1.8713399059653386,1.6442997039601852,,
6,XGB,2,0.7367,0.7173,0.7097,0.7128,0.7332,0.7367,0.7343,0.6562,0.6058,0.63,0.7784,0.8136,0.7956,0.8117,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 189, 'clf__max_depth': 4, 'clf__learning_rate': 0.030031889558074676, 'clf__subsample': 0.7825889889691295, 'clf__colsample_bytree': 0.6723062290326147, 'clf__min_child_weight': 3, 'clf__gamma': 4.551956910381413, 'clf__reg_alpha': 1.2122623022085715, 'clf__reg_lambda': 0.4121411686845431}",28.0,f_classif,189.0,4.0,,,,,,0.030031889558074676,0.7825889889691295,0.6723062290326147,3.0,4.551956910381413,1.2122623022085715,0.4121411686845431,,
7,XGB,3,0.7301,0.7094,0.6994,0.7032,0.7256,0.7301,0.7268,0.6481,0.5833,0.614,0.7706,0.8155,0.7925,0.8328,9,f_classif,"{'selector__k': 9, 'selector__score_func': 'f_classif', 'clf__n_estimators': 110, 'clf__max_depth': 4, 'clf__learning_rate': 0.04302462379306291, 'clf__subsample': 0.8124689051264061, 'clf__colsample_bytree': 0.6095192735992064, 'clf__min_child_weight': 4, 'clf__gamma': 2.3490741713763517, 'clf__reg_alpha': 1.7249617983611414, 'clf__reg_lambda': 0.7783761014115129}",9.0,f_classif,110.0,4.0,,,,,,0.04302462379306291,0.8124689051264061,0.6095192735992064,4.0,2.3490741713763517,1.7249617983611414,0.7783761014115129,,
8,XGB,4,0.6917,0.7125,0.7045,0.6906,0.7221,0.6917,0.6888,0.8085,0.5758,0.6726,0.6164,0.8333,0.7087,0.8187,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 82, 'clf__max_depth': 4, 'clf__learning_rate': 0.02956213456190244, 'clf__subsample': 0.7797719238272041, 'clf__colsample_bytree': 0.7014909478140711, 'clf__min_child_weight': 9, 'clf__gamma': 0.04334285002810345, 'clf__reg_alpha': 1.6796769123632262, 'clf__reg_lambda': 0.7746763784137267}",38.0,f_classif,82.0,4.0,,,,,,0.02956213456190244,0.7797719238272041,0.7014909478140711,9.0,0.04334285002810345,1.6796769123632262,0.7746763784137267,,
9,XGB,5,0.6818,0.6867,0.6917,0.6807,0.7026,0.6818,0.6839,0.5926,0.75,0.6621,0.7808,0.6333,0.6994,0.7409,19,f_classif,"{'selector__k': 19, 'selector__score_func': 'f_classif', 'clf__n_estimators': 250, 'clf__max_depth': 6, 'clf__learning_rate': 0.016235927261399625, 'clf__subsample': 0.6004573296333237, 'clf__colsample_bytree': 0.9257213969730808, 'clf__min_child_weight': 3, 'clf__gamma': 3.776136887932628, 'clf__reg_alpha': 1.985722862750798, 'clf__reg_lambda': 1.9414867354288565}",19.0,f_classif,250.0,6.0,,,,,,0.016235927261399625,0.6004573296333237,0.9257213969730808,3.0,3.776136887932628,1.985722862750798,1.9414867354288565,,
