,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.4854,0.504,0.4631,0.4568,0.5752,0.4854,0.507,0.6715,0.6675,"{'n_estimators': 371, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",0.2636,0.5273,0.3515,0.5818,0.5143,0.3273,0.4,0.7264,0.734,0.5349,0.6188,0.7062,371.0,19.0,2.0,3.0,log2,True,,,,,,,,,
1,RF,2,0.5139,0.5173,0.5158,0.4901,0.5561,0.5139,0.5031,0.7011,0.705,"{'n_estimators': 106, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",0.6912,0.3672,0.4796,0.6841,0.3472,0.3968,0.3704,0.6379,0.5135,0.7835,0.6204,0.7812,106.0,4.0,16.0,2.0,,True,,,,,,,,,
2,RF,3,0.5946,0.6274,0.5528,0.5228,0.6186,0.5946,0.5493,0.7531,0.7605,"{'n_estimators': 249, 'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}",0.593,0.5312,0.5604,0.7041,0.7059,0.1791,0.2857,0.7024,0.5833,0.9479,0.7222,0.8526,249.0,8.0,4.0,4.0,sqrt,True,,,,,,,,,
3,XGB,1,0.523,0.5137,0.5107,0.4954,0.5836,0.523,0.5374,0.6734,0.6707,"{'n_estimators': 459, 'max_depth': 7, 'learning_rate': 0.04490562300869955, 'subsample': 0.6991448197709708, 'colsample_bytree': 0.7633124773582036, 'min_child_weight': 9, 'gamma': 2.1969437826464473, 'reg_alpha': 1.0082412342015108, 'reg_lambda': 0.7760168946875765}",0.3333,0.5818,0.4238,0.5874,0.4681,0.4,0.4314,0.7301,0.7396,0.5504,0.6311,0.7027,459.0,7.0,,,,,0.04490562300869955,0.6991448197709708,0.7633124773582036,9.0,2.1969437826464473,1.0082412342015108,0.7760168946875765,,
4,XGB,2,0.5069,0.5168,0.5106,0.4843,0.5502,0.5069,0.4932,0.6914,0.6973,"{'n_estimators': 451, 'max_depth': 6, 'learning_rate': 0.02675256556282571, 'subsample': 0.7936674388091226, 'colsample_bytree': 0.7797340124544594, 'min_child_weight': 1, 'gamma': 2.1423154725171103, 'reg_alpha': 0.46818750404599774, 'reg_lambda': 1.2382748643640886}",0.6818,0.3516,0.4639,0.6422,0.3846,0.3968,0.3906,0.6743,0.4841,0.7835,0.5984,0.7577,451.0,6.0,,,,,0.02675256556282571,0.7936674388091226,0.7797340124544594,1.0,2.1423154725171103,0.46818750404599774,1.2382748643640886,,
5,XGB,3,0.556,0.545,0.524,0.5016,0.5483,0.556,0.5212,0.7373,0.7447,"{'n_estimators': 142, 'max_depth': 4, 'learning_rate': 0.03449959127402478, 'subsample': 0.7768219220702566, 'colsample_bytree': 0.9288893079875952, 'min_child_weight': 8, 'gamma': 3.877982050672671, 'reg_alpha': 1.2200229084068595, 'reg_lambda': 1.8050763789261128}",0.5541,0.4271,0.4824,0.6731,0.5161,0.2388,0.3265,0.7109,0.5649,0.9062,0.696,0.8279,142.0,4.0,,,,,0.03449959127402478,0.7768219220702566,0.9288893079875952,8.0,3.877982050672671,1.2200229084068595,1.8050763789261128,,
6,DT,1,0.5858,0.6089,0.546,0.5477,0.6448,0.5858,0.5945,0.6995,0.7245,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",0.3516,0.5818,0.4384,0.6201,0.75,0.3818,0.506,0.7596,0.725,0.6744,0.6988,0.7187,,3.0,12.0,9.0,,,,,,,,,,gini,best
7,DT,2,0.5035,0.4795,0.4846,0.4764,0.5133,0.5035,0.5018,0.6212,0.6226,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': None, 'splitter': 'random'}",0.61,0.4766,0.5351,0.6106,0.3125,0.3175,0.315,0.5816,0.5161,0.6598,0.5792,0.6715,,11.0,11.0,2.0,,,,,,,,,,entropy,random
8,DT,3,0.5714,0.6028,0.5274,0.4935,0.5928,0.5714,0.5235,0.7243,0.73,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'best'}",0.5047,0.5625,0.532,0.6564,0.6923,0.1343,0.225,0.7111,0.6115,0.8854,0.7234,0.8052,,3.0,17.0,7.0,,,,,,,,,,gini,best
9,RF,MEAN,0.5313,0.5496,0.5106,0.4899,0.5833,0.5313,0.5198,0.7086,0.711,N/A,0.5159,0.4752,0.4638,0.6567,0.5225,0.3011,0.352,0.6889,0.6103,0.7554,0.6538,0.78,,,,,,,,,,,,,,,
10,RF,STD,0.0566,0.0677,0.0451,0.033,0.032,0.0566,0.0256,0.0413,0.0468,N/A,0.224,0.0936,0.1053,0.0656,0.1795,0.1112,0.0593,0.0458,0.1127,0.2079,0.0592,0.0732,,,,,,,,,,,,,,,
11,XGB,MEAN,0.5286,0.5252,0.5151,0.4938,0.5607,0.5286,0.5173,0.7007,0.7042,N/A,0.5231,0.4535,0.4567,0.6342,0.4563,0.3452,0.3828,0.7051,0.5962,0.7467,0.6418,0.7628,,,,,,,,,,,,,,,
12,XGB,STD,0.025,0.0172,0.0077,0.0088,0.0199,0.025,0.0224,0.0329,0.0375,N/A,0.1763,0.1173,0.03,0.0434,0.0665,0.0922,0.0529,0.0283,0.1306,0.1807,0.0497,0.0628,,,,,,,,,,,,,,,
13,DT,MEAN,0.5536,0.5637,0.5193,0.5059,0.5836,0.5536,0.5399,0.6817,0.6924,N/A,0.4888,0.5403,0.5018,0.629,0.5849,0.2779,0.3487,0.6841,0.6175,0.7399,0.6671,0.7318,,,,,,,,,,,,,,,
14,DT,STD,0.044,0.073,0.0315,0.0372,0.0662,0.044,0.0485,0.0538,0.0605,N/A,0.1299,0.056,0.055,0.0242,0.2377,0.1284,0.1435,0.092,0.1046,0.1262,0.0771,0.0678,,,,,,,,,,,,,,,
