,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7283,0.7176,0.6135,0.6408,0.7228,0.7283,0.7078,0.7922,0.852,"{'n_estimators': 222, 'max_depth': 13, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",0.6757,0.5102,0.5814,0.7408,0.7333,0.3929,0.5116,0.8229,0.7438,0.9375,0.8295,0.8129,222.0,13.0,14.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.538,0.5447,0.5242,0.478,0.5786,0.538,0.5062,0.7306,0.7116,"{'n_estimators': 166, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True}",0.3421,0.65,0.4483,0.6377,0.5385,0.1346,0.2154,0.7045,0.7536,0.7879,0.7704,0.8496,166.0,3.0,17.0,4.0,,True,,,,,,,,,
2,RF,3,0.559,0.551,0.5719,0.5301,0.6062,0.559,0.5501,0.7301,0.7233,"{'n_estimators': 497, 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",0.7746,0.4867,0.5978,0.7298,0.383,0.3273,0.3529,0.6275,0.4955,0.9016,0.6395,0.8331,497.0,3.0,4.0,3.0,sqrt,True,,,,,,,,,
3,RF,4,0.5425,0.5361,0.5027,0.509,0.5436,0.5425,0.5361,0.6881,0.7053,"{'n_estimators': 410, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}",0.4945,0.5921,0.5389,0.6938,0.52,0.3095,0.3881,0.6875,0.5938,0.6064,0.6,0.683,410.0,20.0,20.0,4.0,log2,True,,,,,,,,,
4,RF,5,0.5489,0.5474,0.5089,0.5046,0.5483,0.5489,0.5286,0.7013,0.7169,"{'n_estimators': 399, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.5682,0.5435,0.5556,0.7089,0.5333,0.2424,0.3333,0.687,0.5405,0.7407,0.625,0.7082,399.0,3.0,17.0,10.0,sqrt,False,,,,,,,,,
5,XGB,1,0.7225,0.6958,0.6269,0.6491,0.7127,0.7225,0.7091,0.7859,0.8498,"{'n_estimators': 243, 'max_depth': 9, 'learning_rate': 0.22077975800358227, 'subsample': 0.7317448010963186, 'colsample_bytree': 0.8779035383791153, 'min_child_weight': 4, 'gamma': 4.58501288806097, 'reg_alpha': 1.8221567710459086, 'reg_lambda': 1.0708980586957546}",0.5952,0.5102,0.5495,0.7424,0.7222,0.4643,0.5652,0.8121,0.7699,0.9062,0.8325,0.8033,243.0,9.0,,,,,0.22077975800358227,0.7317448010963186,0.8779035383791153,4.0,4.58501288806097,1.8221567710459086,1.0708980586957546,,
6,XGB,2,0.5506,0.5374,0.5239,0.4872,0.5632,0.5506,0.5146,0.7127,0.7092,"{'n_estimators': 499, 'max_depth': 10, 'learning_rate': 0.031410431053320906, 'subsample': 0.8923645209213664, 'colsample_bytree': 0.833849971517374, 'min_child_weight': 3, 'gamma': 2.9617248089613994, 'reg_alpha': 0.09750960019751784, 'reg_lambda': 1.3710092162578684}",0.3667,0.55,0.44,0.6093,0.5625,0.1731,0.2647,0.6782,0.6829,0.8485,0.7568,0.8506,499.0,10.0,,,,,0.031410431053320906,0.8923645209213664,0.833849971517374,3.0,2.9617248089613994,0.09750960019751784,1.3710092162578684,,
7,XGB,3,0.5153,0.5171,0.5405,0.495,0.5701,0.5153,0.5053,0.729,0.713,"{'n_estimators': 446, 'max_depth': 6, 'learning_rate': 0.026908609919682924, 'subsample': 0.8710448872721279, 'colsample_bytree': 0.820817541528614, 'min_child_weight': 9, 'gamma': 3.020641685193135, 'reg_alpha': 0.4550209905491501, 'reg_lambda': 0.8843473626076966}",0.7302,0.4071,0.5227,0.7101,0.3393,0.3455,0.3423,0.6403,0.4818,0.8689,0.6199,0.8367,446.0,6.0,,,,,0.026908609919682924,0.8710448872721279,0.820817541528614,9.0,3.020641685193135,0.4550209905491501,0.8843473626076966,,
8,XGB,4,0.566,0.5439,0.5351,0.5339,0.5697,0.566,0.5623,0.7196,0.7286,"{'n_estimators': 351, 'max_depth': 11, 'learning_rate': 0.023683348740590797, 'subsample': 0.8676063159563867, 'colsample_bytree': 0.8208820206786354, 'min_child_weight': 1, 'gamma': 2.1423154725171103, 'reg_alpha': 0.604204095517482, 'reg_lambda': 1.2502427456799485}",0.5361,0.6842,0.6012,0.7277,0.4412,0.3571,0.3947,0.7242,0.6543,0.5638,0.6057,0.7069,351.0,11.0,,,,,0.023683348740590797,0.8676063159563867,0.8208820206786354,1.0,2.1423154725171103,0.604204095517482,1.2502427456799485,,
9,XGB,5,0.5564,0.5508,0.5375,0.5408,0.5547,0.5564,0.5522,0.7086,0.7225,"{'n_estimators': 304, 'max_depth': 12, 'learning_rate': 0.01400985974088348, 'subsample': 0.9621681710857571, 'colsample_bytree': 0.8309101510376798, 'min_child_weight': 5, 'gamma': 3.582276343052564, 'reg_alpha': 1.3129233155972746, 'reg_lambda': 1.5604858041473364}",0.5714,0.5217,0.5455,0.6852,0.5185,0.4242,0.4667,0.7573,0.5625,0.6667,0.6102,0.6833,304.0,12.0,,,,,0.01400985974088348,0.9621681710857571,0.8309101510376798,5.0,3.582276343052564,1.3129233155972746,1.5604858041473364,,
