,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.5934,0.575,0.5597,0.5598,0.5965,0.5934,0.5865,0.7126,0.7452,"{'n_estimators': 86, 'max_depth': 14, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': True}",0.6364,0.4468,0.525,0.6872,0.4717,0.4902,0.4808,0.7443,0.6169,0.7422,0.6738,0.7064,86.0,14.0,15.0,8.0,sqrt,True,,,,,,,,,
1,RF,2,0.5258,0.5854,0.5051,0.4665,0.6054,0.5258,0.5045,0.7084,0.6986,"{'n_estimators': 187, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",0.381,0.7568,0.5068,0.731,0.7059,0.16,0.2609,0.6561,0.6693,0.5986,0.632,0.7381,187.0,4.0,15.0,5.0,log2,True,,,,,,,,,
2,RF,3,0.5484,0.5489,0.5163,0.4803,0.5486,0.5484,0.5082,0.7234,0.7276,"{'n_estimators': 251, 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}",0.5471,0.5962,0.5706,0.6887,0.55,0.131,0.2115,0.6351,0.5497,0.8218,0.6587,0.8463,251.0,18.0,5.0,1.0,log2,True,,,,,,,,,
3,XGB,1,0.5897,0.5716,0.5708,0.5684,0.5883,0.5897,0.586,0.7154,0.7384,"{'n_estimators': 313, 'max_depth': 12, 'learning_rate': 0.013887027312367971, 'subsample': 0.6257256086499304, 'colsample_bytree': 0.7658313612926887, 'min_child_weight': 5, 'gamma': 0.7470214253478694, 'reg_alpha': 0.719298668783955, 'reg_lambda': 0.7943890552559791}",0.5789,0.4681,0.5176,0.6897,0.5091,0.549,0.5283,0.7672,0.6268,0.6953,0.6593,0.6892,313.0,12.0,,,,,0.013887027312367971,0.6257256086499304,0.7658313612926887,5.0,0.7470214253478694,0.719298668783955,0.7943890552559791,,
4,XGB,2,0.5292,0.5526,0.5181,0.4817,0.584,0.5292,0.5141,0.7217,0.7,"{'n_estimators': 255, 'max_depth': 3, 'learning_rate': 0.02382351081471716, 'subsample': 0.8325945514043555, 'colsample_bytree': 0.6874573687953843, 'min_child_weight': 1, 'gamma': 3.4503624485957287, 'reg_alpha': 1.5954108353399832, 'reg_lambda': 0.7170814101346794}",0.3946,0.7838,0.5249,0.7344,0.5769,0.2,0.297,0.693,0.6864,0.5704,0.6231,0.7376,255.0,3.0,,,,,0.02382351081471716,0.8325945514043555,0.6874573687953843,1.0,3.4503624485957287,1.5954108353399832,0.7170814101346794,,
5,XGB,3,0.5425,0.5184,0.516,0.4939,0.5336,0.5425,0.5197,0.7235,0.7255,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.0504678436710597, 'subsample': 0.7358925353751075, 'colsample_bytree': 0.7007352617857289, 'min_child_weight': 1, 'gamma': 0.8407593061128715, 'reg_alpha': 0.18004659816174684, 'reg_lambda': 1.8639554782240062}",0.5909,0.5833,0.5871,0.6806,0.4474,0.2024,0.2787,0.6638,0.5168,0.7624,0.616,0.8262,100.0,3.0,,,,,0.0504678436710597,0.7358925353751075,0.7007352617857289,1.0,0.8407593061128715,0.18004659816174684,1.8639554782240062,,
6,DT,1,0.5604,0.5424,0.5526,0.5462,0.5675,0.5604,0.5628,0.7195,0.7359,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'best'}",0.5152,0.5426,0.5285,0.6834,0.4655,0.5294,0.4954,0.7642,0.6466,0.5859,0.6148,0.7109,,4.0,6.0,7.0,,,,,,,,,,gini,best
7,DT,2,0.4055,0.4102,0.4068,0.3969,0.4544,0.4055,0.4165,0.5875,0.5961,"{'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'random'}",0.2818,0.4189,0.337,0.565,0.3488,0.4,0.3727,0.6065,0.6,0.4014,0.481,0.5911,,18.0,16.0,9.0,,,,,,,,,,entropy,random
8,DT,3,0.5484,0.518,0.5371,0.5199,0.5305,0.5484,0.5331,0.7004,0.6974,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'best'}",0.5541,0.5256,0.5395,0.6241,0.3833,0.2738,0.3194,0.6544,0.6165,0.8119,0.7009,0.8228,,2.0,11.0,7.0,,,,,,,,,,gini,best
9,RF,MEAN,0.5559,0.5698,0.527,0.5022,0.5835,0.5559,0.5331,0.7148,0.7238,N/A,0.5215,0.5999,0.5341,0.7023,0.5759,0.2604,0.3177,0.6785,0.612,0.7209,0.6548,0.7636,,,,,,,,,,,,,,,
