,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,mutual_info_classif,"{'selector__k': 38, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 237, 'clf__max_depth': 3, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",38,mutual_info_classif,237.0,3.0,8.0,9.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all,mutual_info_classif,"{'selector__k': 'all', 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 365, 'clf__max_depth': 11, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,mutual_info_classif,365.0,11.0,17.0,9.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 267, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",67,f_classif,267.0,3.0,9.0,10.0,log2,True,,,,,,,,,,
3,RF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,mutual_info_classif,"{'selector__k': 76, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 438, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",76,mutual_info_classif,438.0,3.0,11.0,5.0,,True,balanced,,,,,,,,,
4,RF,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,mutual_info_classif,"{'selector__k': 76, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 438, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",76,mutual_info_classif,438.0,3.0,11.0,5.0,,True,balanced,,,,,,,,,
5,XGB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,mutual_info_classif,"{'selector__k': 38, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 68, 'clf__max_depth': 6, 'clf__learning_rate': 0.018940800765436847, 'clf__subsample': 0.7672836604179706, 'clf__colsample_bytree': 0.6783152446575643, 'clf__min_child_weight': 9, 'clf__gamma': 4.48453121403943, 'clf__reg_alpha': 1.3009623648165853, 'clf__reg_lambda': 0.8069682904770568}",38,mutual_info_classif,68.0,6.0,,,,,,0.018940800765436847,0.7672836604179706,0.6783152446575643,9.0,4.48453121403943,1.3009623648165853,0.8069682904770568,,
6,XGB,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,mutual_info_classif,"{'selector__k': 19, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 62, 'clf__max_depth': 3, 'clf__learning_rate': 0.029491564140172923, 'clf__subsample': 0.7856463716102746, 'clf__colsample_bytree': 0.7251161869422159, 'clf__min_child_weight': 5, 'clf__gamma': 4.996812193207756, 'clf__reg_alpha': 1.526141825483738, 'clf__reg_lambda': 0.6492439763198874}",19,mutual_info_classif,62.0,3.0,,,,,,0.029491564140172923,0.7856463716102746,0.7251161869422159,5.0,4.996812193207756,1.526141825483738,0.6492439763198874,,
7,XGB,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 62, 'clf__max_depth': 3, 'clf__learning_rate': 0.028484635904599605, 'clf__subsample': 0.7993072627126802, 'clf__colsample_bytree': 0.996393380071148, 'clf__min_child_weight': 1, 'clf__gamma': 4.996812193207756, 'clf__reg_alpha': 1.8766812648232396, 'clf__reg_lambda': 0.645717675219017}",38,f_classif,62.0,3.0,,,,,,0.028484635904599605,0.7993072627126802,0.996393380071148,1.0,4.996812193207756,1.8766812648232396,0.645717675219017,,
8,XGB,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 151, 'clf__max_depth': 3, 'clf__learning_rate': 0.028069002597357614, 'clf__subsample': 0.771327360562471, 'clf__colsample_bytree': 0.9050168036139156, 'clf__min_child_weight': 3, 'clf__gamma': 4.796410258761386, 'clf__reg_alpha': 1.9584725348770053, 'clf__reg_lambda': 0.7036220105835667}",38,f_classif,151.0,3.0,,,,,,0.028069002597357614,0.771327360562471,0.9050168036139156,3.0,4.796410258761386,1.9584725348770053,0.7036220105835667,,
9,XGB,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,f_classif,"{'selector__k': 9, 'selector__score_func': 'f_classif', 'clf__n_estimators': 106, 'clf__max_depth': 6, 'clf__learning_rate': 0.0220653200859401, 'clf__subsample': 0.6049023671174067, 'clf__colsample_bytree': 0.8233999116225429, 'clf__min_child_weight': 2, 'clf__gamma': 4.513933111549072, 'clf__reg_alpha': 1.4546180229405892, 'clf__reg_lambda': 0.6479783949453528}",9,f_classif,106.0,6.0,,,,,,0.0220653200859401,0.6049023671174067,0.8233999116225429,2.0,4.513933111549072,1.4546180229405892,0.6479783949453528,,
