,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6319,0.3761,0.4523,0.4104,0.5155,0.6319,0.5674,0.7515,0.8034,129,f_classif,"{'selector__k': 129, 'selector__score_func': 'f_classif', 'clf__n_estimators': 337, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4095,0.455,0.4311,0.661,0.0,0.0,0.0,0.8044,0.7188,0.9019,0.8,0.789,129,f_classif,337.0,3.0,13.0,9.0,sqrt,False,,,,,,,,,,
1,RF,2,0.4183,0.3767,0.3944,0.3507,0.3928,0.4183,0.3749,0.6072,0.6155,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 242, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3492,0.572,0.4337,0.5981,0.2683,0.0482,0.0818,0.5744,0.5126,0.5631,0.5367,0.6491,all,f_classif,242.0,4.0,16.0,10.0,log2,True,,,,,,,,,,
2,RF,3,0.5172,0.4577,0.5218,0.4189,0.5031,0.5172,0.4555,0.7165,0.6756,43,f_classif,"{'selector__k': 43, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6595,0.5851,0.6201,0.6973,0.3,0.034,0.0611,0.6121,0.4135,0.9463,0.5755,0.8402,43,f_classif,391.0,3.0,20.0,4.0,sqrt,False,,,,,,,,,,
3,RF,4,0.4946,0.4635,0.4744,0.4656,0.5157,0.4946,0.502,0.6474,0.6428,43,f_classif,"{'selector__k': 43, 'selector__score_func': 'f_classif', 'clf__n_estimators': 338, 'clf__max_depth': 8, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.3977,0.4331,0.4146,0.6012,0.3465,0.4389,0.3873,0.6863,0.6463,0.5513,0.595,0.6545,43,f_classif,338.0,8.0,11.0,4.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.6624,0.716,0.5782,0.5419,0.6972,0.6624,0.6095,0.7751,0.8024,129,f_classif,"{'selector__k': 129, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6903,0.7282,0.7087,0.8038,0.8261,0.0955,0.1712,0.6654,0.6315,0.9109,0.7459,0.8563,129,f_classif,351.0,3.0,19.0,10.0,sqrt,True,,,,,,,,,,
5,XGB,1,0.6506,0.6067,0.5309,0.5466,0.6409,0.6506,0.6321,0.7436,0.803,129,f_classif,"{'selector__k': 129, 'selector__score_func': 'f_classif', 'clf__n_estimators': 115, 'clf__max_depth': 6, 'clf__learning_rate': 0.011046606461359383, 'clf__subsample': 0.8165672240398815, 'clf__colsample_bytree': 0.6739372678099634, 'clf__min_child_weight': 9, 'clf__gamma': 4.4939100398522935, 'clf__reg_alpha': 1.9489659832488453, 'clf__reg_lambda': 0.32725311182173455}",0.459,0.4444,0.4516,0.6567,0.6393,0.3,0.4084,0.7938,0.7217,0.8481,0.7798,0.7804,129,f_classif,115.0,6.0,,,,,,0.011046606461359383,0.8165672240398815,0.6739372678099634,9.0,4.4939100398522935,1.9489659832488453,0.32725311182173455,,
6,XGB,2,0.451,0.4493,0.4272,0.4185,0.4559,0.451,0.4358,0.6289,0.6368,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 336, 'clf__max_depth': 6, 'clf__learning_rate': 0.0137783205722042, 'clf__subsample': 0.7316806226841562, 'clf__colsample_bytree': 0.6673055161826715, 'clf__min_child_weight': 9, 'clf__gamma': 4.704199361407432, 'clf__reg_alpha': 1.7092540899046407, 'clf__reg_lambda': 1.7211829952634101}",0.3607,0.4527,0.4015,0.5883,0.4706,0.2105,0.2909,0.6504,0.5167,0.6185,0.563,0.6481,all,f_classif,336.0,6.0,,,,,,0.0137783205722042,0.7316806226841562,0.6673055161826715,9.0,4.704199361407432,1.7092540899046407,1.7211829952634101,,
7,XGB,3,0.5398,0.518,0.5506,0.4815,0.5554,0.5398,0.5067,0.717,0.6886,43,f_classif,"{'selector__k': 43, 'selector__score_func': 'f_classif', 'clf__n_estimators': 70, 'clf__max_depth': 3, 'clf__learning_rate': 0.040906737108820326, 'clf__subsample': 0.7881563270130869, 'clf__colsample_bytree': 0.8209239530494317, 'clf__min_child_weight': 3, 'clf__gamma': 3.4341581798259453, 'clf__reg_alpha': 1.7536392837678694, 'clf__reg_lambda': 0.15097057403845607}",0.6766,0.5755,0.622,0.6936,0.4344,0.1501,0.2232,0.605,0.443,0.9262,0.5993,0.8526,43,f_classif,70.0,3.0,,,,,,0.040906737108820326,0.7881563270130869,0.8209239530494317,3.0,3.4341581798259453,1.7536392837678694,0.15097057403845607,,
8,XGB,4,0.5183,0.4844,0.4669,0.4627,0.5392,0.5183,0.5176,0.6692,0.6811,57,f_classif,"{'selector__k': 57, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 5, 'clf__learning_rate': 0.010525336873561286, 'clf__subsample': 0.7459864197242938, 'clf__colsample_bytree': 0.7770696041210401, 'clf__min_child_weight': 6, 'clf__gamma': 4.308188781863824, 'clf__reg_alpha': 1.8762374288232642, 'clf__reg_lambda': 0.9714673076441597}",0.4043,0.5987,0.4827,0.6341,0.3684,0.2333,0.2857,0.6943,0.6806,0.5687,0.6196,0.6792,57,f_classif,391.0,5.0,,,,,,0.010525336873561286,0.7459864197242938,0.7770696041210401,6.0,4.308188781863824,1.8762374288232642,0.9714673076441597,,
9,XGB,5,0.654,0.6156,0.5958,0.5852,0.641,0.654,0.6311,0.7716,0.8021,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 83, 'clf__max_depth': 3, 'clf__learning_rate': 0.019598455064175322, 'clf__subsample': 0.9347300273580601, 'clf__colsample_bytree': 0.9983866571901159, 'clf__min_child_weight': 2, 'clf__gamma': 4.049291568899971, 'clf__reg_alpha': 0.13658275040299034, 'clf__reg_lambda': 1.7218061543457859}",0.7158,0.6534,0.6832,0.7758,0.49,0.2462,0.3278,0.675,0.6411,0.8879,0.7446,0.8641,all,f_classif,83.0,3.0,,,,,,0.019598455064175322,0.9347300273580601,0.9983866571901159,2.0,4.049291568899971,0.13658275040299034,1.7218061543457859,,
