,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5725,0.5249,0.5178,0.5157,0.5936,0.5725,0.5782,0.6891,0.7225,"{'pca__n_components': 0.7, 'clf__n_estimators': 239, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4,0.5405,0.4598,0.6691,0.4286,0.3462,0.383,0.6439,0.7463,0.6667,0.7042,0.7544,0.7,239.0,3.0,20.0,2.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.5085,0.4819,0.4662,0.4413,0.5609,0.5085,0.5095,0.6917,0.7111,"{'pca__n_components': 0.7, 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.2963,0.5926,0.3951,0.6585,0.3846,0.1667,0.2326,0.6068,0.7647,0.6393,0.6964,0.8096,0.7,349.0,3.0,17.0,3.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.529,0.4942,0.4937,0.48,0.5047,0.529,0.5022,0.6831,0.7097,"{'pca__n_components': 0.9, 'clf__n_estimators': 242, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4722,0.3469,0.4,0.6497,0.4194,0.2955,0.3467,0.6131,0.5909,0.8387,0.6933,0.7865,0.9,242.0,3.0,4.0,1.0,sqrt,True,balanced,,,,,,,,,
3,RF,4,0.4359,0.4323,0.4014,0.4026,0.4356,0.4359,0.4248,0.5952,0.5912,"{'pca__n_components': 0.7, 'clf__n_estimators': 357, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4198,0.5484,0.4755,0.5894,0.4118,0.2059,0.2745,0.5626,0.4655,0.45,0.4576,0.6336,0.7,357.0,3.0,20.0,2.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.4749,0.4516,0.4755,0.4415,0.4871,0.4749,0.4581,0.6721,0.671,"{'pca__n_components': 0.9, 'clf__n_estimators': 242, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5942,0.3942,0.474,0.6595,0.2927,0.2353,0.2609,0.5979,0.4679,0.7969,0.5896,0.7587,0.9,242.0,3.0,4.0,1.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.5797,0.49,0.4735,0.4323,0.5722,0.5797,0.5455,0.6906,0.7349,"{'pca__n_components': 0.8, 'clf__n_estimators': 116, 'clf__max_depth': 5, 'clf__learning_rate': 0.03673230361199756, 'clf__subsample': 0.8237075590927913, 'clf__colsample_bytree': 0.6621765589972487, 'clf__min_child_weight': 3, 'clf__gamma': 2.9095425895872524, 'clf__reg_alpha': 0.02197837848754225, 'clf__reg_lambda': 1.5306212024351353}",0.3934,0.6486,0.4898,0.6568,0.3333,0.0385,0.069,0.67,0.7432,0.7333,0.7383,0.7449,0.8,116.0,5.0,,,,,,0.03673230361199756,0.8237075590927913,0.6621765589972487,3.0,2.9095425895872524,0.02197837848754225,1.5306212024351353,,
6,XGB,2,0.5,0.5144,0.4676,0.4394,0.5834,0.5,0.5018,0.7052,0.7209,"{'pca__n_components': 0.7, 'clf__n_estimators': 293, 'clf__max_depth': 11, 'clf__learning_rate': 0.21068591627429098, 'clf__subsample': 0.7272013899887455, 'clf__colsample_bytree': 0.6440207698110707, 'clf__min_child_weight': 3, 'clf__gamma': 2.1355389431312815, 'clf__reg_alpha': 1.6360295318449862, 'clf__reg_lambda': 1.7214611665126869}",0.2881,0.6296,0.3953,0.6744,0.5,0.1667,0.25,0.6174,0.7551,0.6066,0.6727,0.8237,0.7,293.0,11.0,,,,,,0.21068591627429098,0.7272013899887455,0.6440207698110707,3.0,2.1355389431312815,1.6360295318449862,1.7214611665126869,,
7,XGB,3,0.5226,0.3414,0.4768,0.3979,0.3739,0.5226,0.4359,0.675,0.7003,"{'pca__n_components': 0.7, 'clf__n_estimators': 408, 'clf__max_depth': 10, 'clf__learning_rate': 0.037624564607293, 'clf__subsample': 0.6764860772479624, 'clf__colsample_bytree': 0.6682370439698889, 'clf__min_child_weight': 5, 'clf__gamma': 1.8013246140078307, 'clf__reg_alpha': 1.1701539317642733, 'clf__reg_lambda': 0.716332149563493}",0.4265,0.5918,0.4957,0.6771,0.0,0.0,0.0,0.5664,0.5977,0.8387,0.698,0.7814,0.7,408.0,10.0,,,,,,0.037624564607293,0.6764860772479624,0.6682370439698889,5.0,1.8013246140078307,1.1701539317642733,0.716332149563493,,
8,XGB,4,0.4487,0.4504,0.4046,0.3985,0.4497,0.4487,0.4288,0.5859,0.6305,"{'pca__n_components': 0.7, 'clf__n_estimators': 366, 'clf__max_depth': 10, 'clf__learning_rate': 0.27202375396505174, 'clf__subsample': 0.6914721543086125, 'clf__colsample_bytree': 0.8718361327587401, 'clf__min_child_weight': 7, 'clf__gamma': 2.3040571645533148, 'clf__reg_alpha': 1.4759397765244577, 'clf__reg_lambda': 1.3255264850625486}",0.4493,0.5,0.4733,0.5971,0.4545,0.1471,0.2222,0.523,0.4474,0.5667,0.5,0.6376,0.7,366.0,10.0,,,,,,0.27202375396505174,0.6914721543086125,0.8718361327587401,7.0,2.3040571645533148,1.4759397765244577,1.3255264850625486,,
9,XGB,5,0.4977,0.5412,0.4909,0.4348,0.5757,0.4977,0.4642,0.6791,0.6658,"{'pca__n_components': 0.99, 'clf__n_estimators': 491, 'clf__max_depth': 6, 'clf__learning_rate': 0.027664246080956145, 'clf__subsample': 0.9429871050877198, 'clf__colsample_bytree': 0.6647658123274881, 'clf__min_child_weight': 6, 'clf__gamma': 4.134336554829187, 'clf__reg_alpha': 0.38765023325966386, 'clf__reg_lambda': 1.213442881826612}",0.7167,0.4135,0.5244,0.7257,0.5,0.1373,0.2154,0.5504,0.4069,0.9219,0.5646,0.7611,0.99,491.0,6.0,,,,,,0.027664246080956145,0.9429871050877198,0.6647658123274881,6.0,4.134336554829187,0.38765023325966386,1.213442881826612,,
