,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 377, 'clf__max_depth': 19, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,377.0,19.0,18.0,8.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 377, 'clf__max_depth': 19, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,377.0,19.0,18.0,8.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 355, 'clf__max_depth': 20, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",all,f_classif,355.0,20.0,16.0,7.0,sqrt,True,,,,,,,,,,
3,RF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,mutual_info_classif,"{'selector__k': 38, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 208, 'clf__max_depth': 3, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",38,mutual_info_classif,208.0,3.0,8.0,4.0,,True,balanced,,,,,,,,,
4,RF,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 377, 'clf__max_depth': 19, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,377.0,19.0,18.0,8.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 137, 'clf__max_depth': 3, 'clf__learning_rate': 0.03567881468907587, 'clf__subsample': 0.870991115807471, 'clf__colsample_bytree': 0.8946373558968981, 'clf__min_child_weight': 2, 'clf__gamma': 4.986254252457953, 'clf__reg_alpha': 1.954532931190156, 'clf__reg_lambda': 0.6290475556628405}",38,f_classif,137.0,3.0,,,,,,0.03567881468907587,0.870991115807471,0.8946373558968981,2.0,4.986254252457953,1.954532931190156,0.6290475556628405,,
6,XGB,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 327, 'clf__max_depth': 8, 'clf__learning_rate': 0.08762782944804855, 'clf__subsample': 0.8937531732291621, 'clf__colsample_bytree': 0.8919611362282349, 'clf__min_child_weight': 3, 'clf__gamma': 3.7718749364544886, 'clf__reg_alpha': 1.2797337067349555, 'clf__reg_lambda': 0.04603971146310848}",67,f_classif,327.0,8.0,,,,,,0.08762782944804855,0.8937531732291621,0.8919611362282349,3.0,3.7718749364544886,1.2797337067349555,0.04603971146310848,,
7,XGB,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,mutual_info_classif,"{'selector__k': 19, 'selector__score_func': 'mutual_info_classif', 'clf__n_estimators': 425, 'clf__max_depth': 5, 'clf__learning_rate': 0.01855998084649059, 'clf__subsample': 0.6733618039413735, 'clf__colsample_bytree': 0.7216968971838151, 'clf__min_child_weight': 6, 'clf__gamma': 2.1597250932105787, 'clf__reg_alpha': 0.5824582803960838, 'clf__reg_lambda': 1.223705789444759}",19,mutual_info_classif,425.0,5.0,,,,,,0.01855998084649059,0.6733618039413735,0.7216968971838151,6.0,2.1597250932105787,0.5824582803960838,1.223705789444759,,
8,XGB,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 145, 'clf__max_depth': 8, 'clf__learning_rate': 0.12754578289304017, 'clf__subsample': 0.9008534008725094, 'clf__colsample_bytree': 0.9988079786227714, 'clf__min_child_weight': 3, 'clf__gamma': 3.7962455999180076, 'clf__reg_alpha': 1.9626261735165866, 'clf__reg_lambda': 0.3090691719082115}",67,f_classif,145.0,8.0,,,,,,0.12754578289304017,0.9008534008725094,0.9988079786227714,3.0,3.7962455999180076,1.9626261735165866,0.3090691719082115,,
9,XGB,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 140, 'clf__max_depth': 5, 'clf__learning_rate': 0.03665731482999993, 'clf__subsample': 0.9957170687501471, 'clf__colsample_bytree': 0.9989854395998718, 'clf__min_child_weight': 2, 'clf__gamma': 4.218701297989507, 'clf__reg_alpha': 1.3917316480927653, 'clf__reg_lambda': 0.040217854645339446}",67,f_classif,140.0,5.0,,,,,,0.03665731482999993,0.9957170687501471,0.9989854395998718,2.0,4.218701297989507,1.3917316480927653,0.040217854645339446,,
