,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6014,0.5613,0.4929,0.4956,0.5907,0.6014,0.5761,0.7222,0.7603,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 160, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4615,0.4865,0.4737,0.6631,0.5556,0.1923,0.2857,0.7692,0.6667,0.8,0.7273,0.7342,67,f_classif,160.0,3.0,5.0,7.0,sqrt,False,,,,,,,,,,
1,RF,2,0.6102,0.5503,0.53,0.5349,0.5911,0.6102,0.5953,0.7124,0.7613,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 414, 'clf__max_depth': 9, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4348,0.3704,0.4,0.6821,0.5217,0.4,0.4528,0.6644,0.6944,0.8197,0.7519,0.7906,86,f_classif,414.0,9.0,9.0,4.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.4839,0.431,0.4504,0.4017,0.4526,0.4839,0.4339,0.6841,0.692,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 460, 'clf__max_depth': 13, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.375,0.6122,0.4651,0.5872,0.2857,0.0455,0.0784,0.6523,0.6324,0.6935,0.6615,0.8129,all,f_classif,460.0,13.0,11.0,7.0,log2,True,,,,,,,,,,
3,RF,4,0.5513,0.5526,0.4919,0.4791,0.5519,0.5513,0.5216,0.7342,0.7626,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 431, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': None}",0.5405,0.6452,0.5882,0.7864,0.5556,0.1471,0.2326,0.6471,0.5616,0.6833,0.6165,0.7693,67,f_classif,431.0,3.0,5.0,8.0,,True,,,,,,,,,,
4,RF,5,0.5525,0.5723,0.5872,0.5494,0.617,0.5525,0.5491,0.7498,0.7431,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 308, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7636,0.4038,0.5283,0.7484,0.4079,0.6078,0.4882,0.6979,0.5455,0.75,0.6316,0.8031,all,f_classif,308.0,4.0,17.0,5.0,log2,True,balanced,,,,,,,,,
5,XGB,1,0.5942,0.5391,0.4969,0.5,0.5862,0.5942,0.5792,0.6977,0.7472,28,f_classif,"{'selector__k': 28, 'selector__score_func': 'f_classif', 'clf__n_estimators': 237, 'clf__max_depth': 5, 'clf__learning_rate': 0.04202366007163269, 'clf__subsample': 0.6691366065609956, 'clf__colsample_bytree': 0.9306975820270234, 'clf__min_child_weight': 10, 'clf__gamma': 4.764997588795071, 'clf__reg_alpha': 1.761285858156923, 'clf__reg_lambda': 0.9085407993912502}",0.4186,0.4865,0.45,0.6481,0.5,0.2308,0.3158,0.7376,0.6988,0.7733,0.7342,0.7073,28,f_classif,237.0,5.0,,,,,,0.04202366007163269,0.6691366065609956,0.9306975820270234,10.0,4.764997588795071,1.761285858156923,0.9085407993912502,,
6,XGB,2,0.6186,0.5751,0.5549,0.5602,0.6132,0.6186,0.6117,0.7339,0.7748,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 422, 'clf__max_depth': 11, 'clf__learning_rate': 0.01308299862770825, 'clf__subsample': 0.6009412922705899, 'clf__colsample_bytree': 0.7846656751304443, 'clf__min_child_weight': 6, 'clf__gamma': 2.6932846296075534, 'clf__reg_alpha': 0.9192058094718274, 'clf__reg_lambda': 0.108968494820873}",0.4286,0.4444,0.4364,0.7261,0.5909,0.4333,0.5,0.7091,0.7059,0.7869,0.7442,0.7665,67,f_classif,422.0,11.0,,,,,,0.01308299862770825,0.6009412922705899,0.7846656751304443,6.0,2.6932846296075534,0.9192058094718274,0.108968494820873,,
7,XGB,3,0.4968,0.5222,0.47,0.4452,0.5322,0.4968,0.4702,0.6879,0.6904,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 263, 'clf__max_depth': 10, 'clf__learning_rate': 0.03263511177702436, 'clf__subsample': 0.9746700421583463, 'clf__colsample_bytree': 0.673613082088053, 'clf__min_child_weight': 3, 'clf__gamma': 2.4422156812067053, 'clf__reg_alpha': 0.24497697539200036, 'clf__reg_lambda': 1.5087032902795732}",0.3704,0.6122,0.4615,0.5888,0.5455,0.1364,0.2182,0.6663,0.6508,0.6613,0.656,0.8087,86,f_classif,263.0,10.0,,,,,,0.03263511177702436,0.9746700421583463,0.673613082088053,3.0,2.4422156812067053,0.24497697539200036,1.5087032902795732,,
8,XGB,4,0.5769,0.5587,0.5279,0.5211,0.5746,0.5769,0.5566,0.7199,0.7508,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 315, 'clf__max_depth': 6, 'clf__learning_rate': 0.06609382096898905, 'clf__subsample': 0.8646346479035636, 'clf__colsample_bytree': 0.7187890283779629, 'clf__min_child_weight': 7, 'clf__gamma': 4.773808638054721, 'clf__reg_alpha': 1.6691601455803626, 'clf__reg_lambda': 1.6090593411141478}",0.6538,0.5484,0.5965,0.7654,0.4706,0.2353,0.3137,0.6278,0.5517,0.8,0.6531,0.7665,86,f_classif,315.0,6.0,,,,,,0.06609382096898905,0.8646346479035636,0.7187890283779629,7.0,4.773808638054721,1.6691601455803626,1.6090593411141478,,
9,XGB,5,0.5114,0.5289,0.5384,0.4968,0.5737,0.5114,0.4988,0.732,0.7191,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 177, 'clf__max_depth': 9, 'clf__learning_rate': 0.010215381613752739, 'clf__subsample': 0.9385174738307427, 'clf__colsample_bytree': 0.6971352173656656, 'clf__min_child_weight': 2, 'clf__gamma': 3.6161923239487708, 'clf__reg_alpha': 1.5309430628398837, 'clf__reg_lambda': 0.7896370928506077}",0.7255,0.3558,0.4774,0.6946,0.3793,0.4314,0.4037,0.7082,0.4818,0.8281,0.6092,0.7932,86,f_classif,177.0,9.0,,,,,,0.010215381613752739,0.9385174738307427,0.6971352173656656,2.0,3.6161923239487708,1.5309430628398837,0.7896370928506077,,
