,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.7283,0.6999,0.6341,0.6292,0.7391,0.7283,0.6987,0.8,0.8527,67,f_classif,"{'selector__k': 67, 'selector__score_func': 'f_classif', 'clf__n_estimators': 176, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.8,0.3265,0.4638,0.7406,0.5312,0.6071,0.5667,0.8293,0.7686,0.9688,0.8571,0.83,67,f_classif,176.0,3.0,13.0,1.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.538,0.3507,0.5179,0.4154,0.3787,0.538,0.4419,0.7387,0.7203,48,f_classif,"{'selector__k': 48, 'selector__score_func': 'f_classif', 'clf__n_estimators': 127, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3699,0.675,0.4779,0.6225,0.0,0.0,0.0,0.7375,0.6824,0.8788,0.7682,0.8561,48,f_classif,127.0,3.0,13.0,2.0,log2,True,,,,,,,,,,
2,RF,3,0.5371,0.5457,0.565,0.5329,0.5931,0.5371,0.5389,0.7205,0.7162,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 262, 'clf__max_depth': 5, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7313,0.4336,0.5444,0.6822,0.3462,0.4909,0.406,0.6351,0.5595,0.7705,0.6483,0.8441,all,f_classif,262.0,5.0,15.0,8.0,log2,True,balanced,,,,,,,,,
3,RF,4,0.4811,0.4869,0.4933,0.4681,0.5191,0.4811,0.4825,0.6779,0.6548,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 188, 'clf__max_depth': 4, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5652,0.3421,0.4262,0.6924,0.3289,0.5952,0.4237,0.6758,0.5667,0.5426,0.5543,0.6655,all,f_classif,188.0,4.0,13.0,6.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.5489,0.5447,0.546,0.5452,0.5484,0.5489,0.5485,0.7066,0.7104,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 425, 'clf__max_depth': 7, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5227,0.5,0.5111,0.7036,0.5294,0.5455,0.5373,0.7533,0.5818,0.5926,0.5872,0.6629,all,f_classif,425.0,7.0,11.0,7.0,,True,balanced,,,,,,,,,
5,XGB,1,0.7457,0.7479,0.6206,0.6509,0.7444,0.7457,0.7206,0.7843,0.8502,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 189, 'clf__max_depth': 3, 'clf__learning_rate': 0.010122310392173152, 'clf__subsample': 0.6721427586455345, 'clf__colsample_bytree': 0.8336016709979852, 'clf__min_child_weight': 9, 'clf__gamma': 3.4945144828003327, 'clf__reg_alpha': 1.5958241161323918, 'clf__reg_lambda': 0.5084956443214695}",0.7059,0.4898,0.5783,0.7121,0.7857,0.3929,0.5238,0.8305,0.752,0.9792,0.8507,0.8102,38,f_classif,189.0,3.0,,,,,,0.010122310392173152,0.6721427586455345,0.8336016709979852,9.0,3.4945144828003327,1.5958241161323918,0.5084956443214695,,
6,XGB,2,0.5633,0.632,0.5384,0.4733,0.6549,0.5633,0.4995,0.7238,0.725,38,f_classif,"{'selector__k': 38, 'selector__score_func': 'f_classif', 'clf__n_estimators': 187, 'clf__max_depth': 6, 'clf__learning_rate': 0.014052106265429609, 'clf__subsample': 0.7581814755801245, 'clf__colsample_bytree': 0.6319779312951475, 'clf__min_child_weight': 8, 'clf__gamma': 3.8747620767681576, 'clf__reg_alpha': 1.711306222865896, 'clf__reg_lambda': 1.9313821908530628}",0.3846,0.625,0.4762,0.6129,0.8333,0.0962,0.1724,0.6961,0.6782,0.8939,0.7712,0.8625,38,f_classif,187.0,6.0,,,,,,0.014052106265429609,0.7581814755801245,0.6319779312951475,8.0,3.8747620767681576,1.711306222865896,1.9313821908530628,,
7,XGB,3,0.559,0.5548,0.5762,0.5381,0.6055,0.559,0.553,0.7339,0.7197,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 179, 'clf__max_depth': 8, 'clf__learning_rate': 0.012194751859188056, 'clf__subsample': 0.8290061215460895, 'clf__colsample_bytree': 0.7075915840580226, 'clf__min_child_weight': 6, 'clf__gamma': 4.100244597105736, 'clf__reg_alpha': 1.9724334162598383, 'clf__reg_lambda': 1.620950160736932}",0.7606,0.4779,0.587,0.7159,0.4038,0.3818,0.3925,0.6551,0.5,0.8689,0.6347,0.8306,86,f_classif,179.0,8.0,,,,,,0.012194751859188056,0.8290061215460895,0.7075915840580226,6.0,4.100244597105736,1.9724334162598383,1.620950160736932,,
8,XGB,4,0.5519,0.5336,0.5185,0.5224,0.5519,0.5519,0.5491,0.7161,0.7253,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 120, 'clf__max_depth': 3, 'clf__learning_rate': 0.02883300340525388, 'clf__subsample': 0.7384508308834746, 'clf__colsample_bytree': 0.7246549785899593, 'clf__min_child_weight': 10, 'clf__gamma': 2.6888082727597866, 'clf__reg_alpha': 1.918233991501378, 'clf__reg_lambda': 0.9404903820152873}",0.5056,0.5921,0.5455,0.7205,0.4688,0.3571,0.4054,0.7231,0.6264,0.6064,0.6162,0.7047,all,f_classif,120.0,3.0,,,,,,0.02883300340525388,0.7384508308834746,0.7246549785899593,10.0,2.6888082727597866,1.918233991501378,0.9404903820152873,,
9,XGB,5,0.5714,0.5766,0.5628,0.5676,0.574,0.5714,0.5706,0.7241,0.7349,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__n_estimators': 51, 'clf__max_depth': 6, 'clf__learning_rate': 0.033545837260631726, 'clf__subsample': 0.8534248986618103, 'clf__colsample_bytree': 0.6519963830669836, 'clf__min_child_weight': 6, 'clf__gamma': 2.3973375208361847, 'clf__reg_alpha': 1.028006091047573, 'clf__reg_lambda': 1.4077926507705192}",0.5952,0.5435,0.5682,0.7266,0.5862,0.5152,0.5484,0.7679,0.5484,0.6296,0.5862,0.6779,86,f_classif,51.0,6.0,,,,,,0.033545837260631726,0.8534248986618103,0.6519963830669836,6.0,2.3973375208361847,1.028006091047573,1.4077926507705192,,
10,DT,1,0.5896,0.3654,0.3741,0.3146,0.4725,0.5896,0.4703,0.6458,0.7582,86,f_classif,"{'selector__k': 86, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.5,0.1224,0.1967,0.5701,0.0,0.0,0.0,0.7044,0.5963,1.0,0.7471,0.6629,86,f_classif,,2.0,19.0,7.0,log2,,,,,,,,,,gini,random
11,DT,2,0.5759,0.4988,0.5138,0.4639,0.5277,0.5759,0.5174,0.6802,0.7172,48,f_classif,"{'selector__k': 48, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.3333,0.05,0.087,0.6204,0.4795,0.6731,0.56,0.6465,0.6835,0.8182,0.7448,0.7737,48,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
