,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6,0.5774,0.5754,0.5634,0.6525,0.6,0.6171,0.7213,0.7302,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 479, 'clf__max_depth': 7, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7062,0.5433,0.6141,0.7709,0.2819,0.4884,0.3574,0.5835,0.7441,0.6947,0.7185,0.8096,all,f_classif,479.0,7.0,11.0,6.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.5124,0.4822,0.4762,0.4718,0.5383,0.5124,0.518,0.6699,0.6873,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 290, 'clf__max_depth': 4, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.6172,0.4463,0.518,0.7422,0.243,0.3333,0.2811,0.5499,0.5865,0.6489,0.6162,0.7176,all,f_classif,290.0,4.0,11.0,9.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.4667,0.5319,0.4452,0.4139,0.5269,0.4667,0.43,0.6496,0.648,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 186, 'clf__max_depth': 8, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3889,0.5785,0.4651,0.5716,0.6842,0.1182,0.2016,0.6826,0.5227,0.6389,0.575,0.6948,91,f_classif,186.0,8.0,8.0,7.0,log2,True,,,,,,,,,,
3,RF,4,0.5538,0.5655,0.4949,0.4676,0.5601,0.5538,0.5099,0.7113,0.7377,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 393, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.53,0.5349,0.5324,0.7069,0.6,0.1172,0.1961,0.6457,0.5665,0.8326,0.6742,0.7813,all,f_classif,393.0,4.0,14.0,10.0,sqrt,True,,,,,,,,,,
4,RF,5,0.5359,0.6419,0.4991,0.4369,0.6337,0.5359,0.4629,0.7271,0.7119,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 299, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.405,0.5031,0.4488,0.5698,0.9091,0.0671,0.125,0.7825,0.6117,0.9271,0.7371,0.829,all,f_classif,299.0,4.0,15.0,2.0,log2,False,,,,,,,,,,
5,XGB,1,0.5904,0.5264,0.5246,0.525,0.6018,0.5904,0.5957,0.7298,0.7619,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 9, 'clf__learning_rate': 0.016120826584109384, 'clf__subsample': 0.784470702307805, 'clf__colsample_bytree': 0.6390799194269504, 'clf__min_child_weight': 4, 'clf__gamma': 4.4092153699697505, 'clf__reg_alpha': 1.0995762710594135, 'clf__reg_lambda': 1.2019627053304323}",0.6373,0.625,0.6311,0.7942,0.2323,0.2674,0.2486,0.5824,0.7097,0.6814,0.6953,0.8128,71,f_classif,316.0,9.0,,,,,,0.016120826584109384,0.784470702307805,0.6390799194269504,4.0,4.4092153699697505,1.0995762710594135,1.2019627053304323,,
6,XGB,2,0.544,0.4804,0.4769,0.4735,0.5387,0.544,0.5352,0.6591,0.7097,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 71, 'clf__max_depth': 10, 'clf__learning_rate': 0.022472924478962087, 'clf__subsample': 0.9995734294942582, 'clf__colsample_bytree': 0.6845431421510124, 'clf__min_child_weight': 6, 'clf__gamma': 3.382820041327351, 'clf__reg_alpha': 0.6992909401745809, 'clf__reg_lambda': 0.0970980694233607}",0.617,0.4915,0.5472,0.7011,0.2319,0.2051,0.2177,0.5534,0.5923,0.734,0.6556,0.7226,40,f_classif,71.0,10.0,,,,,,0.022472924478962087,0.9995734294942582,0.6845431421510124,6.0,3.382820041327351,0.6992909401745809,0.0970980694233607,,
7,XGB,3,0.456,0.5137,0.4425,0.4339,0.5083,0.456,0.4427,0.6517,0.6475,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 8, 'clf__learning_rate': 0.011711509955524094, 'clf__subsample': 0.8430179407605753, 'clf__colsample_bytree': 0.6682096494749166, 'clf__min_child_weight': 1, 'clf__gamma': 4.7444276862666666, 'clf__reg_alpha': 1.9312640661491187, 'clf__reg_lambda': 1.6167946962329223}",0.3743,0.5537,0.4467,0.5764,0.6667,0.2182,0.3288,0.6966,0.5,0.5556,0.5263,0.6821,91,f_classif,281.0,8.0,,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
8,XGB,4,0.5556,0.5385,0.5027,0.4857,0.5445,0.5556,0.5229,0.7015,0.7316,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 50, 'clf__max_depth': 4, 'clf__learning_rate': 0.06771360300670522, 'clf__subsample': 0.8527811146692295, 'clf__colsample_bytree': 0.7649151170056939, 'clf__min_child_weight': 7, 'clf__gamma': 4.993974451783924, 'clf__reg_alpha': 1.9003506093721474, 'clf__reg_lambda': 1.116902714581581}",0.5446,0.5395,0.5421,0.7002,0.5,0.1641,0.2471,0.6244,0.571,0.8047,0.668,0.78,51,f_classif,50.0,4.0,,,,,,0.06771360300670522,0.8527811146692295,0.7649151170056939,7.0,4.993974451783924,1.9003506093721474,1.116902714581581,,
9,XGB,5,0.5418,0.6329,0.5063,0.4526,0.6256,0.5418,0.4766,0.7095,0.7095,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 168, 'clf__max_depth': 11, 'clf__learning_rate': 0.018306433184581753, 'clf__subsample': 0.9286777996870489, 'clf__colsample_bytree': 0.6587895831708357, 'clf__min_child_weight': 4, 'clf__gamma': 4.977261989295827, 'clf__reg_alpha': 1.3850268328276016, 'clf__reg_lambda': 0.735192367612579}",0.4154,0.5031,0.4551,0.5808,0.875,0.094,0.1697,0.6973,0.6082,0.9219,0.7329,0.8502,71,f_classif,168.0,11.0,,,,,,0.018306433184581753,0.9286777996870489,0.6587895831708357,4.0,4.977261989295827,1.3850268328276016,0.735192367612579,,
