,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5206,0.47,0.4734,0.3987,0.4887,0.5206,0.4338,0.7224,0.6976,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 50, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.3846,0.5046,0.4365,0.6839,0.4286,0.0234,0.0444,0.6705,0.597,0.892,0.7153,0.8129,81,f_classif,50.0,3.0,18.0,4.0,sqrt,False,,,,,,,,,,
1,RF,2,0.5283,0.5324,0.5498,0.4742,0.6116,0.5283,0.5086,0.7454,0.7011,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 145, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.8115,0.467,0.5928,0.787,0.3723,0.1823,0.2448,0.5518,0.4135,1.0,0.5851,0.8973,71,f_classif,145.0,3.0,16.0,8.0,sqrt,True,,,,,,,,,,
2,RF,3,0.559,0.6158,0.5051,0.5284,0.6168,0.559,0.5703,0.7194,0.7287,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 299, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.3553,0.5301,0.4254,0.6248,0.775,0.3605,0.4921,0.8259,0.7172,0.6246,0.6677,0.7075,91,f_classif,299.0,4.0,19.0,2.0,sqrt,False,,,,,,,,,,
3,RF,4,0.6372,0.7299,0.4723,0.4386,0.6992,0.6372,0.596,0.7401,0.8054,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.4452,0.5847,0.5055,0.6769,1.0,0.0161,0.0317,0.7975,0.7445,0.816,0.7786,0.746,71,f_classif,344.0,3.0,18.0,9.0,sqrt,False,,,,,,,,,,
4,RF,5,0.4713,0.3789,0.4088,0.367,0.4108,0.4713,0.419,0.6677,0.6948,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 205, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.3766,0.4663,0.4167,0.5826,0.2,0.0286,0.05,0.6535,0.5601,0.7314,0.6344,0.767,30,f_classif,205.0,4.0,18.0,7.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.5714,0.5357,0.529,0.5222,0.5543,0.5714,0.552,0.6708,0.6861,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 308, 'clf__max_depth': 9, 'clf__learning_rate': 0.010197564862801267, 'clf__subsample': 0.7466602155202388, 'clf__colsample_bytree': 0.6778910420584644, 'clf__min_child_weight': 5, 'clf__gamma': 4.967411011074679, 'clf__reg_alpha': 1.3838396288998358, 'clf__reg_lambda': 1.9480376719506358}",0.4257,0.3945,0.4095,0.5672,0.5294,0.3516,0.4225,0.6225,0.652,0.8409,0.7345,0.8226,71,f_classif,308.0,9.0,,,,,,0.010197564862801267,0.7466602155202388,0.6778910420584644,5.0,4.967411011074679,1.3838396288998358,1.9480376719506358,,
6,XGB,2,0.5382,0.5576,0.5723,0.5036,0.6465,0.5382,0.5287,0.7674,0.7152,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 281, 'clf__max_depth': 8, 'clf__learning_rate': 0.011711509955524094, 'clf__subsample': 0.8430179407605753, 'clf__colsample_bytree': 0.6682096494749166, 'clf__min_child_weight': 1, 'clf__gamma': 4.7444276862666666, 'clf__reg_alpha': 1.9312640661491187, 'clf__reg_lambda': 1.6167946962329223}",0.871,0.4458,0.5897,0.7908,0.3699,0.2812,0.3195,0.6172,0.4321,0.9898,0.6016,0.8943,91,f_classif,281.0,8.0,,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
7,XGB,3,0.5689,0.546,0.5486,0.5432,0.5953,0.5689,0.5772,0.7281,0.7269,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 292, 'clf__max_depth': 5, 'clf__learning_rate': 0.011302787065376931, 'clf__subsample': 0.7613673602738438, 'clf__colsample_bytree': 0.6307415673413383, 'clf__min_child_weight': 10, 'clf__gamma': 4.989980977301781, 'clf__reg_alpha': 1.936496825433385, 'clf__reg_lambda': 0.7493088635673132}",0.411,0.5301,0.463,0.6393,0.5116,0.5116,0.5116,0.8379,0.7153,0.6041,0.655,0.7073,all,f_classif,292.0,5.0,,,,,,0.011302787065376931,0.7613673602738438,0.6307415673413383,10.0,4.989980977301781,1.936496825433385,0.7493088635673132,,
8,XGB,4,0.6047,0.4801,0.4555,0.4522,0.5738,0.6047,0.5813,0.7272,0.7833,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 94, 'clf__max_depth': 9, 'clf__learning_rate': 0.0863222912881889, 'clf__subsample': 0.7088347082611398, 'clf__colsample_bytree': 0.6987132487316773, 'clf__min_child_weight': 9, 'clf__gamma': 3.2971744022791962, 'clf__reg_alpha': 0.7300200952016305, 'clf__reg_lambda': 1.1328263390547513}",0.4252,0.4576,0.4408,0.6522,0.3043,0.1129,0.1647,0.7649,0.7107,0.796,0.7509,0.7646,10,f_classif,94.0,9.0,,,,,,0.0863222912881889,0.7088347082611398,0.6987132487316773,9.0,3.2971744022791962,0.7300200952016305,1.1328263390547513,,
9,XGB,5,0.4661,0.4105,0.4189,0.4078,0.4376,0.4661,0.4459,0.6393,0.6703,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 200, 'clf__max_depth': 9, 'clf__learning_rate': 0.029519270958942304, 'clf__subsample': 0.7852512154289876, 'clf__colsample_bytree': 0.7350057789680583, 'clf__min_child_weight': 9, 'clf__gamma': 4.9305943953019336, 'clf__reg_alpha': 1.981139134897337, 'clf__reg_lambda': 0.9688341358217081}",0.4,0.4249,0.4121,0.5755,0.2625,0.15,0.1909,0.5872,0.569,0.6818,0.6203,0.7551,40,f_classif,200.0,9.0,,,,,,0.029519270958942304,0.7852512154289876,0.7350057789680583,9.0,4.9305943953019336,1.981139134897337,0.9688341358217081,,
10,DT,1,0.4697,0.2862,0.4152,0.3366,0.3131,0.4697,0.3737,0.6355,0.6542,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.3254,0.3761,0.3489,0.6051,0.0,0.0,0.0,0.602,0.5331,0.8693,0.6609,0.6995,51,f_classif,,2.0,4.0,6.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.5603,0.367,0.5049,0.4158,0.4534,0.5603,0.4922,0.661,0.6339,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.6682,0.6934,0.6806,0.685,0.0,0.0,0.0,0.5231,0.4328,0.8214,0.5669,0.7749,71,f_classif,,2.0,19.0,7.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.459,0.3841,0.4071,0.3294,0.5549,0.459,0.4249,0.6615,0.7021,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.3442,0.8634,0.4922,0.6551,0.0,0.0,0.0,0.649,0.8079,0.3578,0.4959,0.6804,91,f_classif,,2.0,16.0,6.0,,,,,,,,,,,gini,random
13,DT,4,0.6233,0.3774,0.4394,0.4059,0.5294,0.6233,0.5724,0.6626,0.7511,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.4198,0.4661,0.4418,0.6113,0.0,0.0,0.0,0.6895,0.7124,0.852,0.776,0.6871,71,f_classif,,1.0,10.0,7.0,,,,,,,,,,,gini,random
14,DT,5,0.4957,0.4026,0.4283,0.3884,0.4357,0.4957,0.4432,0.6685,0.6889,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.3728,0.4404,0.4038,0.5597,0.2308,0.0429,0.0723,0.7347,0.6044,0.8017,0.6892,0.711,71,f_classif,,2.0,7.0,7.0,,,,,,,,,,,gini,random
15,RF,MEAN,0.5433,0.5454,0.4819,0.4414,0.5654,0.5433,0.5055,0.719,0.7255,N/A,N/A,N/A,0.4746,0.5105,0.4754,0.671,0.5552,0.1222,0.1726,0.6998,0.6065,0.8128,0.6762,0.7861,,,,,,,,,,,,,,,,,,
16,RF,STD,0.0612,0.1347,0.0516,0.0633,0.1145,0.0612,0.0791,0.0308,0.0467,N/A,N/A,N/A,0.1912,0.0494,0.0744,0.0768,0.3247,0.1501,0.1991,0.1122,0.133,0.1444,0.0744,0.0729,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5499,0.506,0.5049,0.4858,0.5615,0.5499,0.537,0.7066,0.7164,N/A,N/A,N/A,0.5066,0.4506,0.463,0.645,0.3955,0.2815,0.3218,0.6859,0.6158,0.7825,0.6725,0.7888,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0524,0.0611,0.0649,0.0551,0.0773,0.0524,0.0552,0.051,0.0437,N/A,N/A,N/A,0.204,0.0505,0.0742,0.0898,0.1205,0.1609,0.1483,0.1093,0.1185,0.1488,0.0672,0.0718,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.5216,0.3635,0.439,0.3752,0.4573,0.5216,0.4613,0.6578,0.686,N/A,N/A,N/A,0.4261,0.5679,0.4735,0.6232,0.0462,0.0086,0.0145,0.6397,0.6181,0.7404,0.6378,0.7106,,,,,,,,,,,,,,,,,,
20,DT,STD,0.0691,0.0451,0.0389,0.0399,0.0949,0.0691,0.0752,0.0128,0.0454,N/A,N/A,N/A,0.1399,0.204,0.1271,0.0483,0.1032,0.0192,0.0323,0.0816,0.1472,0.2155,0.1089,0.0378,,,,,,,,,,,,,,,,,,
