,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,37,2,29,43,15,22,11,0,118
1,RF,2,16,21,19,13,24,20,13,6,72
2,RF,3,47,28,60,12,28,14,9,24,73
3,RF,4,110,62,41,26,41,26,53,22,107
4,RF,5,22,42,29,8,43,15,2,16,112
5,XGB,1,36,3,29,42,15,23,8,3,118
6,XGB,2,33,4,19,32,8,17,10,4,77
7,XGB,3,46,33,56,20,17,17,15,15,76
8,XGB,4,110,61,42,20,44,29,54,25,103
9,XGB,5,61,4,28,24,25,17,25,7,98
10,DT,1,32,0,36,60,0,20,16,0,113
11,DT,2,38,0,18,35,0,22,25,0,66
12,DT,3,13,66,56,11,33,10,3,38,65
13,DT,4,0,131,82,0,50,43,0,50,132
14,DT,5,56,0,37,38,2,26,16,1,113
