,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,91,91,f_classif,0.892
1,RF,2,all,102,f_classif,1.0
2,RF,3,all,102,f_classif,1.0
3,RF,4,81,81,f_classif,0.794
4,RF,5,all,102,f_classif,1.0
5,XGB,1,40,40,f_classif,0.392
6,XGB,2,71,71,f_classif,0.696
7,XGB,3,81,81,f_classif,0.794
8,XGB,4,all,102,f_classif,1.0
9,XGB,5,all,102,f_classif,1.0
10,DT,1,71,71,f_classif,0.696
11,DT,2,51,51,f_classif,0.5
12,DT,3,30,30,f_classif,0.294
13,DT,4,91,91,f_classif,0.892
14,DT,5,10,10,f_classif,0.098
