,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,23,0,33,17,4,12,8,0,90
1,RF,2,34,5,12,17,8,16,14,1,61
2,RF,3,34,12,39,45,16,8,16,12,44
3,RF,4,68,32,37,18,11,30,18,6,100
4,RF,5,63,4,18,24,9,24,16,0,88
5,XGB,1,24,0,32,15,7,11,7,4,87
6,XGB,2,28,10,13,10,10,21,13,2,61
7,XGB,3,33,7,45,48,7,14,14,6,52
8,XGB,4,76,24,37,11,21,27,24,8,92
9,XGB,5,53,12,20,35,5,17,16,3,85
10,DT,1,29,0,27,26,0,7,28,0,70
11,DT,2,43,0,8,25,0,16,36,0,40
12,DT,3,47,3,35,55,3,11,22,5,45
13,DT,4,67,0,70,28,0,31,25,0,99
14,DT,5,0,66,19,0,40,17,0,21,83
