,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,6,3,10,3,7,3,3,5,31
1,RF,2,13,10,14,1,9,7,2,6,27
2,RF,3,14,1,10,21,4,7,8,0,30
3,RF,4,12,1,6,18,2,4,12,0,21
4,RF,5,27,18,15,10,6,10,9,1,36
5,XGB,1,9,0,10,6,6,1,6,5,28
6,XGB,2,15,6,16,3,5,9,3,4,28
7,XGB,3,12,4,9,20,4,8,8,1,29
8,XGB,4,9,3,7,17,3,4,13,1,19
9,XGB,5,23,19,18,7,4,15,3,1,42
10,DT,1,5,0,14,6,0,7,2,0,37
11,DT,2,6,0,31,1,0,16,0,0,35
12,DT,3,18,0,7,28,0,4,12,0,26
13,DT,4,9,0,10,14,0,10,9,0,24
14,DT,5,0,20,40,0,5,21,0,0,46
