,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,213,53,118,174,174,213,53,118,0.5958904109589042,0.8007518796992481,0.7665198237885462,0.6435045317220544
1,RF,2,385,175,223,223,223,385,175,223,0.5,0.6875,0.5603015075376885,0.6332236842105263
2,RF,3,521,120,176,274,274,521,120,176,0.6088888888888889,0.8127925117004681,0.6954314720812182,0.7474892395982783
3,RF,4,435,158,43,262,262,435,158,43,0.8590163934426229,0.7335581787521079,0.6238095238095238,0.9100418410041841
4,RF,5,542,264,81,342,342,542,264,81,0.8085106382978723,0.6724565756823822,0.5643564356435643,0.869983948635634
5,XGB,1,225,41,138,154,154,225,41,138,0.5273972602739726,0.8458646616541353,0.7897435897435897,0.6198347107438017
6,XGB,2,361,199,214,232,232,361,199,214,0.5201793721973094,0.6446428571428572,0.5382830626450116,0.6278260869565218
7,XGB,3,516,125,181,269,269,516,125,181,0.5977777777777777,0.8049921996879875,0.682741116751269,0.7403156384505022
8,XGB,4,474,119,131,174,174,474,119,131,0.5704918032786885,0.7993254637436762,0.5938566552901023,0.7834710743801653
9,XGB,5,570,236,107,316,316,570,236,107,0.7470449172576832,0.707196029776675,0.572463768115942,0.8419497784342689
10,DT,1,173,93,80,212,212,173,93,80,0.726027397260274,0.650375939849624,0.6950819672131148,0.6837944664031621
11,DT,2,315,245,178,268,268,315,245,178,0.600896860986547,0.5625,0.5224171539961013,0.6389452332657201
12,DT,3,381,260,139,311,311,381,260,139,0.6911111111111111,0.594383775351014,0.5446584938704028,0.7326923076923076
13,DT,4,504,89,183,122,122,504,89,183,0.4,0.8499156829679595,0.5781990521327014,0.7336244541484717
14,DT,5,595,211,136,287,287,595,211,136,0.6784869976359338,0.7382133995037221,0.5763052208835341,0.813953488372093
