,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.728,0.7083,0.6993,0.7028,0.7238,0.728,0.725,0.6477,0.5876,0.6162,0.7688,0.811,0.7893,0.7895,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 460, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",30,f_classif,460.0,3.0,15.0,8.0,log2,True,,,,,,,,,,
1,RF,2,0.5811,0.585,0.5793,0.573,0.5848,0.5811,0.5739,0.6,0.45,0.5143,0.57,0.7085,0.6318,0.6257,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 284, 'clf__max_depth': 18, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",all,f_classif,284.0,18.0,3.0,6.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.7289,0.7153,0.6973,0.7025,0.7239,0.7289,0.723,0.678,0.5607,0.6138,0.7526,0.8338,0.7911,0.8065,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 332, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",71,f_classif,332.0,3.0,19.0,2.0,sqrt,False,,,,,,,,,,
3,RF,4,0.72,0.6915,0.7013,0.6951,0.7293,0.72,0.7235,0.5758,0.6441,0.608,0.8073,0.7586,0.7822,0.8127,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 487, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",all,f_classif,487.0,3.0,11.0,2.0,sqrt,True,,,,,,,,,,
4,RF,5,0.722,0.7509,0.7476,0.7219,0.7751,0.722,0.7211,0.6117,0.8945,0.7265,0.8901,0.6007,0.7173,0.8231,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 414, 'clf__max_depth': 19, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",71,f_classif,414.0,19.0,5.0,4.0,log2,True,balanced,,,,,,,,,
5,XGB,1,0.749,0.7358,0.7108,0.7181,0.7442,0.749,0.7421,0.7032,0.5619,0.6246,0.7684,0.8598,0.8115,0.8054,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 194, 'clf__max_depth': 5, 'clf__learning_rate': 0.186760563336997, 'clf__subsample': 0.8308480501305339, 'clf__colsample_bytree': 0.780481324745912, 'clf__min_child_weight': 2, 'clf__gamma': 4.373379523615332, 'clf__reg_alpha': 1.7035751467496576, 'clf__reg_lambda': 1.0711983025342595}",10,f_classif,194.0,5.0,,,,,,0.186760563336997,0.8308480501305339,0.780481324745912,2.0,4.373379523615332,1.7035751467496576,1.0711983025342595,,
6,XGB,2,0.6099,0.621,0.6075,0.5976,0.6205,0.6099,0.5986,0.6543,0.4417,0.5274,0.5877,0.7733,0.6678,0.65,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 282, 'clf__max_depth': 8, 'clf__learning_rate': 0.012189973884389268, 'clf__subsample': 0.8510902688575739, 'clf__colsample_bytree': 0.8679548329643039, 'clf__min_child_weight': 7, 'clf__gamma': 4.700905427123588, 'clf__reg_alpha': 0.9930824554775217, 'clf__reg_lambda': 0.675110464716633}",30,f_classif,282.0,8.0,,,,,,0.012189973884389268,0.8510902688575739,0.8679548329643039,7.0,4.700905427123588,0.9930824554775217,0.675110464716633,,
7,XGB,3,0.7289,0.7138,0.7026,0.7065,0.7247,0.7289,0.7253,0.6667,0.5888,0.6253,0.7609,0.8163,0.7876,0.8108,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 107, 'clf__max_depth': 5, 'clf__learning_rate': 0.017689944985596076, 'clf__subsample': 0.7636007510144631, 'clf__colsample_bytree': 0.8286051653179289, 'clf__min_child_weight': 3, 'clf__gamma': 4.484519534835343, 'clf__reg_alpha': 0.15187123401884414, 'clf__reg_lambda': 1.115224506349587}",30,f_classif,107.0,5.0,,,,,,0.017689944985596076,0.7636007510144631,0.8286051653179289,3.0,4.484519534835343,0.15187123401884414,1.115224506349587,,
8,XGB,4,0.7257,0.6985,0.7098,0.7024,0.7364,0.7257,0.7295,0.5821,0.661,0.619,0.8148,0.7586,0.7857,0.8074,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 50, 'clf__max_depth': 7, 'clf__learning_rate': 0.03873191276114148, 'clf__subsample': 0.8726891896046383, 'clf__colsample_bytree': 0.8475832351427359, 'clf__min_child_weight': 9, 'clf__gamma': 2.844196456784239, 'clf__reg_alpha': 1.1324031545144195, 'clf__reg_lambda': 0.6994138780062074}",40,f_classif,50.0,7.0,,,,,,0.03873191276114148,0.8726891896046383,0.8475832351427359,9.0,2.844196456784239,1.1324031545144195,0.6994138780062074,,
9,XGB,5,0.7365,0.7439,0.7503,0.7358,0.7621,0.7365,0.7382,0.6395,0.8291,0.7221,0.8482,0.6714,0.7495,0.8239,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 245, 'clf__max_depth': 4, 'clf__learning_rate': 0.023358447944319224, 'clf__subsample': 0.6346576730116115, 'clf__colsample_bytree': 0.9153283964155848, 'clf__min_child_weight': 4, 'clf__gamma': 4.350584784698796, 'clf__reg_alpha': 1.62287043802662, 'clf__reg_lambda': 0.4589979109518117}",10,f_classif,245.0,4.0,,,,,,0.023358447944319224,0.6346576730116115,0.9153283964155848,4.0,4.350584784698796,1.62287043802662,0.4589979109518117,,
