,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6985,0.6991,0.696,0.6962,0.6989,0.6985,0.6973,0.6948,0.7535,0.723,0.7034,0.6385,0.6694,0.7789,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",30,f_classif,423.0,3.0,20.0,8.0,sqrt,False,,,,,,,,,,
1,RF,2,0.5833,0.6181,0.5855,0.5535,0.6186,0.5833,0.5526,0.6842,0.3223,0.4382,0.5519,0.8487,0.6689,0.6514,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 377, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",30,f_classif,377.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7463,0.7461,0.7502,0.7452,0.7542,0.7463,0.7473,0.6826,0.7808,0.7284,0.8095,0.7196,0.7619,0.8108,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 471, 'clf__max_depth': 19, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",20,f_classif,471.0,19.0,6.0,9.0,log2,True,,,,,,,,,,
3,RF,4,0.7795,0.7682,0.7964,0.7703,0.8118,0.7795,0.7849,0.6313,0.8496,0.7244,0.9052,0.7432,0.8162,0.8438,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 415, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",40,f_classif,415.0,3.0,16.0,4.0,sqrt,True,,,,,,,,,,
4,RF,5,0.7595,0.7154,0.6893,0.6986,0.7496,0.7595,0.7518,0.6282,0.5104,0.5632,0.8025,0.8682,0.8341,0.7589,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 7, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",10,f_classif,391.0,7.0,11.0,6.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6765,0.6758,0.6755,0.6756,0.6763,0.6765,0.6763,0.6875,0.6972,0.6923,0.6641,0.6538,0.6589,0.7651,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 67, 'clf__max_depth': 5, 'clf__learning_rate': 0.04140720323155231, 'clf__subsample': 0.6352399366487557, 'clf__colsample_bytree': 0.7160419214382061, 'clf__min_child_weight': 1, 'clf__gamma': 4.648491482546992, 'clf__reg_alpha': 1.8257354775776036, 'clf__reg_lambda': 0.7829608678122683}",40,f_classif,67.0,5.0,,,,,,0.04140720323155231,0.6352399366487557,0.7160419214382061,1.0,4.648491482546992,1.8257354775776036,0.7829608678122683,,
6,XGB,2,0.5542,0.5733,0.5562,0.5275,0.5736,0.5542,0.5266,0.6129,0.314,0.4153,0.5337,0.7983,0.6397,0.5762,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 119, 'clf__max_depth': 4, 'clf__learning_rate': 0.019240787883762413, 'clf__subsample': 0.9333768234999235, 'clf__colsample_bytree': 0.7800663720755154, 'clf__min_child_weight': 8, 'clf__gamma': 3.4827122782510314, 'clf__reg_alpha': 0.43338857548976895, 'clf__reg_lambda': 1.477841717195713}",all,f_classif,119.0,4.0,,,,,,0.019240787883762413,0.9333768234999235,0.7800663720755154,8.0,3.4827122782510314,0.43338857548976895,1.477841717195713,,
7,XGB,3,0.7254,0.7235,0.727,0.7236,0.7308,0.7254,0.7264,0.6667,0.7397,0.7013,0.7803,0.7143,0.7459,0.8,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 97, 'clf__max_depth': 11, 'clf__learning_rate': 0.024725814420704977, 'clf__subsample': 0.6546222785562366, 'clf__colsample_bytree': 0.964418447513112, 'clf__min_child_weight': 8, 'clf__gamma': 3.032024413445288, 'clf__reg_alpha': 1.3631786254785938, 'clf__reg_lambda': 0.4769156970232308}",40,f_classif,97.0,11.0,,,,,,0.024725814420704977,0.6546222785562366,0.964418447513112,8.0,3.032024413445288,1.3631786254785938,0.4769156970232308,,
8,XGB,4,0.7974,0.7836,0.8118,0.7878,0.8244,0.7974,0.8022,0.6552,0.8571,0.7427,0.912,0.7665,0.833,0.8329,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 126, 'clf__max_depth': 6, 'clf__learning_rate': 0.011825277595365327, 'clf__subsample': 0.7735554217054944, 'clf__colsample_bytree': 0.6045066106400394, 'clf__min_child_weight': 9, 'clf__gamma': 3.1520607553253734, 'clf__reg_alpha': 1.1133288632459295, 'clf__reg_lambda': 0.3275239990424617}",30,f_classif,126.0,6.0,,,,,,0.011825277595365327,0.7735554217054944,0.6045066106400394,9.0,3.1520607553253734,1.1133288632459295,0.3275239990424617,,
9,XGB,5,0.7437,0.6955,0.6545,0.6652,0.7283,0.7437,0.7288,0.6119,0.4271,0.5031,0.7791,0.8818,0.8273,0.7566,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 193, 'clf__max_depth': 5, 'clf__learning_rate': 0.03395814585035539, 'clf__subsample': 0.7965241179848213, 'clf__colsample_bytree': 0.785075142229657, 'clf__min_child_weight': 6, 'clf__gamma': 2.8660799270346966, 'clf__reg_alpha': 1.721323465027207, 'clf__reg_lambda': 1.9652315185168114}",10,f_classif,193.0,5.0,,,,,,0.03395814585035539,0.7965241179848213,0.785075142229657,6.0,2.8660799270346966,1.721323465027207,1.9652315185168114,,
