,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,71,71,f_classif,0.696
1,RF,2,20,20,f_classif,0.196
2,RF,3,81,81,f_classif,0.794
3,RF,4,all,102,f_classif,1.0
4,RF,5,30,30,f_classif,0.294
5,XGB,1,91,91,f_classif,0.892
6,XGB,2,10,10,f_classif,0.098
7,XGB,3,40,40,f_classif,0.392
8,XGB,4,10,10,f_classif,0.098
9,XGB,5,10,10,f_classif,0.098
10,DT,1,10,10,f_classif,0.098
11,DT,2,10,10,f_classif,0.098
12,DT,3,51,51,f_classif,0.5
13,DT,4,40,40,f_classif,0.392
14,DT,5,20,20,f_classif,0.196
