,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.8,0.7989,0.8243,0.7958,0.8374,0.8,0.804,0.6613,0.9111,0.7664,0.9365,0.7375,0.8252,0.865,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",20.0,f_classif,371.0,3.0,20.0,7.0,sqrt,False,balanced,,,,,,,,,
1,RF,2,0.6893,0.6758,0.6758,0.6758,0.6893,0.6893,0.6893,0.6098,0.6098,0.6098,0.7419,0.7419,0.7419,0.7498,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 78, 'clf__max_depth': 13, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",20.0,f_classif,78.0,13.0,7.0,8.0,sqrt,True,balanced,,,,,,,,,
2,RF,3,0.617,0.6001,0.5982,0.5989,0.6139,0.617,0.6152,0.5278,0.5,0.5135,0.6724,0.6964,0.6842,0.6837,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 361, 'clf__max_depth': 10, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",71.0,f_classif,361.0,10.0,7.0,5.0,sqrt,True,,,,,,,,,,
3,RF,4,0.6667,0.6655,0.6698,0.6641,0.6779,0.6667,0.6688,0.7429,0.65,0.6933,0.5882,0.6897,0.6349,0.6793,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 83, 'clf__max_depth': 12, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",81.0,f_classif,83.0,12.0,20.0,10.0,log2,True,,,,,,,,,,
4,RF,5,0.6944,0.6768,0.6815,0.6786,0.6995,0.6944,0.6964,0.5862,0.6296,0.6071,0.7674,0.7333,0.75,0.8214,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 240, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",71.0,f_classif,240.0,3.0,2.0,8.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.776,0.7607,0.7764,0.765,0.7888,0.776,0.7792,0.6604,0.7778,0.7143,0.8611,0.775,0.8158,0.8594,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 93, 'clf__max_depth': 8, 'clf__learning_rate': 0.10515442928135466, 'clf__subsample': 0.8301569709231158, 'clf__colsample_bytree': 0.7616042731283735, 'clf__min_child_weight': 8, 'clf__gamma': 4.1478082778808725, 'clf__reg_alpha': 1.8423170795891004, 'clf__reg_lambda': 0.4507909276460844}",20.0,f_classif,93.0,8.0,,,,,,0.10515442928135466,0.8301569709231158,0.7616042731283735,8.0,4.1478082778808725,1.8423170795891004,0.4507909276460844,,
6,XGB,2,0.6893,0.6744,0.6676,0.6699,0.6852,0.6893,0.6862,0.6216,0.561,0.5897,0.7273,0.7742,0.75,0.7447,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__learning_rate': 0.2317178315611871, 'clf__subsample': 0.8826093385302591, 'clf__colsample_bytree': 0.7034399068810341, 'clf__min_child_weight': 2, 'clf__gamma': 4.612208268113669, 'clf__reg_alpha': 1.1504780802469399, 'clf__reg_lambda': 1.6603907929337112}",81.0,f_classif,347.0,3.0,,,,,,0.2317178315611871,0.8826093385302591,0.7034399068810341,2.0,4.612208268113669,1.1504780802469399,1.6603907929337112,,
7,XGB,3,0.6383,0.6226,0.6203,0.6211,0.6354,0.6383,0.6366,0.5556,0.5263,0.5405,0.6897,0.7143,0.7018,0.6727,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 450, 'clf__max_depth': 8, 'clf__learning_rate': 0.0460390282421045, 'clf__subsample': 0.942272171648977, 'clf__colsample_bytree': 0.7485375119603966, 'clf__min_child_weight': 6, 'clf__gamma': 4.572536441281407, 'clf__reg_alpha': 0.8580757094663924, 'clf__reg_lambda': 1.6818992438322238}",71.0,f_classif,450.0,8.0,,,,,,0.0460390282421045,0.942272171648977,0.7485375119603966,6.0,4.572536441281407,0.8580757094663924,1.6818992438322238,,
8,XGB,4,0.7101,0.7026,0.7026,0.7026,0.7101,0.7101,0.7101,0.75,0.75,0.75,0.6552,0.6552,0.6552,0.7181,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 323, 'clf__max_depth': 4, 'clf__learning_rate': 0.010103365470354021, 'clf__subsample': 0.6448106718729809, 'clf__colsample_bytree': 0.8426000595173142, 'clf__min_child_weight': 9, 'clf__gamma': 2.9043500355047085, 'clf__reg_alpha': 0.8862058456303998, 'clf__reg_lambda': 1.120191234981203}",30.0,f_classif,323.0,4.0,,,,,,0.010103365470354021,0.6448106718729809,0.8426000595173142,9.0,2.9043500355047085,0.8862058456303998,1.120191234981203,,
9,XGB,5,0.75,0.7458,0.7037,0.7125,0.748,0.75,0.7385,0.7368,0.5185,0.6087,0.7547,0.8889,0.8163,0.8477,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 223, 'clf__max_depth': 12, 'clf__learning_rate': 0.010287041495421078, 'clf__subsample': 0.6383666666723251, 'clf__colsample_bytree': 0.6317864229929514, 'clf__min_child_weight': 5, 'clf__gamma': 3.8671455159594785, 'clf__reg_alpha': 1.4288193219893, 'clf__reg_lambda': 0.45619668810622005}",30.0,f_classif,223.0,12.0,,,,,,0.010287041495421078,0.6383666666723251,0.6317864229929514,5.0,3.8671455159594785,1.4288193219893,0.45619668810622005,,
10,DT,1,0.728,0.7111,0.6708,0.6786,0.7205,0.728,0.7139,0.6774,0.4667,0.5526,0.7447,0.875,0.8046,0.7997,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",10.0,f_classif,,8.0,18.0,6.0,log2,,,,,,,,,,gini,random
