,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6372,0.7111,0.4643,0.4357,0.6923,0.6372,0.5815,0.7514,0.805,"{'n_estimators': 227, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",0.4095,0.455,0.4311,0.6607,1.0,0.0385,0.0741,0.8088,0.7237,0.8995,0.8021,0.7847,227.0,4.0,12.0,5.0,log2,True,,,,,,,,,
1,RF,2,0.4133,0.4007,0.3894,0.3646,0.4117,0.4133,0.3857,0.6074,0.6179,"{'n_estimators': 87, 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}",0.3315,0.4938,0.3967,0.5897,0.3692,0.1053,0.1638,0.5852,0.5014,0.5692,0.5331,0.6473,87.0,6.0,9.0,3.0,log2,True,,,,,,,,,
2,RF,3,0.5398,0.5828,0.5421,0.4451,0.6083,0.5398,0.4811,0.7326,0.6926,"{'n_estimators': 111, 'max_depth': 5, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",0.669,0.6137,0.6401,0.7097,0.6562,0.0595,0.1091,0.6435,0.4232,0.953,0.5862,0.8446,111.0,5.0,14.0,4.0,log2,False,,,,,,,,,
3,RF,4,0.5193,0.511,0.4564,0.4507,0.5499,0.5193,0.5123,0.6807,0.6994,"{'n_estimators': 106, 'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",0.3852,0.6146,0.4736,0.6423,0.4697,0.1722,0.252,0.7055,0.6779,0.5822,0.6264,0.6941,106.0,6.0,5.0,1.0,sqrt,True,,,,,,,,,
4,RF,5,0.6624,0.6826,0.5816,0.5506,0.678,0.6624,0.6147,0.7834,0.8098,"{'n_estimators': 299, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 'log2', 'bootstrap': True}",0.7024,0.7182,0.7102,0.8086,0.7188,0.1156,0.1991,0.6775,0.6265,0.9109,0.7424,0.864,299.0,4.0,12.0,7.0,log2,True,,,,,,,,,
5,XGB,1,0.6573,0.6053,0.543,0.5545,0.648,0.6573,0.6411,0.7534,0.8084,"{'n_estimators': 320, 'max_depth': 3, 'learning_rate': 0.03246872895057442, 'subsample': 0.7675443347893829, 'colsample_bytree': 0.6580756667938735, 'min_child_weight': 5, 'gamma': 4.759573510560103, 'reg_alpha': 1.0939820118724268, 'reg_lambda': 1.5123441363729635}",0.4824,0.5079,0.4948,0.6843,0.5968,0.2846,0.3854,0.7944,0.7366,0.8364,0.7834,0.7816,320.0,3.0,,,,,0.03246872895057442,0.7675443347893829,0.6580756667938735,5.0,4.759573510560103,1.0939820118724268,1.5123441363729635,,
6,XGB,2,0.4435,0.4493,0.42,0.4094,0.4538,0.4435,0.4262,0.6311,0.6381,"{'n_estimators': 80, 'max_depth': 3, 'learning_rate': 0.0371560102017086, 'subsample': 0.8540980145712544, 'colsample_bytree': 0.9419687933569367, 'min_child_weight': 4, 'gamma': 3.5044174895600615, 'reg_alpha': 0.38466459712388196, 'reg_lambda': 0.5918823573987183}",0.359,0.4609,0.4036,0.5945,0.4889,0.193,0.2767,0.6435,0.5,0.6062,0.548,0.6555,80.0,3.0,,,,,0.0371560102017086,0.8540980145712544,0.9419687933569367,4.0,3.5044174895600615,0.38466459712388196,0.5918823573987183,,
7,XGB,3,0.55,0.5551,0.5567,0.4797,0.5892,0.55,0.51,0.7365,0.6997,"{'n_estimators': 168, 'max_depth': 3, 'learning_rate': 0.01498253358615469, 'subsample': 0.7246867275592481, 'colsample_bytree': 0.8850290264205243, 'min_child_weight': 9, 'gamma': 3.3804521338207403, 'reg_alpha': 1.3858378625908734, 'reg_lambda': 0.735192367612579}",0.6891,0.6025,0.6429,0.7116,0.5432,0.1246,0.2028,0.6478,0.433,0.943,0.5935,0.8502,168.0,3.0,,,,,0.01498253358615469,0.7246867275592481,0.8850290264205243,9.0,3.3804521338207403,1.3858378625908734,0.735192367612579,,
8,XGB,4,0.5252,0.5185,0.484,0.484,0.5517,0.5252,0.5251,0.6752,0.693,"{'n_estimators': 349, 'max_depth': 3, 'learning_rate': 0.01005342293486359, 'subsample': 0.8162642583041254, 'colsample_bytree': 0.8100975682674787, 'min_child_weight': 9, 'gamma': 0.043833935633074805, 'reg_alpha': 0.6470055178956842, 'reg_lambda': 1.6646134214138526}",0.4076,0.6115,0.4892,0.651,0.4857,0.2833,0.3579,0.6966,0.6621,0.5571,0.605,0.6781,349.0,3.0,,,,,0.01005342293486359,0.8162642583041254,0.8100975682674787,9.0,0.043833935633074805,0.6470055178956842,1.6646134214138526,,
9,XGB,5,0.6508,0.6108,0.5956,0.586,0.6385,0.6508,0.6304,0.7848,0.8141,"{'n_estimators': 225, 'max_depth': 3, 'learning_rate': 0.017596500767757935, 'subsample': 0.7488316425775492, 'colsample_bytree': 0.8474872769250995, 'min_child_weight': 10, 'gamma': 4.8882876907584, 'reg_alpha': 1.4437972909006402, 'reg_lambda': 1.0895661334924902}",0.7187,0.6434,0.6789,0.7879,0.4727,0.2613,0.3366,0.6943,0.6409,0.8822,0.7424,0.8723,225.0,3.0,,,,,0.017596500767757935,0.7488316425775492,0.8474872769250995,10.0,4.8882876907584,1.4437972909006402,1.0895661334924902,,
