,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6304,0.5767,0.5488,0.5573,0.6174,0.6304,0.62,0.724,0.7612,"{'n_estimators': 456, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': False}",0.5278,0.5135,0.5205,0.6864,0.5,0.3462,0.4091,0.7624,0.7024,0.7867,0.7421,0.7232,456.0,14.0,3.0,9.0,log2,False,,,,,,,,,
1,RF,2,0.5932,0.5649,0.5191,0.5289,0.5941,0.5932,0.5822,0.7104,0.7632,"{'n_estimators': 390, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",0.3704,0.3704,0.3704,0.6654,0.6667,0.4,0.5,0.6572,0.6575,0.7869,0.7164,0.8085,390.0,13.0,10.0,7.0,sqrt,False,,,,,,,,,
2,RF,3,0.5226,0.5155,0.4929,0.4657,0.5317,0.5226,0.4935,0.7033,0.7094,"{'n_estimators': 402, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",0.3974,0.6327,0.4882,0.6244,0.4615,0.1364,0.2105,0.6554,0.6875,0.7097,0.6984,0.83,402.0,7.0,3.0,7.0,,True,,,,,,,,,
3,RF,4,0.5385,0.5545,0.5032,0.5079,0.549,0.5385,0.5277,0.741,0.7673,"{'n_estimators': 302, 'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True}",0.569,0.5323,0.55,0.7938,0.5882,0.2941,0.3922,0.6827,0.5062,0.6833,0.5816,0.7465,302.0,6.0,18.0,5.0,log2,True,,,,,,,,,
4,RF,5,0.5662,0.585,0.5975,0.5558,0.6322,0.5662,0.5569,0.7389,0.731,"{'n_estimators': 107, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}",0.7925,0.4038,0.535,0.7073,0.4286,0.5294,0.4737,0.6978,0.534,0.8594,0.6587,0.8117,107.0,9.0,10.0,8.0,,True,,,,,,,,,
5,XGB,1,0.6232,0.5875,0.5474,0.5606,0.6149,0.6232,0.6142,0.7252,0.7644,"{'n_estimators': 67, 'max_depth': 4, 'learning_rate': 0.06520788699936637, 'subsample': 0.8337377980053566, 'colsample_bytree': 0.6246760195587163, 'min_child_weight': 8, 'gamma': 3.4736628990834433, 'reg_alpha': 0.2061008548298361, 'reg_lambda': 1.2676052442027985}",0.4571,0.4324,0.4444,0.7118,0.6111,0.4231,0.5,0.7352,0.6941,0.7867,0.7375,0.7285,67.0,4.0,,,,,0.06520788699936637,0.8337377980053566,0.6246760195587163,8.0,3.4736628990834433,0.2061008548298361,1.2676052442027985,,
6,XGB,2,0.6525,0.631,0.5962,0.6046,0.6555,0.6525,0.6465,0.7321,0.7704,"{'n_estimators': 319, 'max_depth': 12, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4, 'gamma': 1.9433864484474102, 'reg_alpha': 0.5426980635477918, 'reg_lambda': 1.6574750183038587}",0.4828,0.5185,0.5,0.7245,0.7,0.4667,0.56,0.6917,0.7101,0.8033,0.7538,0.7803,319.0,12.0,,,,,0.01351182947645082,0.6783931449676581,0.6180909155642152,4.0,1.9433864484474102,0.5426980635477918,1.6574750183038587,,
7,XGB,3,0.4968,0.4685,0.4693,0.4512,0.489,0.4968,0.4772,0.6617,0.666,"{'n_estimators': 139, 'max_depth': 8, 'learning_rate': 0.10036282443683882, 'subsample': 0.7664125867669591, 'colsample_bytree': 0.9994891134515507, 'min_child_weight': 6, 'gamma': 0.6001738393935236, 'reg_alpha': 0.6467516089381147, 'reg_lambda': 0.7927651813750762}",0.3889,0.5714,0.4628,0.5626,0.35,0.1591,0.2188,0.629,0.6667,0.6774,0.672,0.7936,139.0,8.0,,,,,0.10036282443683882,0.7664125867669591,0.9994891134515507,6.0,0.6001738393935236,0.6467516089381147,0.7927651813750762,,
8,XGB,4,0.5577,0.5311,0.5185,0.5195,0.5483,0.5577,0.5491,0.7449,0.7749,"{'n_estimators': 441, 'max_depth': 6, 'learning_rate': 0.020056650211730098, 'subsample': 0.7271333551341463, 'colsample_bytree': 0.7700972845736102, 'min_child_weight': 8, 'gamma': 3.2726125204984027, 'reg_alpha': 1.3696318429880094, 'reg_lambda': 0.6114081578973476}",0.6212,0.6613,0.6406,0.8056,0.4348,0.2941,0.3509,0.6724,0.5373,0.6,0.5669,0.7568,441.0,6.0,,,,,0.020056650211730098,0.7271333551341463,0.7700972845736102,8.0,3.2726125204984027,1.3696318429880094,0.6114081578973476,,
9,XGB,5,0.5342,0.5533,0.5605,0.5176,0.597,0.5342,0.5198,0.7392,0.7216,"{'n_estimators': 361, 'max_depth': 6, 'learning_rate': 0.0481128895779737, 'subsample': 0.9097616325128091, 'colsample_bytree': 0.7732184490441271, 'min_child_weight': 7, 'gamma': 4.550528874022892, 'reg_alpha': 0.6861625959438125, 'reg_lambda': 0.08841166957300284}",0.75,0.375,0.5,0.6936,0.4231,0.4314,0.4272,0.7123,0.487,0.875,0.6257,0.8116,361.0,6.0,,,,,0.0481128895779737,0.9097616325128091,0.7732184490441271,7.0,4.550528874022892,0.6861625959438125,0.08841166957300284,,
