,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6828,0.6977,0.6884,0.6803,0.7009,0.6828,0.679,0.765,0.5685,0.6523,0.6305,0.8083,0.7084,0.7904,"{'n_estimators': 59, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",59.0,3.0,19.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.6014,0.5935,0.5902,0.5901,0.5976,0.6014,0.5978,0.5573,0.491,0.5221,0.6297,0.6893,0.6581,0.616,"{'n_estimators': 353, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",353.0,4.0,16.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.7223,0.7151,0.7027,0.7061,0.7194,0.7223,0.7182,0.6909,0.5911,0.6371,0.7394,0.8144,0.7751,0.8075,"{'n_estimators': 393, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",393.0,4.0,16.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.7517,0.7239,0.7284,0.726,0.7544,0.7517,0.7529,0.6289,0.6557,0.6421,0.819,0.801,0.8099,0.8123,"{'n_estimators': 153, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",153.0,4.0,19.0,3.0,sqrt,True,,,,,,,,,
4,RF,5,0.7217,0.709,0.7294,0.7098,0.7514,0.7217,0.7281,0.5727,0.7541,0.651,0.8452,0.7047,0.7686,0.7651,"{'n_estimators': 402, 'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': False}",402.0,4.0,18.0,10.0,,False,,,,,,,,,
5,XGB,1,0.6846,0.7057,0.6913,0.6806,0.7094,0.6846,0.679,0.7843,0.5479,0.6452,0.6271,0.8346,0.7161,0.7734,"{'n_estimators': 269, 'max_depth': 3, 'learning_rate': 0.012445641776055364, 'subsample': 0.9279459076791344, 'colsample_bytree': 0.6218758390461046, 'min_child_weight': 10, 'gamma': 0.8854413543463402, 'reg_alpha': 0.1309407057508567, 'reg_lambda': 0.20718943397744516}",269.0,3.0,,,,,0.012445641776055364,0.9279459076791344,0.6218758390461046,10.0,0.8854413543463402,0.1309407057508567,0.20718943397744516,,
6,XGB,2,0.5696,0.5596,0.557,0.5562,0.5644,0.5696,0.5649,0.5169,0.4462,0.4789,0.6023,0.6679,0.6334,0.5847,"{'n_estimators': 146, 'max_depth': 3, 'learning_rate': 0.032869776594679906, 'subsample': 0.6200911342127061, 'colsample_bytree': 0.9767059374977014, 'min_child_weight': 3, 'gamma': 4.260012145654116, 'reg_alpha': 1.641366322758961, 'reg_lambda': 0.4556059832849962}",146.0,3.0,,,,,0.032869776594679906,0.6200911342127061,0.9767059374977014,3.0,4.260012145654116,1.641366322758961,0.4556059832849962,,
7,XGB,3,0.736,0.7287,0.7201,0.7229,0.7336,0.736,0.7335,0.7005,0.6289,0.6628,0.7569,0.8112,0.7831,0.8061,"{'n_estimators': 51, 'max_depth': 3, 'learning_rate': 0.04710118689830017, 'subsample': 0.6761386420710609, 'colsample_bytree': 0.9668459618846198, 'min_child_weight': 9, 'gamma': 0.9507791906911283, 'reg_alpha': 0.7603995840241606, 'reg_lambda': 1.7247467783874255}",51.0,3.0,,,,,0.04710118689830017,0.6761386420710609,0.9668459618846198,9.0,0.9507791906911283,0.7603995840241606,1.7247467783874255,,
8,XGB,4,0.745,0.7174,0.7241,0.7203,0.7497,0.745,0.7469,0.6166,0.659,0.6371,0.8182,0.7892,0.8034,0.7956,"{'n_estimators': 107, 'max_depth': 4, 'learning_rate': 0.026118314368433263, 'subsample': 0.8044770518726299, 'colsample_bytree': 0.7124452577103785, 'min_child_weight': 4, 'gamma': 0.3386857397973206, 'reg_alpha': 0.4394733869249534, 'reg_lambda': 0.2143491127556627}",107.0,4.0,,,,,0.026118314368433263,0.8044770518726299,0.7124452577103785,4.0,0.3386857397973206,0.4394733869249534,0.2143491127556627,,
9,XGB,5,0.7079,0.6948,0.7138,0.6953,0.7376,0.7079,0.7146,0.5576,0.7329,0.6333,0.8321,0.6948,0.7573,0.8,"{'n_estimators': 258, 'max_depth': 3, 'learning_rate': 0.022995565987867637, 'subsample': 0.7552895883696085, 'colsample_bytree': 0.8135023842969531, 'min_child_weight': 9, 'gamma': 3.0774512794282627, 'reg_alpha': 1.5082536013584142, 'reg_lambda': 1.423064122505727}",258.0,3.0,,,,,0.022995565987867637,0.7552895883696085,0.8135023842969531,9.0,3.0774512794282627,1.5082536013584142,1.423064122505727,,
