,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6573,0.5684,0.5304,0.5367,0.6267,0.6573,0.6299,0.7395,0.7908,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 386, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.5,0.2963,0.3721,0.6315,0.4771,0.4,0.4351,0.8077,0.7281,0.8949,0.8029,0.7793,91,f_classif,386.0,3.0,10.0,3.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.4322,0.416,0.4099,0.385,0.4273,0.4322,0.4052,0.6087,0.616,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 431, 'clf__max_depth': 9, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3599,0.5391,0.4316,0.5899,0.3699,0.1184,0.1794,0.5975,0.5181,0.5723,0.5439,0.6387,all,f_classif,431.0,9.0,20.0,5.0,log2,True,,,,,,,,,,
2,RF,3,0.5414,0.5932,0.5332,0.4358,0.6128,0.5414,0.4754,0.7224,0.6853,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.6512,0.6471,0.6491,0.7041,0.7,0.0397,0.0751,0.6267,0.4283,0.9128,0.5831,0.8362,71,f_classif,351.0,3.0,20.0,7.0,sqrt,True,,,,,,,,,,
3,RF,4,0.5045,0.488,0.5063,0.4785,0.5475,0.5045,0.5132,0.6846,0.6642,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 241, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4813,0.3694,0.418,0.6516,0.3138,0.5944,0.4107,0.7127,0.669,0.5551,0.6068,0.6896,all,f_classif,241.0,6.0,13.0,7.0,log2,True,balanced,,,,,,,,,
4,RF,5,0.6572,0.6763,0.5769,0.5443,0.6722,0.6572,0.6083,0.7854,0.8093,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6955,0.7007,0.6981,0.8132,0.7097,0.1106,0.1913,0.6708,0.6238,0.9195,0.7433,0.8723,81,f_classif,349.0,3.0,15.0,4.0,sqrt,False,,,,,,,,,,
5,XGB,1,0.6345,0.5533,0.5019,0.5073,0.6145,0.6345,0.6122,0.7093,0.7773,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 119, 'clf__max_depth': 9, 'clf__learning_rate': 0.010056305135045997, 'clf__subsample': 0.9473794731823656, 'clf__colsample_bytree': 0.6077887115666165, 'clf__min_child_weight': 1, 'clf__gamma': 2.34911392479045, 'clf__reg_alpha': 1.0779438875372465, 'clf__reg_lambda': 0.0086338624001814}",0.4286,0.4444,0.4364,0.625,0.5,0.2154,0.3011,0.7266,0.7313,0.8458,0.7844,0.7763,51,f_classif,119.0,9.0,,,,,,0.010056305135045997,0.9473794731823656,0.6077887115666165,1.0,2.34911392479045,1.0779438875372465,0.0086338624001814,,
6,XGB,2,0.4271,0.4267,0.4051,0.3945,0.4337,0.4271,0.4115,0.6124,0.6221,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 368, 'clf__max_depth': 5, 'clf__learning_rate': 0.011099756484242074, 'clf__subsample': 0.8099070065862612, 'clf__colsample_bytree': 0.6303218485408414, 'clf__min_child_weight': 1, 'clf__gamma': 4.804584812658581, 'clf__reg_alpha': 1.9987194667144894, 'clf__reg_lambda': 0.6738461835511271}",0.3406,0.4527,0.3887,0.566,0.4421,0.1842,0.2601,0.6353,0.4974,0.5785,0.5349,0.6357,91,f_classif,368.0,5.0,,,,,,0.011099756484242074,0.8099070065862612,0.6303218485408414,1.0,4.804584812658581,1.9987194667144894,0.6738461835511271,,
7,XGB,3,0.5516,0.5452,0.5599,0.4949,0.5796,0.5516,0.5208,0.7297,0.6996,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 334, 'clf__max_depth': 3, 'clf__learning_rate': 0.01019287146096899, 'clf__subsample': 0.6527722922039515, 'clf__colsample_bytree': 0.8590063249066711, 'clf__min_child_weight': 2, 'clf__gamma': 3.821682990132408, 'clf__reg_alpha': 1.650652960413362, 'clf__reg_lambda': 0.8759031912221193}",0.6844,0.593,0.6354,0.7025,0.5086,0.1671,0.2516,0.6388,0.4426,0.9195,0.5976,0.8478,51,f_classif,334.0,3.0,,,,,,0.01019287146096899,0.6527722922039515,0.8590063249066711,2.0,3.821682990132408,1.650652960413362,0.8759031912221193,,
8,XGB,4,0.5084,0.4756,0.4597,0.4609,0.5223,0.5084,0.5099,0.6589,0.6739,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 80, 'clf__max_depth': 11, 'clf__learning_rate': 0.04169088608563, 'clf__subsample': 0.7453295827533417, 'clf__colsample_bytree': 0.8919322044975261, 'clf__min_child_weight': 2, 'clf__gamma': 4.681782550578928, 'clf__reg_alpha': 1.7970591273866026, 'clf__reg_lambda': 1.1699901445188372}",0.389,0.5191,0.4447,0.6127,0.3876,0.2778,0.3236,0.6844,0.6501,0.5822,0.6143,0.6798,51,f_classif,80.0,11.0,,,,,,0.04169088608563,0.7453295827533417,0.8919322044975261,2.0,4.681782550578928,1.7970591273866026,1.1699901445188372,,
9,XGB,5,0.6076,0.6202,0.5302,0.4881,0.6189,0.6076,0.553,0.7347,0.7659,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 276, 'clf__max_depth': 11, 'clf__learning_rate': 0.010107071828803521, 'clf__subsample': 0.6951339877328382, 'clf__colsample_bytree': 0.7452203874814263, 'clf__min_child_weight': 3, 'clf__gamma': 4.330608816661779, 'clf__reg_alpha': 0.4878562189726735, 'clf__reg_lambda': 0.7077743383867815}",0.6434,0.6209,0.632,0.73,0.6364,0.0704,0.1267,0.6458,0.5807,0.8994,0.7057,0.8282,10,f_classif,276.0,11.0,,,,,,0.010107071828803521,0.6951339877328382,0.7452203874814263,3.0,4.330608816661779,0.4878562189726735,0.7077743383867815,,
