,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6706,0.6671,0.6299,0.6017,0.7329,0.6706,0.6685,0.7752,0.7802,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 10, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.3929,0.7333,0.5116,0.7467,0.8,0.3478,0.4848,0.7728,0.8085,0.8085,0.8085,0.8063,71,f_classif,391.0,10.0,14.0,7.0,log2,True,,,,,,,,,,
1,RF,2,0.559,0.5675,0.5622,0.5112,0.6004,0.559,0.5378,0.7495,0.7265,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 269, 'clf__max_depth': 6, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.697,0.575,0.6301,0.7012,0.5625,0.2143,0.3103,0.6957,0.443,0.8974,0.5932,0.8516,91,f_classif,269.0,6.0,4.0,6.0,sqrt,True,,,,,,,,,,
2,RF,3,0.5591,0.5334,0.5327,0.5313,0.5485,0.5591,0.5519,0.72,0.7566,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 366, 'clf__max_depth': 5, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.475,0.4419,0.4578,0.6921,0.4643,0.4062,0.4333,0.626,0.661,0.75,0.7027,0.8418,91,f_classif,366.0,5.0,18.0,6.0,log2,False,balanced,,,,,,,,,
3,RF,4,0.3837,0.5037,0.4363,0.3604,0.5452,0.3837,0.339,0.539,0.5284,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 259, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.8,0.1111,0.1951,0.3822,0.3333,0.6667,0.4444,0.7377,0.3778,0.5312,0.4416,0.4971,all,f_classif,259.0,3.0,2.0,5.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.5887,0.5496,0.5626,0.5324,0.6079,0.5887,0.582,0.7182,0.7264,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",0.5,0.2812,0.36,0.6681,0.4186,0.72,0.5294,0.7782,0.7302,0.6866,0.7077,0.7083,91,f_classif,351.0,4.0,18.0,1.0,sqrt,False,balanced,,,,,,,,,
5,XGB,1,0.6471,0.6171,0.6009,0.5622,0.6875,0.6471,0.6341,0.7848,0.78,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 167, 'clf__max_depth': 5, 'clf__learning_rate': 0.019534850238799233, 'clf__subsample': 0.6652966288808315, 'clf__colsample_bytree': 0.6890370851380273, 'clf__min_child_weight': 6, 'clf__gamma': 3.2348618913918328, 'clf__reg_alpha': 1.2458423829196348, 'clf__reg_lambda': 0.8604721997440588}",0.3929,0.7333,0.5116,0.7514,0.6667,0.2609,0.375,0.7777,0.7917,0.8085,0.8,0.8253,51,f_classif,167.0,5.0,,,,,,0.019534850238799233,0.6652966288808315,0.6890370851380273,6.0,3.2348618913918328,1.2458423829196348,0.8604721997440588,,
6,XGB,2,0.5342,0.5124,0.5368,0.4912,0.5476,0.5342,0.5147,0.7483,0.7226,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 9, 'clf__learning_rate': 0.012163356548314458, 'clf__subsample': 0.7754703664343591, 'clf__colsample_bytree': 0.9764028132177532, 'clf__min_child_weight': 3, 'clf__gamma': 2.981822517611541, 'clf__reg_alpha': 0.21128194321076127, 'clf__reg_lambda': 1.767999616362686}",0.6567,0.55,0.5986,0.698,0.4286,0.2143,0.2857,0.6969,0.4521,0.8462,0.5893,0.8499,all,f_classif,455.0,9.0,,,,,,0.012163356548314458,0.7754703664343591,0.9764028132177532,3.0,2.981822517611541,0.21128194321076127,1.767999616362686,,
7,XGB,3,0.6457,0.6425,0.6032,0.6014,0.646,0.6457,0.6244,0.7606,0.7886,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 445, 'clf__max_depth': 10, 'clf__learning_rate': 0.010629965824084646, 'clf__subsample': 0.6097788168401317, 'clf__colsample_bytree': 0.7975681177242131, 'clf__min_child_weight': 7, 'clf__gamma': 2.8082097406703337, 'clf__reg_alpha': 1.3268688930350805, 'clf__reg_lambda': 0.02462233912987477}",0.6875,0.5116,0.5867,0.7918,0.6,0.375,0.4615,0.6289,0.64,0.9231,0.7559,0.861,71,f_classif,445.0,10.0,,,,,,0.010629965824084646,0.6097788168401317,0.7975681177242131,7.0,2.8082097406703337,1.3268688930350805,0.02462233912987477,,
8,XGB,4,0.3837,0.3957,0.4028,0.3597,0.4062,0.3837,0.3479,0.5477,0.5686,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 85, 'clf__max_depth': 6, 'clf__learning_rate': 0.020062133767745252, 'clf__subsample': 0.6457785318356508, 'clf__colsample_bytree': 0.8739406946574515, 'clf__min_child_weight': 2, 'clf__gamma': 1.3427054496393303, 'clf__reg_alpha': 1.8014233235796422, 'clf__reg_lambda': 0.837721673946914}",0.4545,0.1389,0.2128,0.4117,0.3478,0.4444,0.3902,0.732,0.3846,0.625,0.4762,0.4994,91,f_classif,85.0,6.0,,,,,,0.020062133767745252,0.6457785318356508,0.8739406946574515,2.0,1.3427054496393303,1.8014233235796422,0.837721673946914,,
9,XGB,5,0.5968,0.5661,0.5439,0.5402,0.6143,0.5968,0.5954,0.7081,0.7306,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 330, 'clf__max_depth': 5, 'clf__learning_rate': 0.013357457330897332, 'clf__subsample': 0.6509225018481495, 'clf__colsample_bytree': 0.7252186479724956, 'clf__min_child_weight': 4, 'clf__gamma': 4.357004867857789, 'clf__reg_alpha': 1.1388748201585948, 'clf__reg_lambda': 0.4343189583524866}",0.4348,0.625,0.5128,0.6546,0.5333,0.32,0.4,0.7733,0.7302,0.6866,0.7077,0.6965,all,f_classif,330.0,5.0,,,,,,0.013357457330897332,0.6509225018481495,0.7252186479724956,4.0,4.357004867857789,1.1388748201585948,0.4343189583524866,,
