,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,399,118,139,72,71,117,142,42,361
1,RF,2,187,11,128,63,32,91,130,21,273
2,RF,3,194,2,226,163,12,50,104,0,490
3,RF,4,145,86,100,24,101,79,28,63,454
4,RF,5,241,9,170,280,17,132,13,2,284
5,XGB,1,290,242,124,71,83,106,170,69,306
6,XGB,2,148,5,173,58,4,124,77,1,346
7,XGB,3,193,29,200,133,56,36,96,21,477
8,XGB,4,195,39,97,86,64,54,49,35,461
9,XGB,5,217,24,179,264,21,144,7,7,285
10,DT,1,408,66,182,136,13,111,152,27,366
11,DT,2,271,0,55,133,0,53,252,0,172
12,DT,3,172,0,250,147,0,78,198,0,396
13,DT,4,14,302,15,6,186,12,4,326,215
14,DT,5,277,0,143,334,0,95,30,0,269
