,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,11,1,3,9,8,6,8,1,38
1,RF,2,46,6,28,17,9,16,3,1,35
2,RF,3,19,13,11,10,13,9,11,2,39
3,RF,4,4,9,23,1,12,5,0,15,17
4,RF,5,9,12,11,1,18,6,8,13,46
5,XGB,1,11,1,3,10,6,7,7,2,38
6,XGB,2,44,11,25,18,9,15,5,1,33
7,XGB,3,22,7,14,7,12,13,3,1,48
8,XGB,4,5,6,25,3,8,7,3,9,20
9,XGB,5,20,2,10,10,8,7,16,5,46
10,DT,1,9,0,6,14,0,9,11,0,36
11,DT,2,41,7,32,22,5,15,7,1,31
12,DT,3,31,0,12,15,0,17,5,0,47
13,DT,4,1,15,20,0,14,4,0,22,10
14,DT,5,11,0,21,12,0,13,8,0,59
