,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.6906,0.6864,0.6775,0.6792,0.6885,0.6906,0.6869,0.6693,0.5748,0.6185,0.7035,0.7802,0.7399,0.7462,91,f_classif,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 427, 'clf__max_depth': 7, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",91,f_classif,427.0,7.0,8.0,5.0,log2,True,balanced,,,,,,,,,
1,RF,2,0.681,0.6537,0.6669,0.6564,0.7008,0.681,0.6876,0.5145,0.6252,0.5644,0.7929,0.7086,0.7484,0.7659,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 101, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",30,f_classif,101.0,4.0,18.0,9.0,sqrt,True,,,,,,,,,,
2,RF,3,0.6783,0.6876,0.6788,0.6746,0.6879,0.6783,0.6744,0.731,0.5695,0.6402,0.6443,0.7881,0.709,0.7563,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 102, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",40,f_classif,102.0,4.0,14.0,5.0,log2,True,,,,,,,,,,
3,RF,4,0.7758,0.7566,0.7809,0.7619,0.7977,0.7758,0.7808,0.6315,0.7965,0.7045,0.8816,0.7654,0.8194,0.8389,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 331, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",81,f_classif,331.0,4.0,15.0,3.0,sqrt,True,,,,,,,,,,
4,RF,5,0.6272,0.6583,0.6627,0.6269,0.6986,0.6272,0.6296,0.5,0.8025,0.6161,0.8167,0.523,0.6376,0.7535,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 471, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",51,f_classif,471.0,3.0,14.0,5.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6877,0.7113,0.6573,0.6514,0.7055,0.6877,0.6658,0.7569,0.4185,0.539,0.6658,0.896,0.7639,0.772,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 55, 'clf__max_depth': 3, 'clf__learning_rate': 0.04333783018261555, 'clf__subsample': 0.619046846182599, 'clf__colsample_bytree': 0.9701734156004131, 'clf__min_child_weight': 1, 'clf__gamma': 4.608199355418203, 'clf__reg_alpha': 0.6728848933832177, 'clf__reg_lambda': 0.21944073064382608}",20,f_classif,55.0,3.0,,,,,,0.04333783018261555,0.619046846182599,0.9701734156004131,1.0,4.608199355418203,0.6728848933832177,0.21944073064382608,,
6,XGB,2,0.6926,0.6647,0.6782,0.668,0.7106,0.6926,0.6986,0.5293,0.6354,0.5775,0.8002,0.7209,0.7585,0.7658,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 216, 'clf__max_depth': 4, 'clf__learning_rate': 0.012019964740360446, 'clf__subsample': 0.8013176008522088, 'clf__colsample_bytree': 0.7330789353839748, 'clf__min_child_weight': 10, 'clf__gamma': 0.010258640616586101, 'clf__reg_alpha': 1.1744209401144095, 'clf__reg_lambda': 0.9086800853208726}",30,f_classif,216.0,4.0,,,,,,0.012019964740360446,0.8013176008522088,0.7330789353839748,10.0,0.010258640616586101,1.1744209401144095,0.9086800853208726,,
7,XGB,3,0.6736,0.6829,0.6742,0.6699,0.6831,0.6736,0.6697,0.7254,0.5643,0.6348,0.6404,0.7841,0.705,0.7721,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 107, 'clf__max_depth': 4, 'clf__learning_rate': 0.016990268798904102, 'clf__subsample': 0.8288265148805319, 'clf__colsample_bytree': 0.6029149835724328, 'clf__min_child_weight': 9, 'clf__gamma': 2.061967397255852, 'clf__reg_alpha': 1.4265924516302158, 'clf__reg_lambda': 0.051865536624826694}",40,f_classif,107.0,4.0,,,,,,0.016990268798904102,0.8288265148805319,0.6029149835724328,9.0,2.061967397255852,1.4265924516302158,0.051865536624826694,,
8,XGB,4,0.7737,0.7519,0.773,0.7577,0.7908,0.7737,0.7782,0.6337,0.7708,0.6956,0.8701,0.7751,0.8199,0.8334,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 137, 'clf__max_depth': 4, 'clf__learning_rate': 0.011645086180830903, 'clf__subsample': 0.9014716631346655, 'clf__colsample_bytree': 0.7561713688143525, 'clf__min_child_weight': 10, 'clf__gamma': 4.754702259214363, 'clf__reg_alpha': 0.8932421382776263, 'clf__reg_lambda': 1.6979619246322566}",51,f_classif,137.0,4.0,,,,,,0.011645086180830903,0.9014716631346655,0.7561713688143525,10.0,4.754702259214363,0.8932421382776263,1.6979619246322566,,
9,XGB,5,0.6669,0.68,0.6908,0.6647,0.7165,0.6669,0.6717,0.5364,0.7847,0.6373,0.8235,0.5969,0.6921,0.7589,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 86, 'clf__max_depth': 3, 'clf__learning_rate': 0.020032541877496424, 'clf__subsample': 0.9816447003784232, 'clf__colsample_bytree': 0.912036505576773, 'clf__min_child_weight': 1, 'clf__gamma': 4.713649053612688, 'clf__reg_alpha': 1.9538784456539733, 'clf__reg_lambda': 0.4092817544605276}",20,f_classif,86.0,3.0,,,,,,0.020032541877496424,0.9816447003784232,0.912036505576773,1.0,4.713649053612688,1.9538784456539733,0.4092817544605276,,
10,DT,1,0.5875,0.5865,0.5422,0.4968,0.5867,0.5875,0.5241,0.5851,0.1868,0.2832,0.5879,0.8975,0.7104,0.6243,all,f_classif,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",all,f_classif,,2.0,7.0,3.0,log2,,,,,,,,,,gini,best
11,DT,2,0.6563,0.6009,0.5914,0.5939,0.6431,0.6563,0.6479,0.4764,0.3997,0.4347,0.7254,0.7831,0.7531,0.6533,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",71,f_classif,,3.0,6.0,2.0,sqrt,,,,,,,,,,entropy,random
12,DT,3,0.6007,0.6018,0.601,0.6,0.6019,0.6007,0.5999,0.6137,0.555,0.5829,0.5899,0.6469,0.6171,0.664,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",30,f_classif,,3.0,5.0,6.0,sqrt,,,,,,,,,,entropy,random
13,DT,4,0.7419,0.714,0.7245,0.718,0.7502,0.7419,0.745,0.6037,0.6715,0.6358,0.8242,0.7775,0.8002,0.7957,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",40,f_classif,,3.0,13.0,4.0,sqrt,,,,,,,,,,gini,random
